Campaign ID,Campaign Name,Status,Channel Type,Sub Type,Bidding Strategy,Budget ($/day),Budget Delivery,Start Date,End Date,Labels,Serving Status,Optimization Score
9833231491,Alfalfa - Leading States (S),REMOVED,SEARCH,,TARGET_ROAS,10,STANDARD,2020-04-08,2037-12-30,,SERVING,
9826185110,Alfalfa - Leading States (Shopping),REMOVED,SHOPPING,,TARGET_ROAS,22,STANDARD,2020-04-08,2037-12-30,,SERVING,
180177454,Arizona Grass Seed,REMOVED,SEARCH,,TARGET_SPEND,50,STANDARD,2013-11-18,2037-12-30,,SERVING,
9883264494,Bahia Grass Seed (S),REMOVED,SEARCH,,TARGET_ROAS,20,STANDARD,2020-04-15,2037-12-30,,SERVING,
10218718989,Bahia Grass Seed - Southern States (S),REMOVED,SEARCH,,TARGET_ROAS,10,STANDARD,2020-06-04,2037-12-30,,SERVING,
10218718992,Bahia Grass Seed - Southern States (Shopping),REMOVED,SHOPPING,,TARGET_ROAS,10,STANDARD,2020-06-04,2037-12-30,,SERVING,
10213678972,Bermudagrass - Southern States (S),REMOVED,SEARCH,,TARGET_ROAS,10,STANDARD,2020-06-04,2037-12-30,,SERVING,
10213647988,Bermudagrass - Southern States (Shopping),REMOVED,SHOPPING,,TARGET_ROAS,10,STANDARD,2020-06-04,2037-12-30,,SERVING,
10218437403,Buffalograss Lawn Seed - Southern States (S),REMOVED,SEARCH,,TARGET_ROAS,10,STANDARD,2020-06-04,2037-12-30,,SERVING,
10213678975,Buffalograss Lawn Seed - Southern States (Shopping),REMOVED,SHOPPING,,TARGET_ROAS,10,STANDARD,2020-06-04,2037-12-30,,SERVING,
124555054,CA - Generic (Phrase),REMOVED,SEARCH,,TARGET_SPEND,10,STANDARD,2012-03-08,2037-12-30,,SERVING,
124555534,CA - Region in Query (Broad),REMOVED,SEARCH,,MANUAL_CPC,100,STANDARD,2012-03-08,2037-12-30,,SERVING,
171225334,California Grass Seed,REMOVED,SEARCH,,TARGET_SPEND,50,STANDARD,2013-06-18,2037-12-30,,SERVING,
12299731566,California | DSA | California Wildflowers,REMOVED,SEARCH,,TARGET_ROAS,100,STANDARD,2021-02-09,2037-12-30,,SERVING,
20481547139,California | PMax | ROAS,PAUSED,PERFORMANCE_MAX,,MAXIMIZE_CONVERSION_VALUE,20,STANDARD,2023-08-22,2037-12-30,,SERVING,
