Year,Month,Device,Campaign Name,Campaign ID,Impressions,Clicks,CTR,Cost ($),Avg CPC ($),Conversions,Conv. Value ($),ROAS
2022,2022-03-01,DESKTOP,California | Search | Best Grass Seed,16460791884,48,11,0.2291666667,50.09,4.55,0,0,0
2022,2022-03-01,MOBILE,California | Search | Best Grass Seed,16460791884,210,24,0.1142857143,101.78,4.24,0,0,0
2022,2022-03-01,TABLET,California | Search | Best Grass Seed,16460791884,7,2,0.2857142857,9.42,4.71,0,0,0
2022,2022-03-01,DESKTOP,Florida Tropics | DSA | Forage Mixes and Pasture Seed,12453606893,65,3,0.04615384615,4.89,1.63,1,27.18,5.56
2022,2022-03-01,MOBILE,Florida Tropics | DSA | Forage Mixes and Pasture Seed,12453606893,140,18,0.1285714286,16.67,0.93,2,366.98,22.01
2022,2022-03-01,TABLET,Florida Tropics | DSA | Forage Mixes and Pasture Seed,12453606893,6,1,0.1666666667,0.42,0.42,0,0,0
2022,2022-03-01,DESKTOP,Great Lakes / New England | DSA | Forage Mixes and Pasture Seed,12455893806,267,23,0.0861423221,27.86,1.21,1.5,52.15,1.87
2022,2022-03-01,MOBILE,Great Lakes / New England | DSA | Forage Mixes and Pasture Seed,12455893806,296,41,0.1385135135,26.99,0.66,2,369.24,13.68
2022,2022-03-01,TABLET,Great Lakes / New England | DSA | Forage Mixes and Pasture Seed,12455893806,16,2,0.125,1.82,0.91,0,0,0
2022,2022-03-01,DESKTOP,Great Lakes / New England | Search | Pasture Seed,16583838906,55,4,0.07272727273,6.93,1.73,0,0,0
2022,2022-03-01,MOBILE,Great Lakes / New England | Search | Pasture Seed,16583838906,20,1,0.05,0.84,0.84,0,0,0
2022,2022-03-01,TABLET,Great Lakes / New England | Search | Pasture Seed,16583838906,1,0,0.00%,0,0,0,0,0
2022,2022-03-01,DESKTOP,Great Plains | DSA | Forage Mixes and Pasture Seed,12453610247,146,8,0.05479452055,10.9,1.36,0,0,0
2022,2022-03-01,MOBILE,Great Plains | DSA | Forage Mixes and Pasture Seed,12453610247,101,8,0.07920792079,3.8,0.47,1,26.02,6.85
2022,2022-03-01,TABLET,Great Plains | DSA | Forage Mixes and Pasture Seed,12453610247,4,0,0.00%,0,0,0,0,0
2022,2022-03-01,DESKTOP,Intermountain West | DSA | Forage Mixes and Pasture Seed,12455938522,314,37,0.1178343949,43.34,1.17,1.25,50.09,1.16
2022,2022-03-01,MOBILE,Intermountain West | DSA | Forage Mixes and Pasture Seed,12455938522,395,60,0.1518987342,35.16,0.59,1,16.11,0.46
2022,2022-03-01,TABLET,Intermountain West | DSA | Forage Mixes and Pasture Seed,12455938522,25,3,0.12,2.37,0.79,0,0,0
2022,2022-03-01,DESKTOP,Intermountain West | Search | Pasture Seed,16595988440,36,1,0.02777777778,0.86,0.86,0,0,0
2022,2022-03-01,MOBILE,Intermountain West | Search | Pasture Seed,16595988440,31,2,0.06451612903,1.5,0.75,0,0,0
2022,2022-03-01,TABLET,Intermountain West | Search | Pasture Seed,16595988440,5,0,0.00%,0,0,0,0,0
2022,2022-03-01,DESKTOP,Midwest / Mid-Atlantic | DSA | Forage Mixes and Pasture Seed,12425316629,925,63,0.06810810811,93.73,1.49,2.83,416.72,4.45
