Year,Quarter,Conversion Action Name,All Conversions,All Conv. Value ($)
2022,Q2022-01-01,Transactions (Production),791.64,94670.3
2022,Q2022-04-01,Transactions (Production),1757.17,174607.03
2022,Q2022-07-01,Transactions (Production),1553.4,174480.21
2022,Q2022-10-01,Transactions (Production),549.89,66223.15
2023,Q2023-01-01,PM Gross Profit - Browser,806.55,31554.65
2023,Q2023-01-01,PM Gross Profit - Conversion Booster,28,1078.25
2023,Q2023-01-01,PM Revenue - Browser,800.77,126846.28
2023,Q2023-01-01,PM Revenue - Conversion Booster,28,4792.04
2023,Q2023-01-01,Transactions (Production),1163.55,177482.84
2023,Q2023-04-01,PM Gross Profit - Browser,2442.24,70259.73
2023,Q2023-04-01,PM Gross Profit - Conversion Booster,65,1787.75
2023,Q2023-04-01,PM Revenue - Browser,2432.9,285662.51
2023,Q2023-04-01,PM Revenue - Conversion Booster,65,7192.17
2023,Q2023-04-01,Purchases - GA4,180.78,11826.44
2023,Q2023-04-01,Transactions (Production),1981.04,213778.95
2023,Q2023-07-01,PM Gross Profit - Browser,1734.84,117567.7
2023,Q2023-07-01,PM Gross Profit - Conversion Booster,55,4493.47
2023,Q2023-07-01,PM Revenue - Browser,1755.04,258064.14
2023,Q2023-07-01,PM Revenue - Conversion Booster,56,8839.36
2023,Q2023-07-01,Purchases - GA4,855.73,64760.77
2023,Q2023-07-01,Transactions (Production),1339.5,199507.18
2023,Q2023-07-01,https://www.naturesseed.com - GA4 (web) purchase,469.15,69572.41
2023,Q2023-10-01,PM Gross Profit - Browser,1098.57,74989.48
2023,Q2023-10-01,PM Gross Profit - Conversion Booster,37.5,2695.4
2023,Q2023-10-01,PM Revenue - Browser,1105.48,164532.3
2023,Q2023-10-01,PM Revenue - Conversion Booster,36.5,5926.93
2023,Q2023-10-01,Purchases - GA4,507.69,35269.32
2023,Q2023-10-01,Transactions (Production),54.91,10235.88
2023,Q2023-10-01,https://www.naturesseed.com - GA4 (web) purchase,868.82,140226.49
2023,Q2023-10-01,naturesseed.com (GA4) (web) purchase,0,1.66
2024,Q2024-01-01,PM Gross Profit - Browser,3437.71,244434.97
2024,Q2024-01-01,PM Gross Profit - Conversion Booster,137.58,7951.55
2024,Q2024-01-01,PM Revenue - Browser,3436.36,546938.25
2024,Q2024-01-01,PM Revenue - Conversion Booster,136.58,18858.32
2024,Q2024-01-01,Purchases - GA4,1767.87,128198.68
2024,Q2024-01-01,https://www.naturesseed.com - GA4 (web) purchase,2706.41,434194.38
2024,Q2024-01-01,naturesseed.com (GA4) (web) purchase,1005.19,170287.1
2024,Q2024-04-01,PM Gross Profit - Browser,2201.23,150319.61
2024,Q2024-04-01,PM Gross Profit - Conversion Booster,138.92,6682.8
2024,Q2024-04-01,PM Revenue - Browser,2180.66,328398.65
2024,Q2024-04-01,PM Revenue - Conversion Booster,138.92,16967.22
2024,Q2024-04-01,Purchases - GA4,1210.14,83418.56
2024,Q2024-04-01,https://www.naturesseed.com - GA4 (web) purchase,473.12,76104.99
2024,Q2024-04-01,naturesseed.com (GA4) (web) purchase,1309.01,213426.96
2024,Q2024-07-01,PM Gross Profit - Browser,1050.83,101560.75
2024,Q2024-07-01,PM Gross Profit - Conversion Booster,16,348.78
2024,Q2024-07-01,PM Revenue - Browser,1047.75,174975.68
2024,Q2024-07-01,PM Revenue - Conversion Booster,16,1611.82
2024,Q2024-07-01,Purchases - GA4,211.01,14155.81
2024,Q2024-07-01,[2e35] Google for WooCommerce purchase action,518.38,98641.18
2024,Q2024-07-01,naturesseed.com (GA4) (web) purchase,1493.59,116378.24
2024,Q2024-10-01,[2e35] Google for WooCommerce purchase action,1137.78,217193.84
2024,Q2024-10-01,naturesseed.com (GA4) (web) purchase,2613.89,159979.27
2025,Q2025-01-01,[2e35] Google for WooCommerce purchase action,2819.09,471183.93
2025,Q2025-01-01,naturesseed.com (GA4) (web) purchase,5258.76,392242.22
2025,Q2025-04-01,Begin checkout (Page load naturesseed.com/checkout),19.31,19.31
2025,Q2025-04-01,[2e35] Google for WooCommerce purchase action,1624.62,270230.87
2025,Q2025-04-01,naturesseed.com (GA4) (web) purchase,2319.57,185547.9
2025,Q2025-07-01,Begin checkout (Page load naturesseed.com/checkout),1789.7,1789.7
2025,Q2025-07-01,Calls from ads,1,1
2025,Q2025-07-01,Purchase,39.53,4320.86
2025,Q2025-07-01,[2e35] Google for WooCommerce purchase action,786.99,174701.14
2025,Q2025-07-01,naturesseed.com (GA4) (web) purchase,1352.09,136000.04
2025,Q2025-10-01,Begin checkout (Page load naturesseed.com/checkout),1859,1859
2025,Q2025-10-01,Calls from ads,1,1
2025,Q2025-10-01,Purchase,673.1,52244.22
2025,Q2025-10-01,[2e35] Google for WooCommerce purchase action,614,111808.62
2025,Q2025-10-01,naturesseed.com (GA4) (web) purchase,532.57,89604.59
2026,Q2026-01-01,Begin checkout (Page load naturesseed.com/checkout),3753.44,3753.44
2026,Q2026-01-01,Purchase,1132.14,193819.98
2026,Q2026-01-01,[2e35] Google for WooCommerce purchase action,1099.68,184339.4
2026,Q2026-01-01,naturesseed.com (GA4) (web) purchase,935.14,161316.96
