Campaign ID,Campaign Name,Status,Channel Type,Inferred Category
9833231491,Alfalfa - Leading States (S),REMOVED,SEARCH,Uncategorized
9826185110,Alfalfa - Leading States (Shopping),REMOVED,SHOPPING,Uncategorized
180177454,Arizona Grass Seed,REMOVED,SEARCH,Lawn Seed
9883264494,Bahia Grass Seed (S),REMOVED,SEARCH,Lawn Seed
10218718989,Bahia Grass Seed - Southern States (S),REMOVED,SEARCH,Lawn Seed
10218718992,Bahia Grass Seed - Southern States (Shopping),REMOVED,SHOPPING,Lawn Seed
10213678972,Bermudagrass - Southern States (S),REMOVED,SEARCH,Lawn Seed
10213647988,Bermudagrass - Southern States (Shopping),REMOVED,SHOPPING,Lawn Seed
10218437403,Buffalograss Lawn Seed - Southern States (S),REMOVED,SEARCH,Lawn Seed
10213678975,Buffalograss Lawn Seed - Southern States (Shopping),REMOVED,SHOPPING,Lawn Seed
124555054,CA - Generic (Phrase),REMOVED,SEARCH,Uncategorized
124555534,CA - Region in Query (Broad),REMOVED,SEARCH,Uncategorized
171225334,California Grass Seed,REMOVED,SEARCH,Lawn Seed
12299731566,California | DSA | California Wildflowers,REMOVED,SEARCH,Wildflowers
20481547139,California | PMax | ROAS,PAUSED,PERFORMANCE_MAX,Uncategorized
16460791884,California | Search | Best Grass Seed,REMOVED,SEARCH,Lawn Seed
9623521141,California | Search | California Wildflower Blend,REMOVED,SEARCH,Wildflowers
9841426945,California | Shopping | California Poppy,REMOVED,SHOPPING,Wildflowers
9623521144,California | Shopping | California Wildflower Blend,REMOVED,SHOPPING,Wildflowers
12297492470,California | Shopping | California Wildflowers,REMOVED,SHOPPING,Wildflowers
21693996185,Campaign 2024-09-11 09:58:29,PAUSED,PERFORMANCE_MAX,Uncategorized
173677294,Colorado Grass Seed,REMOVED,SEARCH,Lawn Seed
9842055282,Common Buckwheat - Leading States (S),REMOVED,SEARCH,Uncategorized
9840441805,Common Buckwheat - Leading States (Shopping),REMOVED,SHOPPING,Uncategorized
23159184616,Competitor PMax - Duncan Edit,PAUSED,PERFORMANCE_MAX,Uncategorized
21159231991,DGen | Rmk | Max Conv,PAUSED,DEMAND_GEN,Uncategorized
11349017971,Dairy Cow - Pasture Seed (S),REMOVED,SEARCH,Pasture Seed
11346664257,Dairy Cow Pasture Seed (Shopping),REMOVED,SHOPPING,Pasture Seed
23543379816,Demand Gen - Duncan Edit,PAUSED,DEMAND_GEN,Uncategorized
11443885870,Dynamic Remarketing,REMOVED,DISPLAY,Uncategorized
124555894,Florida - Generic,REMOVED,SEARCH,Uncategorized
124557214,Florida - Region in Query (Broad),REMOVED,SEARCH,Uncategorized
171225694,Florida Grass Seed,REMOVED,SEARCH,Lawn Seed
17807643513,Florida Tropics | DSA,PAUSED,SEARCH,Uncategorized
12453606893,Florida Tropics | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
17738427277,Florida Tropics | Shopping,PAUSED,SHOPPING,Uncategorized
12455902701,Florida Tropics | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751250,Florida Tropics | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
10266405052,Gmail,REMOVED,DISPLAY,Uncategorized
10383282182,Grass Seed (S) - Target ROAS of 700%,REMOVED,SEARCH,Lawn Seed
10036939089,Great Lakes / New England Region | Shopping | Grass Seed,REMOVED,SHOPPING,Lawn Seed
17871484308,Great Lakes / New England | DSA,PAUSED,SEARCH,Uncategorized
12455893806,Great Lakes / New England | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
16583838906,Great Lakes / New England | Search | Pasture Seed,REMOVED,SEARCH,Pasture Seed
17738427265,Great Lakes / New England | Shopping,PAUSED,SHOPPING,Uncategorized
12455902698,Great Lakes / New England | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751253,Great Lakes / New England | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
19786655694,Great Lakes / New England | State-Targeted | DSA,PAUSED,SEARCH,Uncategorized
19786655691,Great Lakes / New England | State-Targeted | Shopping,PAUSED,SHOPPING,Uncategorized
17871484302,Great Plains | DSA,PAUSED,SEARCH,Uncategorized
12453610247,Great Plains | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,Pasture Seed
22101973918,Great Plains | PMax | ROAS,PAUSED,PERFORMANCE_MAX,Uncategorized
17738427259,Great Plains | Shopping,PAUSED,SHOPPING,Uncategorized
12455902692,Great Plains | Shopping | Forage Mixes,REMOVED,SHOPPING,Pasture Seed
18022751256,Great Plains | Shopping | Forage Mixes,PAUSED,SHOPPING,Pasture Seed
11349545648,Horse - Pasture Seed (S),REMOVED,SEARCH,Pasture Seed
11024623152,Horse - Pasture Seed - Florida Tropics (S),REMOVED,SEARCH,Pasture Seed
11029197078,Horse - Pasture Seed - Florida Tropics (Shopping),REMOVED,SHOPPING,Pasture Seed
11024648097,Horse - Pasture Seed - Great Lakes / New England (S),REMOVED,SEARCH,Pasture Seed
11030944471,Horse - Pasture Seed - Great Lakes / New England (Shopping),REMOVED,SHOPPING,Pasture Seed
