old_product_id,old_title,old_total_spend,old_total_revenue,old_roas,new_product_id,new_title,match_method,match_confidence
s-trre,White Dutch Clover Lawn Seed - Bulk bags available - No added filler,15071.61,132792.09,8.81,gla_447280,"White Dutch Clover Seed - Low-Mow Lawn Alternative & Pasture - 10 lb, Covers 20,000 sq ft | Nature's Seed",user_confirmed,high
s-trre,White Dutch Clover Lawn Seed - Bulk bags available - No added filler,15071.61,132792.09,8.81,gla_447281,"White Dutch Clover Seed - Low-Mow Lawn Alternative & Pasture - 25 lb, Covers 50,000 sq ft | Nature's Seed",user_confirmed,high
s-trre,White Dutch Clover Lawn Seed - Bulk bags available - No added filler,15071.61,132792.09,8.81,gla_447282,"White Dutch Clover Seed - Low-Mow Lawn Alternative & Pasture - 5 lb, Covers 10,000 sq ft | Nature's Seed",user_confirmed,high
s-micro,Microclover Seed For Lawns - Bulk bags available - No added filler,5755.40,43823.99,7.61,gla_451060,"Microclover Lawn Seed - Self-Fertilizing Lawn Alternative - 1 lb, Covers 1,000 sq ft | Nature's Seed",user_confirmed,high
s-micro,Microclover Seed For Lawns - Bulk bags available - No added filler,5755.40,43823.99,7.61,gla_451061,"Microclover Lawn Seed - Self-Fertilizing Lawn Alternative - 2 lb, Covers 2,000 sq ft | Nature's Seed",user_confirmed,high
s-micro,Microclover Seed For Lawns - Bulk bags available - No added filler,5755.40,43823.99,7.61,gla_451062,"Microclover Lawn Seed - Self-Fertilizing Lawn Alternative - 5 lb, Covers 5,000 sq ft | Nature's Seed",user_confirmed,high
gla_187069,California Habitat Mix,5002.67,18924.46,3.78,gla_447331,"California Native Grass Seed Mix - Habitat Restoration Bunchgrass - 25 lb, Covers 50,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_187069,California Habitat Mix,5002.67,18924.46,3.78,gla_447332,"California Native Grass Seed Mix - Habitat Restoration Bunchgrass - 50 lb, Covers 100,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_401735,Jimmy's Blue Ribbon Premium Grass Seed Mix,3776.37,12695.21,3.36,gla_445881,"Premium Lawn Seed Mix (Jimmy's Blue Ribbon) - High-Traffic, Sun & Shade - 10 lb, Covers 2,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_401735,Jimmy's Blue Ribbon Premium Grass Seed Mix,3776.37,12695.21,3.36,gla_445880,"Premium Lawn Seed Mix (Jimmy's Blue Ribbon) - High-Traffic, Sun & Shade - 25 lb, Covers 5,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_401735,Jimmy's Blue Ribbon Premium Grass Seed Mix,3776.37,12695.21,3.36,gla_445882,"Premium Lawn Seed Mix (Jimmy's Blue Ribbon) - High-Traffic, Sun & Shade - 5 lb, Covers 1,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_406887,Triple-Play Turf Type Tall Fescue Seed Blend,5926.69,12644.75,2.13,gla_446820,"Tall Fescue Pasture Seed - Deep-Rooted Forage Grass - 25 lb, Covers 25,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_406887,Triple-Play Turf Type Tall Fescue Seed Blend,5926.69,12644.75,2.13,gla_445458,"Tall Fescue Pasture Seed - Deep-Rooted Forage Grass - 5 lb, Covers 5,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_406887,Triple-Play Turf Type Tall Fescue Seed Blend,5926.69,12644.75,2.13,gla_446821,"Tall Fescue Pasture Seed - Deep-Rooted Forage Grass - 50 lb, Covers 50,000 sq ft | Nature's Seed",replacement_map_title,medium
pb-pnwec,Pacific Northwest Erosion Control Mix,2105.20,12550.27,5.96,gla_447444,"California Erosion Control Seed Mix - Native Slope Stabilization - 25 lb,  | Nature's Seed",replacement_map,medium
pb-pnwec,Pacific Northwest Erosion Control Mix,2105.20,12550.27,5.96,gla_447445,"California Erosion Control Seed Mix - Native Slope Stabilization - 5 lb,  | Nature's Seed",replacement_map,medium
pb-pnwec,Pacific Northwest Erosion Control Mix,2105.20,12550.27,5.96,gla_447446,"California Erosion Control Seed Mix - Native Slope Stabilization - 50 lb,  | Nature's Seed",replacement_map,medium
turf-ff,Fine Fescue Grass Seed Mix,1493.18,11548.07,7.73,gla_445905,"Fine Fescue Lawn Seed Mix - Low-Maintenance, Sun & Shade - 10 lb, Covers 2,000 sq ft | Nature's Seed",replacement_map,medium
turf-ff,Fine Fescue Grass Seed Mix,1493.18,11548.07,7.73,gla_445904,"Fine Fescue Lawn Seed Mix - Low-Maintenance, Sun & Shade - 25 lb, Covers 5,000 sq ft | Nature's Seed",replacement_map,medium
turf-ff,Fine Fescue Grass Seed Mix,1493.18,11548.07,7.73,gla_445905,"Fine Fescue Lawn Seed Mix - Low-Maintenance, Sun & Shade - 5 lb, Covers 1,000 sq ft | Nature's Seed",replacement_map,medium
pb-pnwd,Pacific Northwest Dryland Pasture Mix,1553.07,11359.81,7.31,gla_445284,"Sheep Pasture Seed Mix - Cold Season, High-Protein Legume - 10 lb, Covers 20,000 sq ft | Nature's Seed",replacement_map_title,medium
pb-pnwd,Pacific Northwest Dryland Pasture Mix,1553.07,11359.81,7.31,gla_445844,"Sheep Pasture Seed Mix - Cold Season, High-Protein Legume - 20 lb, Covers 40,000 sq ft | Nature's Seed",replacement_map_title,medium
pb-pnwd,Pacific Northwest Dryland Pasture Mix,1553.07,11359.81,7.31,gla_445843,"Sheep Pasture Seed Mix - Cold Season, High-Protein Legume - 50 lb, Covers 100,000 sq ft | Nature's Seed",replacement_map_title,medium
pb-glh,Great Lakes/New England Horse Forage Mix,1052.16,9973.14,9.48,gla_445559,"Horse Pasture Seed Mix - Transitional Zone Forage (Zones 3-7) - 10 lb, Covers 20,000 sq ft | Nature's Seed",replacement_map,medium
pb-glh,Great Lakes/New England Horse Forage Mix,1052.16,9973.14,9.48,gla_445282,"Horse Pasture Seed Mix - Transitional Zone Forage (Zones 3-7) - 20 lb, Covers 40,000 sq ft | Nature's Seed",replacement_map,medium
pb-glh,Great Lakes/New England Horse Forage Mix,1052.16,9973.14,9.48,gla_445851,"Horse Pasture Seed Mix - Transitional Zone Forage (Zones 3-7) - 50 lb, Covers 100,000 sq ft | Nature's Seed",replacement_map,medium
gla_186743,California Native Erosion Control Mix,2796.17,9790.41,3.50,gla_447444,"California Erosion Control Seed Mix - Native Slope Stabilization - 25 lb,  | Nature's Seed",replacement_map_title,medium
gla_186743,California Native Erosion Control Mix,2796.17,9790.41,3.50,gla_447445,"California Erosion Control Seed Mix - Native Slope Stabilization - 5 lb,  | Nature's Seed",replacement_map_title,medium
gla_186743,California Native Erosion Control Mix,2796.17,9790.41,3.50,gla_447446,"California Erosion Control Seed Mix - Native Slope Stabilization - 50 lb,  | Nature's Seed",replacement_map_title,medium
pb-gls,Great Lakes/New England Sheep Forage Mix,510.20,9626.54,18.87,gla_445286,"Sheep & Goat Pasture Seed Mix - High-Protein Transitional - 10 lb, Covers 10,000 sq ft | Nature's Seed",replacement_map,medium
