new_product_id,current_title,product_type,custom_label_0,price,total_historical_spend,total_historical_revenue,aggregated_roas,old_product_ids_mapped
gla_445519,M-Binder Hydroseeding Tackifier - 50 lb Professional Tack Agent | Nature's Seed,Planting Aids,planting aid,119.99 USD,248.02,2286.19,9.22,"17069819940365260987, 895914149260020598, gla_185395, gla_185397, gla_444226, gla_445519, s-tacki, s-tacki-10-lb, s-tacki-25-lb, s-tacki-50-lb"
gla_457050,"Sundancer Buffalograss Lawn Seed - Drought-Tolerant, Warm Season - 15 lb, Covers 5,000 sq ft | Nature's Seed",Lawn / Turf Seeds > Home Lawn/Yard Grass Seed,grass-seed,496.99 USD,346.57,3064.78,8.84,"gla_457050, gla_457051, gla_457052, turf-buda, turf-buda-1000-f, turf-buda-1500-f, turf-buda-2000-f, turf-buda-500-f, turf-buda-5000-f"
gla_457051,"Sundancer Buffalograss Lawn Seed - Drought-Tolerant, Warm Season - 3 lb, Covers 1,000 sq ft | Nature's Seed",Lawn / Turf Seeds > Home Lawn/Yard Grass Seed,grass-seed,116.99 USD,346.57,3064.78,8.84,"gla_457050, gla_457051, gla_457052, turf-buda, turf-buda-1000-f, turf-buda-1500-f, turf-buda-2000-f, turf-buda-500-f, turf-buda-5000-f"
gla_457052,"Sundancer Buffalograss Lawn Seed - Drought-Tolerant, Warm Season - 6 lb, Covers 2,000 sq ft | Nature's Seed",Lawn / Turf Seeds > Home Lawn/Yard Grass Seed,grass-seed,209.99 USD,346.57,3064.78,8.84,"gla_457050, gla_457051, gla_457052, turf-buda, turf-buda-1000-f, turf-buda-1500-f, turf-buda-2000-f, turf-buda-500-f, turf-buda-5000-f"
gla_458049,"Hardy Lawn Grass Seed Mix - Durable Turf for Repair & Overseeding - 10 lb, Covers 2,000 sq ft | Nature's Seed",Lawn / Turf Seeds > Home Lawn/Yard Grass Seed,grass-seed,79.99 USD,22.56,164.18,7.28,"gla_458049, gla_458050, gla_458051"
gla_458050,"Hardy Lawn Grass Seed Mix - Durable Turf for Repair & Overseeding - 25 lb, Covers 5,000 sq ft | Nature's Seed",Lawn / Turf Seeds > Home Lawn/Yard Grass Seed,grass-seed,199.79 USD,22.56,164.18,7.28,"gla_458049, gla_458050, gla_458051"
gla_458051,"Hardy Lawn Grass Seed Mix - Durable Turf for Repair & Overseeding - 5 lb, Covers 1,000 sq ft | Nature's Seed",Lawn / Turf Seeds > Home Lawn/Yard Grass Seed,grass-seed,44.99 USD,22.56,164.18,7.28,"gla_458049, gla_458050, gla_458051"
gla_452687,"Brittlebush Seed - Native Desert Shrub for Xeriscape - 0.5 lb, Covers 1000 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,19.04 USD,42.34,307.51,7.26,"gla_183522, gla_183523, gla_183524, gla_183525, gla_183526, gla_183527, gla_452686, gla_452687, gla_452688, w-enfa, w-enfa-0.5-lb, w-enfa-1-lb"
gla_452688,"Brittlebush Seed - Native Desert Shrub for Xeriscape - 1 lb, Covers 2000 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,35.99 USD,42.34,307.51,7.26,"gla_183522, gla_183523, gla_183524, gla_183525, gla_183526, gla_183527, gla_452686, gla_452687, gla_452688, w-enfa, w-enfa-0.5-lb, w-enfa-1-lb"
gla_445910,"Alpaca & Llama Pasture Seed Mix - Low-Sugar Forage Blend - 10 lb, Covers 20,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Alpaca Forage,pasture,29.99 USD,137.4,994.58,7.24,"gla_440345, gla_445260, gla_445909, gla_445910, pb-gpal, pb-gpal-0.5-a, pb-gpal-1-a, pb-gpal-2.5-a, pb-mwal, pb-mwal-0.5-a, pb-mwal-1-a, pb-mwal-2.5-a"
gla_445909,"Alpaca & Llama Pasture Seed Mix - Low-Sugar Forage Blend - 20 lb, Covers 40,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Alpaca Forage,pasture,49.99 USD,137.4,994.58,7.24,"gla_440345, gla_445260, gla_445909, gla_445910, pb-gpal, pb-gpal-0.5-a, pb-gpal-1-a, pb-gpal-2.5-a, pb-mwal, pb-mwal-0.5-a, pb-mwal-1-a, pb-mwal-2.5-a"
gla_445260,"Alpaca & Llama Pasture Seed Mix - Low-Sugar Forage Blend - 50 lb, Covers 100,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Alpaca Forage,pasture,119.99 USD,137.4,994.58,7.24,"gla_440345, gla_445260, gla_445909, gla_445910, pb-gpal, pb-gpal-0.5-a, pb-gpal-1-a, pb-gpal-2.5-a, pb-mwal, pb-mwal-0.5-a, pb-mwal-1-a, pb-mwal-2.5-a"
gla_452686,"Brittlebush Seed - Native Desert Shrub for Xeriscape - 0.25 lb, Covers 500 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,10.58 USD,44.51,309.64,6.96,"gla_183522, gla_183523, gla_183524, gla_183525, gla_183526, gla_183527, gla_452686, gla_452687, gla_452688, w-enfa, w-enfa-0.25-lb, w-enfa-0.5-lb, w-enfa-1-lb"
gla_450360,"Organic Rice Hulls Soil Amendment - 10 lb Seed Carrier & Conditioner - Covers 2,000 sq ft | Nature's Seed",Planting Aids > Soil Amendments & Conditioners,planting aid,32.99 USD,229.51,1349.5,5.88,"4281967375768740325, 604468901117813775, gla_185273, gla_185274, gla_185275, gla_444229, gla_450360, gla_450362, gla_450363, s-rice, s-rice-10-lb, s-rice-25-lb"
gla_450363,"Organic Rice Hulls Soil Amendment - 5 lb Seed Carrier & Conditioner - Covers 1,000 sq ft | Nature's Seed",Planting Aids > Soil Amendments & Conditioners,planting aid,17.99 USD,229.51,1349.5,5.88,"4281967375768740325, 604468901117813775, gla_185273, gla_185274, gla_185275, gla_444229, gla_450360, gla_450362, gla_450363, s-rice, s-rice-10-lb, s-rice-25-lb"
gla_447437,"Narrowleaf Milkweed Seed - Native Pollinator Wildflower - 0.25 lb, Covers 10,000 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,100.99 USD,246.11,1401.95,5.7,"1279819859209052349, 17361488848801195516, 3494513378152443315, gla_186052, gla_186053, gla_186054, gla_186055, gla_186056, gla_186057, gla_186058, gla_186059, gla_186060, gla_186061, gla_186062, gla_186063, gla_441530, gla_447437, gla_447438, gla_447439, w-asfa, w-asfa-0.25-lb, w-asfa-0.5-lb, w-asfa-1-lb, w-asfa-1-p, w-asfa-5-p, w-asfa-50-p, w-asfa-n-0.25-lb, w-asfa-n-0.5-lb, w-asfa-n-1-lb, w-asfa-n-1-p, w-asfa-n-5-p, w-asfa-n-50-p, w-basa-0.25-lb, w-basa-0.5-lb, w-basa-1-lb, w-basa-1-p, w-basa-5-p, w-basa-50-p"
gla_447438,"Narrowleaf Milkweed Seed - Native Pollinator Wildflower - 1 lb, Covers 40,000 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,315.89 USD,241.28,1353.61,5.61,"1279819859209052349, 17361488848801195516, 3494513378152443315, gla_186052, gla_186053, gla_186054, gla_186055, gla_186056, gla_186057, gla_186058, gla_186059, gla_186060, gla_186061, gla_186062, gla_186063, gla_441530, gla_447437, gla_447438, gla_447439, w-asfa, w-asfa-0.5-lb, w-asfa-1-lb, w-asfa-1-p, w-asfa-5-p, w-asfa-50-p, w-asfa-n-0.25-lb, w-asfa-n-0.5-lb, w-asfa-n-1-lb, w-asfa-n-1-p, w-asfa-n-5-p, w-asfa-n-50-p, w-basa-0.25-lb, w-basa-0.5-lb, w-basa-1-lb, w-basa-1-p, w-basa-5-p, w-basa-50-p"
gla_444944,"Alfalfa Pasture Seed - Premium Forage & Soil-Improving Legume - 25 lb, Covers 25,000 sq ft | Nature's Seed",Pasture Seeds > Single Species Pasture Seeds,pasture,179.99 USD,696.55,3715.17,5.33,"gla_444236, gla_444944, gla_444949, pg-mesa, pg-mesa-1-lb, pg-mesa-10-lb, pg-mesa-25-lb, pg-mesa-50-lb"
gla_444236,"Alfalfa Pasture Seed - Premium Forage & Soil-Improving Legume - 5 lb, Covers 5,000 sq ft | Nature's Seed",Pasture Seeds > Single Species Pasture Seeds,pasture,39.99 USD,696.55,3715.17,5.33,"gla_444236, gla_444944, gla_444949, pg-mesa, pg-mesa-1-lb, pg-mesa-10-lb, pg-mesa-25-lb, pg-mesa-50-lb"
gla_444949,"Alfalfa Pasture Seed - Premium Forage & Soil-Improving Legume - 50 lb, Covers 50,000 sq ft | Nature's Seed",Pasture Seeds > Single Species Pasture Seeds,pasture,339.99 USD,696.55,3715.17,5.33,"gla_444236, gla_444944, gla_444949, pg-mesa, pg-mesa-1-lb, pg-mesa-10-lb, pg-mesa-25-lb, pg-mesa-50-lb"
gla_450362,Organic Rice Hulls Soil Amendment - 45 lb Seed Carrier & Conditioner | Nature's Seed,Planting Aids > Soil Amendments & Conditioners,planting aid,104.99 USD,267.74,1406.3,5.25,"4281967375768740325, 604468901117813775, gla_185273, gla_185274, gla_185275, gla_444229, gla_450360, gla_450362, gla_450363, s-rice, s-rice-10-lb, s-rice-25-lb, s-rice-45-lb"
gla_452754,"Western Yarrow Wildflower Seed (Achillea) - Native Perennial - 0.5 lb, Covers 1000 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,31.74 USD,68.56,356.76,5.2,"1750558475508618222, gla_185250, gla_185251, gla_185253, gla_185254, gla_185255, gla_185256, gla_185259, gla_185261, gla_452753, gla_452754, gla_452755, gs4_000014, w-acla, w-acla-0.5-lb, w-acla-1-lb, w-acla-1-p, w-acla-5-p, w-acla-50-p, w-acla-n-0.25-lb, w-acla-n-0.5-lb, w-acla-n-1-lb, w-acla-n-1-p, w-acla-n-5-p, w-acla-n-50-p, w-bamu-0.25-lb, w-bamu-0.5-lb, w-bamu-1-lb, w-bamu-1-p, w-bamu-5-p, w-bamu-50-p"
gla_452755,"Western Yarrow Wildflower Seed (Achillea) - Native Perennial - 1 lb, Covers 2000 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,59.99 USD,68.56,356.76,5.2,"1750558475508618222, gla_185250, gla_185251, gla_185253, gla_185254, gla_185255, gla_185256, gla_185259, gla_185261, gla_452753, gla_452754, gla_452755, gs4_000014, w-acla, w-acla-0.5-lb, w-acla-1-lb, w-acla-1-p, w-acla-5-p, w-acla-50-p, w-acla-n-0.25-lb, w-acla-n-0.5-lb, w-acla-n-1-lb, w-acla-n-1-p, w-acla-n-5-p, w-acla-n-50-p, w-bamu-0.25-lb, w-bamu-0.5-lb, w-bamu-1-lb, w-bamu-1-p, w-bamu-5-p, w-bamu-50-p"
