new_product_id,current_title,product_type,custom_label_0,price,total_historical_spend,total_historical_revenue,aggregated_roas,old_product_ids_mapped
gla_447280,"White Dutch Clover Seed - Low-Mow Lawn Alternative & Pasture - 10 lb, Covers 20,000 sq ft | Nature's Seed",Specialty Seeds > Lawn and Pasture Support > Ground Covers > White Dutch Clover,clover,79.98 USD,10079.39,55826.77,5.54,"15185123836980647356, 394687563753623753, 862829027232841101, gla_406919, gla_406920, gla_406921, gla_406922, gla_406923, gla_406924, gla_441395, gla_441404, gla_444233, gla_444243, gla_447280, gla_447281, gla_447282, s-trre, s-trre-0.25-a, s-trre-1000-f, s-trre-1500-f, s-trre-2000-f, s-trre-500-f, s-trre-5000-f"
gla_447281,"White Dutch Clover Seed - Low-Mow Lawn Alternative & Pasture - 25 lb, Covers 50,000 sq ft | Nature's Seed",Specialty Seeds > Lawn and Pasture Support > Ground Covers > White Dutch Clover,clover,199.99 USD,10079.39,55826.77,5.54,"15185123836980647356, 394687563753623753, 862829027232841101, gla_406919, gla_406920, gla_406921, gla_406922, gla_406923, gla_406924, gla_441395, gla_441404, gla_444233, gla_444243, gla_447280, gla_447281, gla_447282, s-trre, s-trre-0.25-a, s-trre-1000-f, s-trre-1500-f, s-trre-2000-f, s-trre-500-f, s-trre-5000-f"
gla_447282,"White Dutch Clover Seed - Low-Mow Lawn Alternative & Pasture - 5 lb, Covers 10,000 sq ft | Nature's Seed",Specialty Seeds > Lawn and Pasture Support > Ground Covers > White Dutch Clover,clover,44.99 USD,10079.39,55826.77,5.54,"15185123836980647356, 394687563753623753, 862829027232841101, gla_406919, gla_406920, gla_406921, gla_406922, gla_406923, gla_406924, gla_441395, gla_441404, gla_444233, gla_444243, gla_447280, gla_447281, gla_447282, s-trre, s-trre-0.25-a, s-trre-1000-f, s-trre-1500-f, s-trre-2000-f, s-trre-500-f, s-trre-5000-f"
gla_445559,"Horse Pasture Seed Mix - Transitional Zone Forage (Zones 3-7) - 10 lb, Covers 20,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Horse Forage,pasture,49.99 USD,7037.18,32139.98,4.57,"12621975593523878229, gla_183556, gla_183557, gla_183558, gla_183570, gla_183571, gla_183572, gla_183584, gla_183585, gla_183586, gla_183612, gla_183613, gla_183614, gla_183640, gla_183641, gla_183642, gla_183696, gla_183697, gla_183698, gla_183724, gla_183725, gla_183726, gla_183780, gla_183781, gla_183782, gla_183808, gla_183809, gla_183810, gla_183836, gla_183837, gla_183838, gla_183864, gla_183865, gla_183866, gla_183892, gla_183893, gla_183894, gla_183920, gla_183921, gla_183922, gla_183948, gla_183949, gla_183950, gla_184011, gla_184012, gla_184013, gla_184394, gla_184395, gla_184396, gla_184397, gla_184398, gla_184399, gla_184400, gla_184401, gla_184839, gla_184840, gla_184841, gla_184842, gla_184843, gla_185013, gla_185014, gla_185015, gla_185041, gla_185042, gla_185043, gla_185069, gla_185070, gla_185071, gla_185475, gla_185476, gla_185477, gla_185478, gla_185479, gla_185480, gla_185481, gla_185482, gla_185499, gla_185500, gla_185501, gla_185502, gla_185503, gla_185504, gla_185505, gla_185506, gla_185511, gla_185512, gla_185513, gla_185514, gla_185515, gla_185516, gla_185517, gla_185518, gla_186793, gla_186805, gla_186806, gla_186807, gla_186812, gla_186813, gla_186814, gla_438225, gla_438226, gla_440368, gla_440376, gla_440384, gla_440409, gla_442089, gla_442090, gla_442092, gla_445282, gla_445559, gla_445851, pb-fth, pb-fth-0.5-a, pb-fth-1-a, pb-fth-2.5-a, pb-fts, pb-glal, pb-glb, pb-gldc, pb-glg, pb-glh, pb-glh-0.5-a, pb-glh-1-a, pb-glh-2.5-a, pb-glp, pb-glpb, pb-glpg, pb-glpg-0.5-a, pb-glpg-1-a, pb-glpg-2.5-a, pb-gph, pb-gph-0.5-a, pb-gph-1-a, pb-gph-2.5-a, pb-iwb, pb-iwg, pb-iwh, pb-iwh-0.5-a, pb-iwh-1-a, pb-iwh-2.5-a, pb-iwpb, pb-iwpg, pb-iwpg-0.5-a, pb-iwpg-1-a, pb-iwpg-2.5-a, pb-mwb, pb-mwbc, pb-mwdc, pb-mwg, pb-mwh, pb-mwh-0.5-a, pb-mwh-1-a, pb-mwh-2.5-a, pb-mwpg, pb-mwpg-0.5-a, pb-mwpg-1-a, pb-mwpg-2.5-a"
gla_445282,"Horse Pasture Seed Mix - Transitional Zone Forage (Zones 3-7) - 20 lb, Covers 40,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Horse Forage,pasture,89.99 USD,7037.18,32139.98,4.57,"12621975593523878229, gla_183556, gla_183557, gla_183558, gla_183570, gla_183571, gla_183572, gla_183584, gla_183585, gla_183586, gla_183612, gla_183613, gla_183614, gla_183640, gla_183641, gla_183642, gla_183696, gla_183697, gla_183698, gla_183724, gla_183725, gla_183726, gla_183780, gla_183781, gla_183782, gla_183808, gla_183809, gla_183810, gla_183836, gla_183837, gla_183838, gla_183864, gla_183865, gla_183866, gla_183892, gla_183893, gla_183894, gla_183920, gla_183921, gla_183922, gla_183948, gla_183949, gla_183950, gla_184011, gla_184012, gla_184013, gla_184394, gla_184395, gla_184396, gla_184397, gla_184398, gla_184399, gla_184400, gla_184401, gla_184839, gla_184840, gla_184841, gla_184842, gla_184843, gla_185013, gla_185014, gla_185015, gla_185041, gla_185042, gla_185043, gla_185069, gla_185070, gla_185071, gla_185475, gla_185476, gla_185477, gla_185478, gla_185479, gla_185480, gla_185481, gla_185482, gla_185499, gla_185500, gla_185501, gla_185502, gla_185503, gla_185504, gla_185505, gla_185506, gla_185511, gla_185512, gla_185513, gla_185514, gla_185515, gla_185516, gla_185517, gla_185518, gla_186793, gla_186805, gla_186806, gla_186807, gla_186812, gla_186813, gla_186814, gla_438225, gla_438226, gla_440368, gla_440376, gla_440384, gla_440409, gla_442089, gla_442090, gla_442092, gla_445282, gla_445559, gla_445851, pb-fth, pb-fth-0.5-a, pb-fth-1-a, pb-fth-2.5-a, pb-fts, pb-glal, pb-glb, pb-gldc, pb-glg, pb-glh, pb-glh-0.5-a, pb-glh-1-a, pb-glh-2.5-a, pb-glp, pb-glpb, pb-glpg, pb-glpg-0.5-a, pb-glpg-1-a, pb-glpg-2.5-a, pb-gph, pb-gph-0.5-a, pb-gph-1-a, pb-gph-2.5-a, pb-iwb, pb-iwg, pb-iwh, pb-iwh-0.5-a, pb-iwh-1-a, pb-iwh-2.5-a, pb-iwpb, pb-iwpg, pb-iwpg-0.5-a, pb-iwpg-1-a, pb-iwpg-2.5-a, pb-mwb, pb-mwbc, pb-mwdc, pb-mwg, pb-mwh, pb-mwh-0.5-a, pb-mwh-1-a, pb-mwh-2.5-a, pb-mwpg, pb-mwpg-0.5-a, pb-mwpg-1-a, pb-mwpg-2.5-a"
gla_445851,"Horse Pasture Seed Mix - Transitional Zone Forage (Zones 3-7) - 50 lb, Covers 100,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Horse Forage,pasture,209.99 USD,7037.18,32139.98,4.57,"12621975593523878229, gla_183556, gla_183557, gla_183558, gla_183570, gla_183571, gla_183572, gla_183584, gla_183585, gla_183586, gla_183612, gla_183613, gla_183614, gla_183640, gla_183641, gla_183642, gla_183696, gla_183697, gla_183698, gla_183724, gla_183725, gla_183726, gla_183780, gla_183781, gla_183782, gla_183808, gla_183809, gla_183810, gla_183836, gla_183837, gla_183838, gla_183864, gla_183865, gla_183866, gla_183892, gla_183893, gla_183894, gla_183920, gla_183921, gla_183922, gla_183948, gla_183949, gla_183950, gla_184011, gla_184012, gla_184013, gla_184394, gla_184395, gla_184396, gla_184397, gla_184398, gla_184399, gla_184400, gla_184401, gla_184839, gla_184840, gla_184841, gla_184842, gla_184843, gla_185013, gla_185014, gla_185015, gla_185041, gla_185042, gla_185043, gla_185069, gla_185070, gla_185071, gla_185475, gla_185476, gla_185477, gla_185478, gla_185479, gla_185480, gla_185481, gla_185482, gla_185499, gla_185500, gla_185501, gla_185502, gla_185503, gla_185504, gla_185505, gla_185506, gla_185511, gla_185512, gla_185513, gla_185514, gla_185515, gla_185516, gla_185517, gla_185518, gla_186793, gla_186805, gla_186806, gla_186807, gla_186812, gla_186813, gla_186814, gla_438225, gla_438226, gla_440368, gla_440376, gla_440384, gla_440409, gla_442089, gla_442090, gla_442092, gla_445282, gla_445559, gla_445851, pb-fth, pb-fth-0.5-a, pb-fth-1-a, pb-fth-2.5-a, pb-fts, pb-glal, pb-glb, pb-gldc, pb-glg, pb-glh, pb-glh-0.5-a, pb-glh-1-a, pb-glh-2.5-a, pb-glp, pb-glpb, pb-glpg, pb-glpg-0.5-a, pb-glpg-1-a, pb-glpg-2.5-a, pb-gph, pb-gph-0.5-a, pb-gph-1-a, pb-gph-2.5-a, pb-iwb, pb-iwg, pb-iwh, pb-iwh-0.5-a, pb-iwh-1-a, pb-iwh-2.5-a, pb-iwpb, pb-iwpg, pb-iwpg-0.5-a, pb-iwpg-1-a, pb-iwpg-2.5-a, pb-mwb, pb-mwbc, pb-mwdc, pb-mwg, pb-mwh, pb-mwh-0.5-a, pb-mwh-1-a, pb-mwh-2.5-a, pb-mwpg, pb-mwpg-0.5-a, pb-mwpg-1-a, pb-mwpg-2.5-a"
gla_451060,"Microclover Lawn Seed - Self-Fertilizing Lawn Alternative - 1 lb, Covers 1,000 sq ft | Nature's Seed",Specialty Seeds > Clover Seeds,clover,44.99 USD,2791.84,16830.35,6.03,"15022839895668128413, 17958769870861415175, 1927560446564466257, 2752512239358278028, 9167064174439823749, gla_184632, gla_184633, gla_184635, gla_185711, gla_185712, gla_185713, gla_185714, gla_185715, gla_444225, gla_445525, gla_451060, gla_451061, gla_451062, s-micro, s-micro-1-lb, s-micro-1000-f, s-micro-1500-f, s-micro-2000-f, s-micro-500-f, s-micro-5000-f"
gla_451061,"Microclover Lawn Seed - Self-Fertilizing Lawn Alternative - 2 lb, Covers 2,000 sq ft | Nature's Seed",Specialty Seeds > Clover Seeds,clover,79.99 USD,2791.84,16830.35,6.03,"15022839895668128413, 17958769870861415175, 1927560446564466257, 2752512239358278028, 9167064174439823749, gla_184632, gla_184633, gla_184635, gla_185711, gla_185712, gla_185713, gla_185714, gla_185715, gla_444225, gla_445525, gla_451060, gla_451061, gla_451062, s-micro, s-micro-1000-f, s-micro-1500-f, s-micro-2000-f, s-micro-500-f, s-micro-5000-f"
gla_451062,"Microclover Lawn Seed - Self-Fertilizing Lawn Alternative - 5 lb, Covers 5,000 sq ft | Nature's Seed",Specialty Seeds > Clover Seeds,clover,189.99 USD,2791.84,16830.35,6.03,"15022839895668128413, 17958769870861415175, 1927560446564466257, 2752512239358278028, 9167064174439823749, gla_184632, gla_184633, gla_184635, gla_185711, gla_185712, gla_185713, gla_185714, gla_185715, gla_444225, gla_445525, gla_451060, gla_451061, gla_451062, s-micro, s-micro-1000-f, s-micro-1500-f, s-micro-2000-f, s-micro-500-f, s-micro-5000-f"
gla_445857,"Goat Pasture & Forage Mix - 10 lb, Covers 20,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Goat Forage,pasture,49.99 USD,2859.79,13478.44,4.71,"4237633835126307064, 7314928617712776989, gla_183591, gla_183592, gla_183593, gla_183675, gla_183676, gla_183677, gla_183759, gla_183760, gla_183761, gla_183822, gla_183843, gla_183844, gla_183845, gla_183927, gla_183928, gla_183929, gla_184004, gla_184005, gla_184006, gla_184785, gla_184786, gla_184787, gla_184788, gla_184789, gla_184812, gla_184813, gla_184814, gla_184815, gla_184816, gla_185048, gla_185049, gla_185050, gla_185216, gla_185217, gla_185218, gla_186652, gla_186653, gla_186655, gla_186854, gla_186855, gla_186856, gla_440364, gla_440366, gla_440372, gla_440374, gla_440380, gla_445278, gla_445856, gla_445857, pb-goat-s_pb-goat-s, pb-goat-t_pb-goat-t, pb-gpg, pb-gpg-0.5-a, pb-gpg-1-a, pb-gpg-2.5-a, pb-gpp, pb-gppg, pb-gppg-0.5-a, pb-gppg-1-a, pb-gppg-2.5-a, pb-pswg, pb-pswg-0.5-a, pb-pswg-1-a, pb-pswg-2.5-a, pb-satg, pb-satg-0.5-a, pb-satg-1-a, pb-satg-2.5-a, pb-ssaal, pb-ssab, pb-ssadc, pb-ssag, pb-ssag-0.5-a, pb-ssag-1-a, pb-ssag-2.5-a, pb-ssah, pb-ssap, pb-ssapb, pb-ssapg, pb-ssapg-0.5-a, pb-ssapg-1-a, pb-ssapg-2.5-a, pb-ssas, pb-swdb, pb-swdg, pb-swdg-0.5-a, pb-swdg-1-a, pb-swdg-2.5-a, pb-swtg, pb-swtg-0.5-a, pb-swtg-1-a, pb-swtg-2.5-a, pg-avsa, pg-avsa-1-lb, pg-avsa-10-lb, pg-avsa-25-lb, pg-avsa-50-lb, pg-trar-1-lb, pg-trar-10-lb, pg-trar-25-lb, pg-trar-50-lb"
