new_product_id,current_title,product_type,custom_label_0,price,total_historical_spend,total_historical_revenue,aggregated_roas,old_product_ids_mapped
gla_447346,"Native Erosion Control Seed Mix - Arid Region Stabilization - 10 lb, Covers 20,000 sq ft | Nature's Seed",Specialty Seeds > Restoration Seed Mix,specialty,99.99 USD,68.92,0.0,0.0,"gla_447346, gla_447347, gla_447348"
gla_447347,"Native Erosion Control Seed Mix - Arid Region Stabilization - 20 lb, Covers 40,000 sq ft | Nature's Seed",Specialty Seeds > Restoration Seed Mix,specialty,179.99 USD,68.92,0.0,0.0,"gla_447346, gla_447347, gla_447348"
gla_447348,"Native Erosion Control Seed Mix - Arid Region Stabilization - 50 lb, Covers 100,000 sq ft | Nature's Seed",Specialty Seeds > Restoration Seed Mix,specialty,429.99 USD,68.92,0.0,0.0,"gla_447346, gla_447347, gla_447348"
gla_452653,"Bush Monkeyflower Seed - California Native Hummingbird Plant - 0.25 lb, Covers 500 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,19.99 USD,27.65,0.5,0.02,"452646_w-diaua-1-lb-kit, gla_186243, gla_186244, gla_186245, gla_186246, gla_186247, gla_186248, gla_452653, gla_452654, gla_452655, w-diaua, w-diaua-0.25-lb, w-diaua-0.5-lb, w-diaua-1-lb"
gla_452654,"Bush Monkeyflower Seed - California Native Hummingbird Plant - 0.5 lb, Covers 1000 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,35.98 USD,26.28,0.5,0.02,"452646_w-diaua-1-lb-kit, gla_186243, gla_186244, gla_186245, gla_186246, gla_186247, gla_186248, gla_452653, gla_452654, gla_452655, w-diaua, w-diaua-0.5-lb, w-diaua-1-lb"
gla_452655,"Bush Monkeyflower Seed - California Native Hummingbird Plant - 1 lb, Covers 2000 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,67.99 USD,26.28,0.5,0.02,"452646_w-diaua-1-lb-kit, gla_186243, gla_186244, gla_186245, gla_186246, gla_186247, gla_186248, gla_452653, gla_452654, gla_452655, w-diaua, w-diaua-0.5-lb, w-diaua-1-lb"
gla_458430,"Meadow Lawn Grass Seed Blend - Sun & Partial Shade Turf - 10 lb, Covers 2,000 sq ft | Nature's Seed",Lawn / Turf Seeds > Home Lawn/Yard Grass Seed,grass-seed,51.29 USD,23.96,0.35,0.01,"gla_458430, gla_458431, gla_458432"
gla_458431,"Meadow Lawn Grass Seed Blend - Sun & Partial Shade Turf - 25 lb, Covers 5,000 sq ft | Nature's Seed",Lawn / Turf Seeds > Home Lawn/Yard Grass Seed,grass-seed,127.79 USD,23.96,0.35,0.01,"gla_458430, gla_458431, gla_458432"
gla_458432,"Meadow Lawn Grass Seed Blend - Sun & Partial Shade Turf - 5 lb, Covers 1,000 sq ft | Nature's Seed",Lawn / Turf Seeds > Home Lawn/Yard Grass Seed,grass-seed,28.99 USD,23.96,0.35,0.01,"gla_458430, gla_458431, gla_458432"
gla_452805,"Golden Yarrow Wildflower Seed - California Native Perennial - 0.25 lb, Covers 500 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,54.11 USD,12.74,0.0,0.0,"gla_452805, gla_452806, gla_452807, gs1_000018, gs2_000018, gs3_000018"
gla_452806,"Golden Yarrow Wildflower Seed - California Native Perennial - 0.5 lb, Covers 1000 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,97.39 USD,12.74,0.0,0.0,"gla_452805, gla_452806, gla_452807, gs1_000018, gs2_000018, gs3_000018"
gla_452807,"Golden Yarrow Wildflower Seed - California Native Perennial - 1 lb, Covers 2000 sq ft | Nature's Seed",Wildflower Seeds > Single Species Wildflower,wildflower,183.99 USD,12.74,0.0,0.0,"gla_452805, gla_452806, gla_452807, gs1_000018, gs2_000018, gs3_000018"
