Campaign Name,Ad Group,Keyword Text,Match Type,Quality Score,Last 3M Impressions,Last 3M Clicks,Last 3M Cost,Last 3M Conversions,Last 3M Revenue,Last 3M ROAS
Search | Brand | ROAS,Brand,natures seed,EXACT,10,2044,1032,1046.85,93.4,21575.75,20.61
Search | Animal Seed (Broad) | ROAS,Cattle,cattle forage seed,BROAD,10,4760,378,957.72,7.2,1349.77,1.41
Search | Animal Seed (Broad) | ROAS,Horse,horse pasture seed mix,BROAD,7,3045,285,948.54,4.0,615.16,0.65
Search | Animal Seed (Broad) | ROAS,Cattle,cattle grass seed,BROAD,7,2861,305,760.54,8.5,1296.40,1.70
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,wildflower seed,BROAD,7,4939,333,683.05,10.0,1718.31,2.52
Search | Animal Seed (Broad) | ROAS,Cattle,pasture mix for beef cattle,BROAD,,3498,288,562.74,6.3,886.69,1.58
Search | Animal Seed (Broad) | ROAS,White Dutch Clover,white dutch clover seed,BROAD,7,3010,150,380.94,7.5,774.67,2.03
Search | Animal Seed (Broad) | ROAS,Horse,horse pasture seed,BROAD,7,1597,133,361.68,1.5,920.85,2.55
Search | Animal Seed (Broad) | ROAS,Sheep,best grass for sheep,BROAD,7,3139,193,359.53,4.4,367.66,1.02
Search | Animal Seed (Broad) | ROAS,Sheep,sheep forage seed mix,BROAD,10,2285,150,337.97,1.1,67.03,0.20
Search | Animal Seed (Broad) | ROAS,Horse,pasture seed for horses,BROAD,8,1320,120,304.75,2.5,575.01,1.89
Search | Animal Seed (Broad) | ROAS,Wildflower Seed,bulk california wildflower seeds,BROAD,8,1086,98,204.79,3.0,444.36,2.17
Search | Animal Seed (Broad) | ROAS,White Dutch Clover,dutch clover seed,BROAD,7,1758,81,204.39,4.0,2103.88,10.29
Search | Animal Seed (Broad) | ROAS,Cattle,cow pasture seed,BROAD,8,997,97,203.61,3.5,710.98,3.49
Search | Animal Seed (Broad) | ROAS,Poultry,seed mix for chickens,BROAD,10,1677,106,199.17,6.6,520.34,2.61
