Product Item ID,Product Title,Product Type L1,Product Type L2,Total Impressions,Total Clicks,Total Cost ($),Total Conversions,Total Revenue ($),Total ROAS,CTR (%),Avg CPC ($),Conv Rate (%),Avg Order Value ($),Quarters Active,Campaigns,Matched Live ID,Match Type
gla_441400,Sheep Fescue Grass,lawn seed,fescue grass seed,1924,22,12.54,1.00,270.26,21.55,1.14,0.57,4.55,270.26,1,5,gla_446822,title_contains
gla_446609,"Nature's Seed Forage 50 Lb of Pasture Grass Seed for 50,000 Sq Ft Kentucky Bluegrass Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,21543,139,116.43,11.64,2482.30,21.32,0.65,0.84,8.37,213.26,3,4,gla_446609,id_exact
gla_445284,"Nature's Seed Cool‐Adapted Pasture & Forage 10 Lb for 10,000 Sq Ft Mix No Fillers, Just Quality Feed for Sheep",new,pasture seeds mix,14911,81,78.13,1.35,1246.15,15.95,0.54,0.96,1.67,923.07,3,7,gla_445284,id_exact
gla_445850,"Nature's Seed Warm‐Season Pasture & Forage 20 Lb for 20,000 Sq Ft Mix No Filler, Palatable Seed for Horses",pasture seeds,pasture seeds mix,13990,77,150.92,16.54,1828.45,12.12,0.55,1.96,21.48,110.55,3,7,gla_445850,id_exact
gla_183537,Sheep Fescue Grass,lawn seed,grass seed by state,2768,11,32.39,2.00,354.94,10.96,0.40,2.94,18.18,177.47,4,7,gla_446822,title_contains
s-feov,Sheep Fescue Grass Seed,grass seed,sheep fescue grass,74554,1035,434.16,63.15,4726.15,10.89,1.39,0.42,6.10,74.84,8,12,gla_446822,title_contains
gla_445838,"Nature's Seed California Forage 5 Lb of Pasture Grass Seed for 5,000 Sq Ft Mix Native seed blend",pasture seeds,pasture seeds mix,5146,41,139.45,7.57,1331.02,9.54,0.80,3.40,18.46,175.83,3,4,gla_445838,id_exact
gla_445848,"Nature's Seed Transitional Pasture & Forage 20 Lb for 20,000 Sq Ft Mix No Fillers, Just Quality Feed for Sheep",pasture seeds,pasture seeds mix,20653,168,227.78,13.72,2152.15,9.45,0.81,1.36,8.17,156.86,3,7,gla_445848,id_exact
gla_445843,"Nature's Seed Cool‐Adapted Pasture & Forage 50 Lb for 50,000 Sq Ft Mix No Fillers, Just Quality Feed for Sheep",pasture seeds,pasture seeds mix,13849,87,185.38,3.80,1697.97,9.16,0.63,2.13,4.37,446.83,3,7,gla_445843,id_exact
gla_446613,"Nature's Seed Pasture & Forage 25 Lb for 25,000 Sq Ft Buffalograss Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,5591,27,23.98,1.00,209.49,8.74,0.48,0.89,3.70,209.49,3,7,gla_446613,id_exact
