Product Item ID,Product Title,Product Type L1,Product Type L2,Total Impressions,Total Clicks,Total Cost ($),Total Conversions,Total Revenue ($),Total ROAS,CTR (%),Avg CPC ($),Conv Rate (%),Avg Order Value ($),Quarters Active,Campaigns
gla_183683,Southern Subtropics Beef Cattle Forage Mix,pasture seed,cattle pastures,279,2,0.18,0.84,143.94,799.67,0.72,0.09,42.00,171.36,2,3
pb-satal-2.5-a,South-Atlantic Transitional Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional alpaca/llama forage blend,2717,7,4.49,0.98,343.75,76.56,0.26,0.64,14.00,350.77,3,3
pb-glg-2.5-a,Great Lakes/New England Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england goat forage blend,7641,44,35.58,3.33,2640.30,74.21,0.58,0.81,7.57,792.88,4,3
gla_183703,Florida Tropics Beef Cattle Forage Mix,pasture seed,cattle pastures,534,8,6.18,3.00,317.88,51.44,1.50,0.77,37.50,105.96,2,3
gla_445219,"Nature's Seed Blue Grama 5 Lb bag of seed mix for 5,000 Sq. ft | Forage and Pasture special, No Fillers",uncategorized,,238,8,4.67,1.00,211.37,45.26,3.36,0.58,12.50,211.37,1,2
pb-glal-2.5-a,Great Lakes/New England Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england alpaca/llama forage blend,4439,18,11.96,1.00,528.18,44.16,0.41,0.66,5.56,528.18,4,3
gla_185505,Intermountain West Poultry Forage Mix,pasture seed,poultry pastures,2835,28,37.25,2.00,1572.24,42.21,0.99,1.33,7.14,786.12,4,8
15785794808287785802,Southern Subtropics Sheep Pasture Seed Mix,,,181,4,1.89,0.59,62.70,33.17,2.21,0.47,14.75,106.27,1,1
pb-ftdc-0.5-a,Florida Tropics Dairy Cow Forage Blend - Pasture Seed | Nature's Seed,pasture seed,florida tropics dairy cow forage blend,2401,9,2.84,0.32,86.01,30.29,0.37,0.32,3.56,268.78,3,3
pb-mwdc-0.5-a,Mid-West/Mid-Atlantic Dairy Cow Forage Blend - Pasture Seed | Nature's Seed,pasture seed,mid-west/mid-atlantic dairy cow forage blend,7424,30,12.29,1.30,358.90,29.20,0.40,0.41,4.33,276.08,4,3
pb-swdg-2.5-a,Southwest Desert Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest desert goat forage blend,17337,124,121.71,1.73,3515.23,28.88,0.72,0.98,1.40,2031.92,4,3
pb-pswh-0.5-a,Pacific Southwest Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific southwest horse forage blend,8268,46,55.54,7.53,1557.00,28.03,0.56,1.21,16.37,206.77,4,3
pb-psws-0.5-a,Pacific Southwest Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific southwest sheep forage blend,4315,14,8.42,1.00,229.38,27.24,0.32,0.60,7.14,229.38,4,3
pb-satpb-500-f,South-Atlantic Transitional Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional poultry forage blend,5106,22,15.06,2.67,409.32,27.18,0.43,0.68,12.14,153.30,4,3
gla_183997,Great Plains Alpaca/Llama Forage Mix,pasture seed,alpaca/llama pastures,2483,46,67.98,5.00,1811.09,26.64,1.85,1.48,10.87,362.22,4,9
gla_183578,South-Atlantic Transitional Horse Forage Mix,pasture seed,horse pastures,5939,89,108.63,2.53,2869.78,26.42,1.50,1.22,2.84,1134.30,4,9
pb-satal-1-a,South-Atlantic Transitional Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional alpaca/llama forage blend,7665,25,22.48,1.85,589.91,26.24,0.33,0.90,7.40,318.87,3,3
pb-pnws-0.5-a,Pacific Northwest Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific northwest sheep forage blend,23657,152,173.18,4.00,4450.63,25.70,0.64,1.14,2.63,1112.66,4,3
pb-pnwpb-2.5-a,Pacific Northwest Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific northwest poultry forage blend,17688,142,87.37,2.83,2155.10,24.67,0.80,0.62,1.99,761.52,4,3
gla_183837,Intermountain West Goat Forage Mix,pasture seed,goat pastures,1048,21,18.81,1.57,439.60,23.37,2.00,0.90,7.48,280.00,3,5
pb-ssah,Southwest Semi-Arid Steppe Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest semi-arid steppe horse forage mix,16563,48,26.62,2.00,615.36,23.12,0.29,0.55,4.17,307.68,8,8
pb-ssal-0.5-a,Southern Subtropics Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics alpaca/llama forage blend,3279,7,2.31,0.25,52.81,22.86,0.21,0.33,3.57,211.24,4,3
pb-glal-0.5-a,Great Lakes/New England Alpaca/Llama Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england alpaca/llama forage blend,12884,37,16.72,2.10,363.77,21.76,0.29,0.45,5.68,173.22,4,3
gla_185530,Pacific Southwest Poultry Forage Mix,pasture seed,poultry pastures,2842,17,21.78,2.00,470.05,21.58,0.60,1.28,11.76,235.03,4,10
gla_441400,Sheep Fescue Grass,lawn seed,fescue grass seed,1924,22,12.54,1.00,270.26,21.55,1.14,0.57,4.55,270.26,1,5
gla_446609,"Nature's Seed Forage 50 Lb of Pasture Grass Seed for 50,000 Sq Ft Kentucky Bluegrass Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,21543,139,116.43,11.64,2482.30,21.32,0.65,0.84,8.37,213.26,3,4
gla_183969,Pacific Southwest Alpaca/Llama Forage Mix,pasture seed,alpaca/llama pastures,227,5,5.80,1.00,122.81,21.17,2.20,1.16,20.00,122.81,3,6
pb-swddc-2.5-a,Southwest Desert Dairy Cow Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest desert dairy cow forage blend,2964,8,3.65,0.25,75.46,20.67,0.27,0.46,3.12,301.84,4,3
pb-ftdc-2.5-a,Florida Tropics Dairy Cow Forage Blend - Pasture Seed | Nature's Seed,pasture seed,florida tropics dairy cow forage blend,1959,8,8.31,0.65,156.83,18.87,0.41,1.04,8.12,241.28,3,3
pb-gls,Great Lakes/New England Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,great lakes/new england sheep forage mix,85798,732,510.20,24.54,9626.54,18.87,0.85,0.70,3.35,392.28,8,8
