Product Item ID,Product Title,Product Type L1,Product Type L2,Total Impressions,Total Clicks,Total Cost ($),Total Conversions,Total Revenue ($),Total ROAS,CTR (%),Avg CPC ($),Conv Rate (%),Avg Order Value ($),Quarters Active,Campaigns
s-trre,White Dutch Clover Lawn Seed - Bulk bags available - No added filler,grass seed,white dutch clover,3604628,55563,15071.61,2885.40,132792.09,8.81,1.54,0.27,5.19,46.02,8,20
s-micro,Microclover Seed For Lawns - Bulk bags available - No added filler,grass seed,microclover,1190108,15702,5755.40,736.25,43823.99,7.61,1.32,0.37,4.69,59.52,8,7
pb-pnwec,Pacific Northwest Erosion Control Mix Specialty Seed | Nature's Seed,specialty seed,pacific northwest erosion control mix,227310,2772,2105.20,97.04,12550.27,5.96,1.22,0.76,3.50,129.33,7,6
turf-ff,Fine Fescue Grass Seed Mix | Nature's Seed,grass seed,fine fescue grass seed mix,339894,3613,1493.18,100.10,11548.07,7.73,1.06,0.41,2.77,115.37,8,11
pb-pnwd,Pacific Northwest Dryland Pasture Mix Specialty Seed | Nature's Seed,specialty seed,pacific northwest dryland pasture mix,196943,2417,1553.07,43.87,11359.81,7.31,1.23,0.64,1.82,258.94,7,6
pb-glh,Great Lakes/New England Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,great lakes/new england horse forage mix,149438,1208,1052.16,47.78,9973.14,9.48,0.81,0.87,3.96,208.73,8,8
pb-gls,Great Lakes/New England Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,great lakes/new england sheep forage mix,85798,732,510.20,24.54,9626.54,18.87,0.85,0.70,3.35,392.28,8,8
gla_184640,Buffalograss,pasture seed,individual pasture species,169148,2759,2139.38,62.04,8641.93,4.04,1.63,0.78,2.25,139.30,4,9
pb-sath,South-Atlantic Transitional Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional horse forage mix,119517,825,644.58,17.82,7942.39,12.32,0.69,0.78,2.16,445.70,8,8
pb-pnwh,Pacific Northwest Horse Forage Mix,pasture seed,pacific northwest horse forage mix,128562,1514,1063.70,42.86,7676.74,7.22,1.18,0.70,2.83,179.11,8,13
pb-gph,Great Plains Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,great plains horse forage mix,153667,899,782.69,16.01,7171.94,9.16,0.59,0.87,1.78,447.97,8,8
pg-buda-1-lb,Buffalograss - Pasture Seed | Nature's Seed,pasture seed,buffalograss,250409,2476,1583.70,46.00,6612.89,4.18,0.99,0.64,1.86,143.76,4,3
