search_term,total_spend,total_clicks,total_conversions,total_conv_value,roas,recommended_action
pasture seed,3221.71,1692,79.41,12504.37,3.88,Monitor / Exact Match candidate
pasture grass seed,2495.87,1886,70.5,10986.05,4.4,Monitor / Exact Match candidate
grass seed,2096.24,1491,45.9,8636.17,4.12,Monitor / Exact Match candidate
goat pasture seed mix,849.9,685,24.75,8148.92,9.59,Add as Exact Match keyword
horse pasture seed,1722.96,881,29.26,5545.12,3.22,Monitor / Exact Match candidate
white clover seed,1015.13,810,31.03,5187.82,5.11,Add as Exact Match keyword
cattle pasture seed,198.97,128,8.0,4648.05,23.36,Add as Exact Match keyword
pasture seed for cattle,351.47,276,12.15,4358.57,12.4,Add as Exact Match keyword
pasture seed for horses,978.57,521,21.87,4267.99,4.36,Monitor / Exact Match candidate
sheep pasture seed mix,708.03,560,24.33,4040.55,5.71,Add as Exact Match keyword
orchard grass seed,1224.49,1202,54.1,3870.21,3.16,Monitor / Exact Match candidate
organic pasture seed,281.57,106,8.8,3836.5,13.63,Add as Exact Match keyword
kentucky bluegrass seed,853.62,692,22.79,3790.77,4.44,Monitor / Exact Match candidate
frost seeding,11.84,4,7.18,3734.04,315.38,Add as Exact Match keyword
horse pasture seed mix,1051.08,549,27.66,3664.3,3.49,Monitor / Exact Match candidate
sheep pasture mix,327.14,191,15.48,3455.28,10.56,Add as Exact Match keyword
pasture seed mix,1406.66,901,23.17,3016.33,2.14,Monitor
buffalo grass seed,763.72,1137,22.41,2906.83,3.81,Monitor / Exact Match candidate
chicken pasture seed,323.63,262,23.89,2861.84,8.84,Add as Exact Match keyword
creeping red fescue,73.67,115,7.0,2814.52,38.2,Add as Exact Match keyword
buffalo grass seed for sale,82.42,145,17.0,2423.08,29.4,Add as Exact Match keyword
pig pasture seed mix,134.73,153,12.0,2364.65,17.55,Add as Exact Match keyword
alpaca grass seed,110.79,68,8.2,2315.94,20.9,Add as Exact Match keyword
pasture seed mix for cattle,309.34,192,12.87,2183.09,7.06,Add as Exact Match keyword
california wildflower seeds,371.17,135,16.0,2092.65,5.64,Add as Exact Match keyword
switchgrass seed,455.9,765,17.2,2072.17,4.55,Monitor / Exact Match candidate
best pasture seed for horses,210.24,130,7.12,2063.15,9.81,Add as Exact Match keyword
sheep fescue grass seed,188.14,117,8.0,2044.38,10.87,Add as Exact Match keyword
chicken forage seed mix,858.62,692,37.5,2029.28,2.36,Monitor
nature's finest northern blend grass seed,141.41,38,2.0,2026.38,14.33,Add as Exact Match keyword
horse grass seed,179.84,117,6.5,2000.86,11.13,Add as Exact Match keyword
clover seed,1067.11,849,33.88,1994.53,1.87,Review / consider negative
alfalfa seed,329.45,731,23.9,1930.92,5.86,Add as Exact Match keyword
native clover seeds,4.18,8,1.0,1921.93,459.79,Add as Exact Match keyword
tall fescue seed,80.31,83,4.89,1847.92,23.01,Add as Exact Match keyword
orchardgrass seed,246.35,106,3.91,1686.0,6.84,Add as Exact Match keyword
great basin seed,349.95,93,4.0,1656.86,4.73,Monitor / Exact Match candidate
drought tolerant pasture grass seed,92.06,126,3.33,1625.14,17.65,Add as Exact Match keyword
best winter pasture for cattle,1.58,6,1.0,1563.91,989.82,Add as Exact Match keyword
wild grass seed,213.4,208,9.0,1483.96,6.95,Add as Exact Match keyword
fescue bermuda mix,1.94,2,1.0,1469.83,757.64,Add as Exact Match keyword
pasture seeds,516.16,227,16.76,1459.43,2.83,Monitor
goat pasture seed,389.4,294,15.27,1413.3,3.63,Monitor / Exact Match candidate
goat forage seed mix,220.37,236,11.82,1393.98,6.33,Add as Exact Match keyword
sheep forage seed mix,75.55,60,3.99,1307.53,17.31,Add as Exact Match keyword
organic grass seed,300.3,167,7.33,1255.43,4.18,Monitor / Exact Match candidate
alfalfa seeds,319.2,522,20.01,1234.2,3.87,Monitor / Exact Match candidate
pasture grass seed for sheep,34.01,25,1.71,1211.71,35.63,Add as Exact Match keyword
pasture grass seed mix,244.88,170,7.11,1203.13,4.91,Monitor / Exact Match candidate
best seed for goat pasture,38.33,35,6.0,1192.65,31.12,Add as Exact Match keyword
meadow fescue,3.51,11,2.0,1184.74,337.53,Add as Exact Match keyword
idaho fescue seed,122.71,130,10.76,1184.06,9.65,Add as Exact Match keyword
sheep pasture seed,244.45,105,8.06,1178.39,4.82,Monitor / Exact Match candidate
best pasture grass for horses,221.74,248,3.55,1177.75,5.31,Add as Exact Match keyword
groundcover seeds,9.19,12,1.0,1174.44,127.8,Add as Exact Match keyword
timothy grass seed,275.42,368,15.33,1167.4,4.24,Monitor / Exact Match candidate
field grass seed,226.87,231,19.49,1164.6,5.13,Add as Exact Match keyword
goat grass seed,43.51,58,9.0,1162.56,26.72,Add as Exact Match keyword
fine fescue grass seed,578.04,398,21.56,1151.2,1.99,Review / consider negative
microclover seed,751.78,341,16.9,1140.3,1.52,Review / consider negative
dryland pasture seed mix colorado,43.4,29,1.0,1138.6,26.24,Add as Exact Match keyword
alpaca pasture seed,201.25,97,5.68,1136.21,5.65,Add as Exact Match keyword
cereal rye seed,381.8,559,24.5,1119.46,2.93,Monitor
organic orchard grass seed,40.27,21,1.5,1076.63,26.74,Add as Exact Match keyword
buffalo supreme buffalo grass seed,0.64,1,1.0,1069.77,1671.52,Add as Exact Match keyword
bulk california wildflower seeds,59.19,18,3.45,1059.34,17.9,Add as Exact Match keyword
poultry pasture seed,205.99,141,15.77,1042.15,5.06,Add as Exact Match keyword
sheep fescue seed,165.72,80,7.24,1033.14,6.23,Add as Exact Match keyword
pasture seed for sheep,153.35,113,7.35,1025.31,6.69,Add as Exact Match keyword
best grass for alpacas,18.07,26,2.0,1015.73,56.21,Add as Exact Match keyword
intermediate wheatgrass seed,37.42,55,2.0,996.59,26.63,Add as Exact Match keyword
pasture grass seed for horses,545.12,332,8.51,996.01,1.83,Review / consider negative
horse pasture grass seed,477.81,251,8.5,994.05,2.08,Monitor
pasture grass seed for sale,127.12,134,4.0,983.35,7.74,Add as Exact Match keyword
southern pasture seed mix,35.52,27,4.01,981.55,27.63,Add as Exact Match keyword
turf seed,13.03,5,1.0,976.8,74.97,Add as Exact Match keyword
clover seeds for lawn,455.32,354,18.0,973.62,2.14,Monitor
winter pasture grass for horses,7.82,13,2.0,969.72,124.01,Add as Exact Match keyword
california native plant seeds,32.09,25,3.76,959.57,29.9,Add as Exact Match keyword
wildflower seeds,412.76,220,9.7,921.73,2.23,Monitor
dryland pasture mix,178.58,250,3.79,918.05,5.14,Add as Exact Match keyword
shade tolerant ground cover plants,0.31,1,2.0,901.98,2909.61,Add as Exact Match keyword
wheat grass seeds,60.96,84,2.0,895.1,14.68,Add as Exact Match keyword
nature's finest seed,308.4,101,5.5,889.61,2.88,Monitor
chicken pasture seed mix,292.65,179,12.08,886.93,3.03,Monitor / Exact Match candidate
texas native grasses for cattle,6.58,14,3.0,856.77,130.21,Add as Exact Match keyword
pasture grass mix,128.91,102,5.0,852.11,6.61,Add as Exact Match keyword
sticky geranium seeds,0.88,2,1.0,852.11,968.31,Add as Exact Match keyword
best pasture grass for goats,26.89,47,2.0,838.03,31.17,Add as Exact Match keyword
best pasture mix for sheep,56.27,72,1.01,836.98,14.87,Add as Exact Match keyword
nature's finest thick and hearty grass seed,38.52,13,1.0,835.98,21.7,Add as Exact Match keyword
natural seeds,206.56,52,1.0,832.3,4.03,Monitor / Exact Match candidate
hazlet rye seed,0.36,1,1.0,824.25,2289.58,Add as Exact Match keyword
narrow leaf milkweed seeds,6.33,24,4.0,819.71,129.5,Add as Exact Match keyword
buy orchard grass seed,17.19,11,4.0,818.7,47.63,Add as Exact Match keyword
sainfoin seed,155.51,233,10.84,808.03,5.2,Add as Exact Match keyword
micro clover seed,871.33,392,13.46,792.7,0.91,Review / consider negative
white dutch clover seed,460.01,277,14.53,782.76,1.7,Review / consider negative
white sweet clover,17.08,41,3.99,776.38,45.46,Add as Exact Match keyword
best texas grass seed,3.43,4,2.0,772.51,225.22,Add as Exact Match keyword
microclover,678.72,336,9.68,766.01,1.13,Review / consider negative
