search_term,total_spend,total_clicks,total_conversions,total_conv_value,roas,recommended_action
nature's finest grass seed,1834.27,461,6.76,712.52,0.39,Review / consider negative
micro clover seed,871.33,392,13.46,792.7,0.91,Review / consider negative
clover seeds,591.52,412,13.79,521.76,0.88,Review / consider negative
createdbynature com plant,539.48,79,0.0,0.0,0.0,Review / consider negative
white dutch clover,497.25,493,14.81,282.72,0.57,Review / consider negative
zoysia grass seed,402.93,499,1.75,202.44,0.5,Review / consider negative
natures finest grass seed,367.62,73,2.0,90.57,0.25,Review / consider negative
hay seed,367.23,384,4.03,315.93,0.86,Review / consider negative
dutch white clover,365.38,347,8.04,301.84,0.83,Review / consider negative
pasture mix seed,330.21,311,0.0,0.0,0.0,Review / consider negative
native seeds,283.94,156,5.8,244.19,0.86,Review / consider negative
nature's finest ™ midwest master premium grass seed,283.7,71,1.0,50.09,0.18,Review / consider negative
created by nature,274.79,47,1.0,1.0,0.0,Review / consider negative
organic seeds,254.02,105,0.0,0.0,0.0,Review / consider negative
sheep fescue,224.23,314,10.94,198.41,0.88,Review / consider negative
white clover,219.62,329,4.0,173.96,0.79,Review / consider negative
pasture mix,204.28,122,2.35,64.29,0.31,Review / consider negative
bahia grass seed,197.24,179,0.0,0.0,0.0,Review / consider negative
cattle pasture seed mix,196.33,184,0.05,11.71,0.06,Review / consider negative
grass seeds,194.01,190,3.32,164.33,0.85,Review / consider negative
created by nature com plant,191.58,42,1.0,81.99,0.43,Review / consider negative
california wildflower seed mix,185.62,80,5.0,140.67,0.76,Review / consider negative
grass seed for horse pasture,184.6,126,1.0,1.0,0.01,Review / consider negative
native grass seed mix,184.6,159,1.25,161.9,0.88,Review / consider negative
big bluestem grass seed,184.54,255,2.24,172.57,0.94,Review / consider negative
fescue grass seed,181.78,216,3.0,174.56,0.96,Review / consider negative
pasture grass seed for cattle,175.24,166,1.33,123.04,0.7,Review / consider negative
big bluestem seed,174.24,257,2.03,155.19,0.89,Review / consider negative
native california grass seed,173.19,31,3.0,3.0,0.02,Review / consider negative
equine pasture seed mix,170.82,89,0.0,0.0,0.0,Review / consider negative
microclover seeds,169.88,64,1.5,88.46,0.52,Review / consider negative
american meadows seeds,169.55,37,0.0,0.0,0.0,Review / consider negative
mini clover seed,160.14,69,1.0,19.1,0.12,Review / consider negative
best seed for horse pasture,159.51,112,0.0,1.02,0.01,Review / consider negative
seeds for sale,150.5,52,1.0,35.16,0.23,Review / consider negative
fescue grass,150.11,552,3.69,140.27,0.93,Review / consider negative
best grass seed for horse pasture,148.46,122,0.0,0.0,0.0,Review / consider negative
pasture seed for sale,143.26,109,2.1,18.07,0.13,Review / consider negative
seed,142.31,108,0.0,0.0,0.0,Review / consider negative
orchard grass seed for sale,141.26,97,1.12,9.17,0.06,Review / consider negative
creeping thyme seeds,138.56,54,0.33,37.67,0.27,Review / consider negative
ernst seeds,136.6,35,0.0,0.0,0.0,Review / consider negative
white dutch clover seeds,135.97,55,1.33,61.3,0.45,Review / consider negative
hay seed mix,133.37,140,0.5,39.99,0.3,Review / consider negative
seed for horse pasture,132.72,72,1.05,1.05,0.01,Review / consider negative
best grass seed for cattle pasture,127.02,34,0.0,0.0,0.0,Review / consider negative
nature's finest premium grass seed,126.67,38,0.0,0.0,0.0,Review / consider negative
meadow grass seed,123.06,106,2.11,9.76,0.08,Review / consider negative
pasture seed for chickens,121.37,69,0.03,2.99,0.02,Review / consider negative
nature's finest ™ midwest master premium grass seed 15 lbs,119.72,28,0.0,0.0,0.0,Review / consider negative
prairie grass seed mix,116.22,84,0.25,46.81,0.4,Review / consider negative
best grass for horses,114.12,126,0.0,0.0,0.0,Review / consider negative
forage seed mix,112.71,92,5.0,112.09,0.99,Review / consider negative
seeds,112.69,118,1.0,1.0,0.01,Review / consider negative
erosion control grass seed,110.71,108,1.45,60.45,0.55,Review / consider negative
lawn seed for sale,110.61,6,0.0,0.0,0.0,Review / consider negative
best horse pasture seed,110.24,62,0.0,0.0,0.0,Review / consider negative
mini clover,108.71,64,1.0,46.89,0.43,Review / consider negative
california native wildflower mix,108.22,30,5.0,57.05,0.53,Review / consider negative
clover grass seed mix,103.97,73,0.68,89.02,0.86,Review / consider negative
native american seed,101.88,36,0.0,0.0,0.0,Review / consider negative
clover seeds for sale,97.28,67,1.0,36.66,0.38,Review / consider negative
buckwheat seeds,94.84,122,1.0,14.68,0.15,Review / consider negative
zoysia seed,92.55,92,1.5,68.5,0.74,Review / consider negative
best pasture seed for cattle,92.11,60,0.0,0.0,0.0,Review / consider negative
dryland pasture mix colorado,88.74,84,0.0,0.0,0.0,Review / consider negative
organic chicken forage seed mix,88.65,62,3.0,75.94,0.86,Review / consider negative
hancock seed,88.1,36,1.87,6.05,0.07,Review / consider negative
hard fescue grass seed,83.58,64,0.23,74.65,0.89,Review / consider negative
grass seed bulk,83.43,49,0.0,0.0,0.0,Review / consider negative
pasture mix grass seed 50 lb bag,82.66,89,0.44,0.44,0.01,Review / consider negative
little bluestem seed,81.54,102,0.5,16.08,0.2,Review / consider negative
best grass for horse pasture,80.9,109,0.5,68.48,0.85,Review / consider negative
pasture mix for cattle,80.7,99,2.0,41.63,0.52,Review / consider negative
chicken fodder seed mix,79.8,79,0.0,0.0,0.0,Review / consider negative
nature's finest midwest master premium grass seed,79.35,15,0.0,0.0,0.0,Review / consider negative
baker creek seeds,79.19,25,0.0,0.0,0.0,Review / consider negative
california native wildflower seeds bulk,78.75,22,0.78,18.52,0.24,Review / consider negative
seed for chicken pasture,76.42,30,0.5,0.5,0.01,Review / consider negative
erosion control,74.57,72,1.0,0.01,0.0,Review / consider negative
buffalograss seed,74.56,84,0.0,0.0,0.0,Review / consider negative
best pasture grass for cattle,73.98,154,0.01,1.56,0.02,Review / consider negative
micro clover lawn,73.95,133,1.76,31.83,0.43,Review / consider negative
california wildflower seeds bulk,72.82,25,0.0,0.0,0.0,Review / consider negative
winter pasture seed mix,72.65,27,0.0,0.0,0.0,Review / consider negative
plant seeds,72.37,50,0.0,0.0,0.0,Review / consider negative
wheatgrass seeds,71.63,82,2.58,62.33,0.87,Review / consider negative
winter pasture mix,71.48,49,0.0,0.0,0.0,Review / consider negative
native pasture seed mix,71.47,63,2.0,41.61,0.58,Review / consider negative
best sheep pasture mix,70.86,54,0.0,0.59,0.01,Review / consider negative
brome grass seed,70.49,129,5.5,69.56,0.99,Review / consider negative
creosote bush,70.45,471,0.0,0.0,0.0,Review / consider negative
chicken forage seed,70.39,47,1.05,1.42,0.02,Review / consider negative
cow pasture seed mix,70.07,51,0.0,0.0,0.0,Review / consider negative
pnw grass seed,69.6,32,0.5,58.42,0.84,Review / consider negative
ca native wildflower seeds,68.47,11,0.0,0.0,0.0,Review / consider negative
buffalo grass seeds,68.37,70,0.0,0.0,0.0,Review / consider negative
colorado wildflower seeds,66.55,48,0.11,20.18,0.3,Review / consider negative
indian grass seed,66.47,104,0.52,28.66,0.43,Review / consider negative
dry pasture seed mix,65.68,56,0.0,0.0,0.0,Review / consider negative
micro clover seeds for lawn,65.67,29,0.0,0.0,0.0,Review / consider negative
order seeds online,65.4,17,0.0,0.0,0.0,Review / consider negative
dry land pasture seed,65.17,79,1.0,62.81,0.96,Review / consider negative
horse hay seed mix,64.96,68,0.0,0.0,0.0,Review / consider negative
beef pasture mix,64.38,45,0.0,0.0,0.0,Review / consider negative
seeds online,64.13,50,0.0,0.0,0.0,Review / consider negative
organic seed,63.74,9,0.0,0.0,0.0,Review / consider negative
wheatgrass,63.36,173,0.0,0.0,0.0,Review / consider negative
grass,62.54,63,0.0,0.0,0.0,Review / consider negative
irrigated pasture seed mix,62.01,46,0.0,0.0,0.0,Review / consider negative
chicken fodder seeds,61.85,44,1.0,39.99,0.65,Review / consider negative
california native wildflower seed mix,61.82,25,1.0,23.63,0.38,Review / consider negative
pasture grass seed texas,60.02,37,0.0,0.0,0.0,Review / consider negative
low sugar grass seed for horses,60.01,34,0.0,0.0,0.0,Review / consider negative
