Product Item ID,Product Title,Product Type L1,Product Type L2,Total Spend ($),Total Clicks,Total Conversions,Total Conv Value ($),ROAS
gla_187424,Illinois Bundle Flower,heartland collection,wildflower seed by region,438.07,603,0.0,0.0,0.0
gla_186022,Silky Phacelia,great plains planting region,,229.93,173,0.0,0.0,0.0
gla_184600,Mountain Brome,pasture seed,individual pasture species,209.7,182,0.0,0.0,0.0
gla_184840,Great Lakes/New England Pollinator Mix,specialty seed,specialty seed by region,162.47,84,0.0,0.0,0.0
gla_182799,Northwest Wildflower Mix,wildflower seed,regional wildflower mixes,142.9,89,0.0,0.0,0.0
gla_186205,Chaparral Yucca,wildflower seed,,141.63,441,0.0,0.0,0.0
gla_185382,Annual Sunflower Seed - 10 Pound Bag,pasture seed,individual pasture species,134.87,59,0.0,0.0,0.0
gla_447346,"Native Erosion Control Mix – Soil Stabilization for Arid Regions 10 Lb for 20,000 Sq Ft | Nature's Seed",specialty seeds,restoration seed mix,134.72,85,0.0,0.0,0.0
gla_185932,Grain Sorghum,pasture seed,individual pasture species,134.17,214,0.0,0.0,0.0
gla_184396,Great Lakes/New England Honey Bee Pasture Mix,specialty seed,specialty seed by region,132.69,129,0.0,0.0,0.0
pg-arca2-1-lb,California Sagebrush - Specialty Seed | Nature's Seed,specialty seed,california sagebrush,127.65,264,0.0,0.0,0.0
gla_184951,Pacific Northwest Wildfire Resistant Mix,specialty seed,specialty seed by region,127.11,49,0.0,0.0,0.0
gla_444243,White Dutch Clover Seeds,specialty seed,,125.87,94,0.0,0.0,0.0
gla_355588,Sneezeweed,heartland collection,wildflower seed by region,122.64,120,0.0,0.0,0.0
gla_183647,Pacific Southwest Beef Cattle Forage Mix,sale,cattle pastures,121.76,101,0.0,0.0,0.0
pb-iwbc-1-a,Intermountain West Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,intermountain west beef cattle forage blend,120.51,183,0.0,0.0,0.0
gla_445279,"Nature's Seed Any Region Pasture & Forage 50 Lb for 50,000 Sq Ft Mix Designed to attract Bees and Pollinators",pasture seeds,pasture seeds mix,119.92,39,0.0,0.0,0.0
gla_183906,Great Plains Sheep Forage Mix,pasture seed,sheep pastures,119.18,144,0.0,0.0,0.0
gla_187498,Pale Purple Coneflower,heartland collection,wildflower seed by region,115.81,89,0.0,0.0,0.0
gla_185305,Hairy Vetch,pasture seed,individual pasture species,115.55,112,0.0,0.0,0.0
gla_187422,Illinois Bundle Flower,heartland collection,wildflower seed by region,112.82,54,0.0,0.0,0.0
gla_186527,Creosote Bush Seed - 1 Pound Bag,california collection,,111.42,508,0.0,0.0,0.0
gla_444937,"Nature's Seed Pasture & Forage 5 Lb for 5,000 Sq Ft Blue Grama Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,105.5,52,0.0,0.0,0.0
