Year,Month,Campaign Name,Campaign ID,Ad Group Name,Ad Group ID,Keyword Text,Match Type,Keyword Status,Quality Score,Expected CTR,Ad Relevance,Landing Page Exp.,Impressions,Clicks,CTR,Cost ($),Avg CPC ($),Conversions,Conv. Value ($),ROAS
2022,2022-03-01,California | Search | Best Grass Seed,16460791884,Best Grass Seed Keyword,136905091431,best grass seed for california,PHRASE,ENABLED,,,,,188,31,0.164893617,138.26,4.46,0,0,0
2022,2022-03-01,California | Search | Best Grass Seed,16460791884,Best Grass Seed Keyword,136905091431,best grass seed for california,EXACT,ENABLED,,,,,77,6,0.07792207792,23.03,3.84,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Alpaca/Llama,140312288611,alpaca pasture seed,EXACT,ENABLED,,,,,3,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Beef Cattle,140312288771,grass seed,EXACT,REMOVED,,,,,1,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Goat,140312288851,goat pasture seed,EXACT,REMOVED,,,,,4,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Goat,140312288851,goat seed,EXACT,REMOVED,,,,,1,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Goat,140312288851,goat seed mix,EXACT,ENABLED,,,,,1,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Horse,140312289051,grass seeds,PHRASE,ENABLED,,,,,22,2,0.09090909091,3.95,1.98,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Horse,140312289051,horse pasture seed,EXACT,REMOVED,,,,,6,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Horse,140312289051,equine pasture seed,EXACT,REMOVED,,,,,2,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Pasture Seed,140312289091,grass seed,PHRASE,REMOVED,,,,,2,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Pasture Seed,140312289091,grass seed,EXACT,REMOVED,,,,,12,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Pasture Seed,140312289091,grass seeds,EXACT,ENABLED,,,,,1,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Pasture Seed,140312289091,grass seeds,PHRASE,ENABLED,,,,,12,2,0.1666666667,1.27,0.64,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Pasture Seed,140312289091,pasture seed,PHRASE,REMOVED,,,,,1,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Pasture Seed,140312289091,pasture seeds,PHRASE,ENABLED,,,,,1,0,0.00%,0,0,0,0,0
2022,2022-03-01,Great Lakes / New England | Search | Pasture Seed,16583838906,Pasture Seed,140312289091,pasture seed,EXACT,REMOVED,,,,,4,1,0.25,2.55,2.55,0,0,0
