Conversion Action ID,Conversion Action Name,Category,Status,Counting Type,Attribution Model,Include in Conversions,Include in Conversions Bidding,Click-Through Lookback (days),View-Through Lookback (days),Value Settings - Default Value,Value Settings - Always Use Default,Origin,Type,Owner Customer ID
690862524,Android installs (all other apps),DOWNLOAD,ENABLED,ONE_PER_CLICK,GOOGLE_ADS_LAST_CLICK,TRUE,TRUE,30,1,,TRUE,APP,ANDROID_INSTALLS_ALL_OTHER_APPS,customers/5992879586
7276209504,Begin checkout (Page load naturesseed.com/checkout),BEGIN_CHECKOUT,ENABLED,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,TRUE,TRUE,90,1,1,TRUE,WEBSITE,WEBPAGE_CODELESS,customers/5992879586
10929934,CONTACT - Volacci (naturesfinestseed.com),CONTACT,HIDDEN,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,TRUE,TRUE,30,1,1,,WEBSITE,UNIVERSAL_ANALYTICS_GOAL,customers/5992879586
10930174,CTA - Ask the Expert (naturesfinestseed.com),DEFAULT,HIDDEN,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,TRUE,TRUE,30,1,1,,WEBSITE,UNIVERSAL_ANALYTICS_GOAL,customers/5992879586
10930414,CTA - Blog (naturesfinestseed.com),DEFAULT,HIDDEN,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,TRUE,TRUE,30,1,1,,WEBSITE,UNIVERSAL_ANALYTICS_GOAL,customers/5992879586
10930054,CTA - Grass Seeds (naturesfinestseed.com),DEFAULT,HIDDEN,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,TRUE,TRUE,30,1,1,,WEBSITE,UNIVERSAL_ANALYTICS_GOAL,customers/5992879586
10930534,CTA - Pasture Seed (naturesfinestseed.com),DEFAULT,HIDDEN,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,TRUE,TRUE,30,1,1,,WEBSITE,UNIVERSAL_ANALYTICS_GOAL,customers/5992879586
10930294,CTA - Wildflower Seed (naturesfinestseed.com),DEFAULT,HIDDEN,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,TRUE,TRUE,30,1,1,,WEBSITE,UNIVERSAL_ANALYTICS_GOAL,customers/5992879586
16759414,Calls from ads,PHONE_CALL_LEAD,ENABLED,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,TRUE,TRUE,30,30,1,TRUE,CALL_FROM_ADS,AD_CALL,customers/5992879586
222863909,Checkout Confirmation (Production),PURCHASE,REMOVED,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,,,90,1,,TRUE,WEBSITE,UNIVERSAL_ANALYTICS_GOAL,customers/5992879586
7331974,Checkout Page (naturesseed.com (Reporting View)),PURCHASE,REMOVED,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,TRUE,TRUE,30,30,1,,WEBSITE,UNIVERSAL_ANALYTICS_GOAL,customers/5992879586
10929814,Contact - Volacci (naturesfinestseed.com),CONTACT,HIDDEN,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,TRUE,TRUE,30,1,1,,WEBSITE,UNIVERSAL_ANALYTICS_GOAL,customers/5992879586
356347413,Contact Form Submission (Production),SUBMIT_LEAD_FORM,HIDDEN,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,TRUE,TRUE,30,1,1,,WEBSITE,UNIVERSAL_ANALYTICS_GOAL,customers/5992879586
6474417306,PM Gross Profit - Browser,PURCHASE,REMOVED,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,,,30,1,,,WEBSITE,WEBPAGE,customers/5992879586
6474490948,PM Gross Profit - Conversion Booster,PURCHASE,REMOVED,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,,,30,1,,,WEBSITE,UPLOAD_CLICKS,customers/5992879586
6474417321,PM Revenue - Browser,PURCHASE,REMOVED,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,,,30,1,,,WEBSITE,WEBPAGE,customers/5992879586
6474491029,PM Revenue - Conversion Booster,PURCHASE,REMOVED,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,,,30,1,,,WEBSITE,UPLOAD_CLICKS,customers/5992879586
7326193342,Purchase,PURCHASE,ENABLED,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,TRUE,TRUE,90,1,1,,WEBSITE,WEBPAGE,customers/5992879586
4484254,Purchases - AW Pixel,PURCHASE,REMOVED,MANY_PER_CLICK,GOOGLE_ADS_LAST_CLICK,TRUE,TRUE,90,1,,TRUE,WEBSITE,WEBPAGE,customers/5992879586
6495874235,Purchases - GA4,PURCHASE,REMOVED,MANY_PER_CLICK,UNKNOWN,,,90,1,1,,WEBSITE,GOOGLE_ANALYTICS_4_PURCHASE,customers/5992879586
6537805885,Retail Media Labs - GA4 (web) purchase,PURCHASE,HIDDEN,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,,,90,1,1,,WEBSITE,GOOGLE_ANALYTICS_4_PURCHASE,customers/5992879586
320346854,Smart Goal (naturesseed.com (Reporting View)),ENGAGEMENT,HIDDEN,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,TRUE,TRUE,30,1,1,,WEBSITE,UNIVERSAL_ANALYTICS_GOAL,customers/5992879586
10929694,Transactions (Production),PURCHASE,REMOVED,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,,,30,1,1,,WEBSITE,UNIVERSAL_ANALYTICS_TRANSACTION,customers/5992879586
341751072,Transactions (naturesseed.com (Main)),PURCHASE,HIDDEN,MANY_PER_CLICK,GOOGLE_SEARCH_ATTRIBUTION_DATA_DRIVEN,TRUE,TRUE,30,1,1,,WEBSITE,UNIVERSAL_ANALYTICS_TRANSACTION,customers/5992879586
