Year,Quarter,Campaign Name,Campaign ID,Product Item ID,Product Title,Product Type (L1),Product Type (L2),Product Type (L3),Brand,Impressions,Clicks,CTR,Cost ($),Avg CPC ($),Conversions,Conv. Value ($),ROAS
2022,Q2022-04-01,Nat | PMax | Catch All,16503493089,s-trre,White Dutch Clover Lawn Seed - Bulk bags available - No added filler,grass seed,white dutch clover,,nature's seed,800249,13628,1.70%,3291.06,0.24,737.59,35642.62,10.83
2022,Q2022-07-01,Nat | PMax | Catch All,16503493089,s-trre,White Dutch Clover Lawn Seed - Bulk bags available - No added filler,grass seed,white dutch clover,,nature's seed,645970,10812,1.67%,2963.22,0.27,599.18,30903.04,10.43
2022,Q2022-04-01,Nat | PMax | Catch All,16503493089,s-micro,Microclover Seed For Lawns - Bulk bags available - No added filler,grass seed,microclover,,nature's seed,231691,3463,1.49%,1097.01,0.32,154.51,9366.89,8.54
2022,Q2022-10-01,Nat | PMax | Catch All,16503493089,s-trre,White Dutch Clover Lawn Seed - Bulk bags available - No added filler | Nature's Seed,grass seed,white dutch clover,,nature's seed,222556,3558,1.60%,815.53,0.23,146.11,6783.26,8.32
2022,Q2022-07-01,Nat | PMax | Catch All,16503493089,s-micro,Microclover Seed For Lawns - Bulk bags available - No added filler,grass seed,microclover,,nature's seed,174058,2023,1.16%,675.15,0.33,107.67,7163.04,10.61
2022,Q2022-01-01,Nat | PMax | Catch All,16503493089,s-trre,White Dutch Clover Lawn Seed - Bulk bags available - No added filler,grass seed,white dutch clover,,nature's seed,128556,2433,1.89%,631.81,0.26,138.55,7149.45,11.32
2022,Q2022-01-01,Nat | PMax | Catch All,16503493089,s-micro,Microclover Seed For Lawns - Bulk bags available - No added filler,grass seed,microclover,,nature's seed,69364,1436,2.07%,449.59,0.31,93.15,6069.33,13.5
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pg-pavi,Switchgrass Pasture Seed,pasture seed,switchgrass,,nature's seed,50598,662,1.31%,276.17,0.42,15.5,1727.79,6.26
2022,Q2022-10-01,Nat | PMax | Catch All,16503493089,s-micro,Microclover Seed For Lawns - Bulk bags available - No added filler | Nature's Seed,grass seed,microclover,,nature's seed,59204,751,1.27%,264.15,0.35,48.8,3345.31,12.66
2022,Q2022-07-01,Pacific Northwest | Shopping,17746298618,pb-pnwec,Pacific Northwest Erosion Control Mix,specialty seed,pacific northwest erosion control mix,,nature's seed,22742,440,1.93%,246,0.56,21.93,2783.15,11.31
2022,Q2022-07-01,Nat | PMax | Catch All,16503493089,turf-ff,Fine Fescue Grass Seed Mix,grass seed,fine fescue grass seed mix,,nature's seed,70512,763,1.08%,233.05,0.31,19.51,2189.1,9.39
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pg-trre,White Clover - Bulk bags available - No added filler,pasture seed,white clover,,nature's seed,48909,565,1.16%,210.87,0.37,14.5,1444.66,6.85
2022,Q2022-04-01,US | Shopping | Catchall - Pasture Seed,11039637965,pg-mesa,"Alfalfa seeds - Bulk bags available - High quality alfalfa seed for pastures, forage, cover crops or sprouting",pasture seed,alfalfa seed,,nature's seed,62921,872,1.39%,165.62,0.19,29.33,1278.23,7.72
2022,Q2022-04-01,US | Shopping | Catchall - Pasture Seed,11039637965,pg-pavi,Switchgrass Pasture Seed,pasture seed,switchgrass,,nature's seed,46710,492,1.05%,161.27,0.33,12.33,1005.1,6.23
2022,Q2022-04-01,Nat | PMax | Catch All,16503493089,s-feru,Creeping Red Fescue Grass,grass seed,creeping red fescue grass,,nature's seed,46356,516,1.11%,136.23,0.26,19.21,1047.56,7.69
2022,Q2022-07-01,Pacific Northwest | Shopping,17746298618,pb-pnwd,Pacific Northwest Dryland Pasture Mix,specialty seed,pacific northwest dryland pasture mix,,nature's seed,12107,234,1.93%,133.26,0.57,4.35,1806.95,13.56
2022,Q2022-10-01,Shopping | grass | ROAS,13558031185,pb-pnwec,Pacific Northwest Erosion Control Mix Specialty Seed | Nature's Seed,specialty seed,pacific northwest erosion control mix,,nature's seed,21738,263,1.21%,124.68,0.47,8.02,2215.64,17.77
2022,Q2022-10-01,Shopping | grass | ROAS,13558031185,pb-pnwd,Pacific Northwest Dryland Pasture Mix Specialty Seed | Nature's Seed,specialty seed,pacific northwest dryland pasture mix,,nature's seed,17816,245,1.38%,123.52,0.5,6.67,2798.71,22.66
2022,Q2022-04-01,Nat | PMax | Catch All,16503493089,turf-ff,Fine Fescue Grass Seed Mix,grass seed,fine fescue grass seed mix,,nature's seed,57413,421,0.73%,112.71,0.27,8.9,1142.28,10.14
2022,Q2022-01-01,US | Shopping | Catchall - Specialty Seed,16219790392,pb-pnwd,Pacific Northwest Dryland Pasture Mix,specialty seed,pacific northwest dryland pasture mix,,nature's seed,13840,271,1.96%,111.94,0.41,8.12,2526.19,22.57
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pb-gpg,Great Plains Goat Forage Mix,pasture seed,great plains goat forage mix,,nature's seed,19279,259,1.34%,105.61,0.41,2.24,373.31,3.53
2022,Q2022-04-01,US | Shopping | Catchall - Pasture Seed,11039637965,pb-tort,Tortoise Forage Mix,pasture seed,tortoise forage mix,,nature's seed,20130,369,1.83%,105.04,0.28,26.71,1849.2,17.6
2022,Q2022-07-01,Great Plains | Shopping,17738427259,pg-buda,Buffalograss Pasture Seed,pasture seed,buffalograss,,nature's seed,20496,313,1.53%,97.54,0.31,4,633.39,6.49
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pg-mesa,"Alfalfa seeds - Bulk bags available - High quality alfalfa seed for pastures, forage, cover crops or sprouting",pasture seed,alfalfa seed,,nature's seed,25126,377,1.50%,96.96,0.26,20.25,1003.22,10.35
2022,Q2022-04-01,US | Shopping | Catchall - Pasture Seed,11039637965,pg-trre,White Clover - Bulk bags available - No added filler,pasture seed,white clover,,nature's seed,54503,327,0.60%,93.88,0.29,9.92,456.57,4.86
2022,Q2022-01-01,US | Smart Shopping | Grass Seed,16009450799,s-trre,White Dutch Clover Lawn Seed - Bulk bags available - No added filler,grass seed,white dutch clover,,nature's seed,15086,256,1.70%,91.86,0.36,15.58,787.7,8.57
2022,Q2022-04-01,Nat | PMax | Catch All,16503493089,turf-zoja,Zoysia Grass Seed,grass seed,zoysia grass seed,,nature's seed,47503,368,0.77%,83.68,0.23,5,671.93,8.03
2022,Q2022-01-01,Nat | PMax | Catch All,16503493089,turf-zoja,Zoysia Grass Seed,grass seed,zoysia grass seed,,nature's seed,40084,371,0.93%,80.24,0.22,3.5,315.98,3.94
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pb-glh,Great Lakes/New England Horse Forage Mix,pasture seed,great lakes/new england horse forage mix,,nature's seed,11237,124,1.10%,72.77,0.59,7.83,1218.16,16.74
2022,Q2022-07-01,Nat | PMax | Catch All,16503493089,s-feru,Creeping Red Fescue Grass,grass seed,creeping red fescue grass,,nature's seed,33438,286,0.86%,72.09,0.25,16.32,863.57,11.98
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pb-gpg,Great Plains Goat Forage Mix,pasture seed,great plains goat forage mix,,nature's seed,10398,172,1.65%,70.98,0.41,3,549.13,7.74
2022,Q2022-01-01,Nat | PMax | Catch All,16503493089,turf-ff,Fine Fescue Grass Seed Mix,grass seed,fine fescue grass seed mix,,nature's seed,20228,244,1.21%,70.72,0.29,10.9,1077.91,15.24
2022,Q2022-10-01,Nat | PMax | Pasture Seed | ROAS,18022523001,pb-pnwh,Pacific Northwest Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,pacific northwest horse forage mix,,nature's seed,8649,143,1.65%,68.35,0.48,6.47,1335.96,19.55
2022,Q2022-07-01,Intermountain West | Shopping,17738427250,pg-feid,Idaho Fescue,pasture seed,idaho fescue,,nature's seed,10752,219,2.04%,67.64,0.31,7.78,515.45,7.62
2022,Q2022-07-01,Intermountain West | Shopping,17738427250,pb-iwd,Intermountain West Dryland Pasture Mix,specialty seed,intermountain west dryland pasture mix,,nature's seed,5748,131,2.28%,66.28,0.51,2,466.57,7.04
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pg-pavi,Switchgrass Pasture Seed,pasture seed,switchgrass,,nature's seed,13317,172,1.29%,65.92,0.38,4,653.95,9.92
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pg-buda,Buffalograss Pasture Seed,pasture seed,buffalograss,,nature's seed,14048,208,1.48%,64.5,0.31,4.25,1031.68,16
2022,Q2022-01-01,US | Smart Shopping | Grass Seed,16009450799,s-micro,Microclover Seed For Lawns - Bulk bags available - No added filler,grass seed,microclover,,nature's seed,7573,192,2.54%,63.46,0.33,8.92,559.51,8.82
2022,Q2022-01-01,US | Shopping | Catchall - Pasture Seed,11039637965,pg-pavi,Switchgrass Pasture Seed,pasture seed,switchgrass,,nature's seed,11533,149,1.29%,61.94,0.42,4,344.39,5.56
2022,Q2022-04-01,US | Shopping | Catchall - Wildflower Seed,11039642318,w-spco,Scarlet Globemallow,wildflower seed,scarlet globemallow,,nature's seed,19836,290,1.46%,61.77,0.21,0,0,0
2022,Q2022-07-01,Nat | PMax | Catch All,16503493089,turf-lope,Perennial Ryegrass Seed Blend,grass seed,perennial ryegrass seed blend,,nature's seed,46362,239,0.52%,61.68,0.26,1,484.93,7.86
2022,Q2022-04-01,US | Shopping | Catchall - Specialty Seed,16219790392,pb-pnwd,Pacific Northwest Dryland Pasture Mix,specialty seed,pacific northwest dryland pasture mix,,nature's seed,13830,178,1.29%,59.81,0.34,2.76,779.8,13.04
2022,Q2022-07-01,Intermountain West | Shopping,17738427250,pg-buda,Buffalograss Pasture Seed,pasture seed,buffalograss,,nature's seed,12653,158,1.25%,58.05,0.37,5.5,427.82,7.37
2022,Q2022-04-01,US | Shopping | Catchall - Pasture Seed,11039637965,pg-feid,Idaho Fescue,pasture seed,idaho fescue,,nature's seed,23762,330,1.39%,57.63,0.17,11.28,827.51,14.36
2022,Q2022-07-01,Great Lakes / New England | Shopping | Forage Mixes,18022751253,pb-glh,Great Lakes/New England Horse Forage Mix,pasture seed,great lakes/new england horse forage mix,,nature's seed,3709,75,2.02%,57.6,0.77,6.33,1819.15,31.58
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pb-mwal,Mid-West/Mid-Atlantic Alpaca/Llama Forage Mix,pasture seed,mid-west/mid-atlantic alpaca/llama forage mix,,nature's seed,11309,169,1.49%,57.23,0.34,3,449.57,7.86
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pb-pnwbc,Pacific Northwest Beef Cattle Forage Mix,pasture seed,pacific northwest beef cattle forage mix,,nature's seed,5711,103,1.80%,56.99,0.55,1.34,425.18,7.46
2022,Q2022-04-01,US | Shopping | Catchall - Specialty Seed,16219790392,pb-iwd,Intermountain West Dryland Pasture Mix,specialty seed,intermountain west dryland pasture mix,,nature's seed,6049,128,2.12%,55.87,0.44,1.25,289.63,5.18
2022,Q2022-01-01,US | Shopping | Catchall - Specialty Seed,16219790392,pb-iwd,Intermountain West Dryland Pasture Mix,specialty seed,intermountain west dryland pasture mix,,nature's seed,6213,129,2.08%,55.17,0.43,1,233.59,4.23
2022,Q2022-10-01,Pacific Northwest | Shopping,17746298618,pb-pnwec,Pacific Northwest Erosion Control Mix Specialty Seed | Nature's Seed,specialty seed,pacific northwest erosion control mix,,nature's seed,4052,93,2.30%,52.77,0.57,0,0,0
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pg-feid,Idaho Fescue,pasture seed,idaho fescue,,nature's seed,11386,145,1.27%,52.44,0.36,0.83,57.76,1.1
2022,Q2022-04-01,US | Shopping | Catchall - Pasture Seed,11039637965,pg-trpr,Red Clover - Bulk bags available - No added filler,pasture seed,red clover,,nature's seed,24583,200,0.81%,49.85,0.25,13.67,731.52,14.67
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pb-mwg,Mid-West/Mid-Atlantic Goat Forage Mix,pasture seed,mid-west/mid-atlantic goat forage mix,,nature's seed,13022,142,1.09%,49.66,0.35,3.74,404.99,8.16
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pb-fth,Florida Tropics Horse Forage Mix,pasture seed,florida tropics horse forage mix,,nature's seed,6352,69,1.09%,49.32,0.71,0.75,506.36,10.27
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pb-mws,Mid-West/Mid-Atlantic Sheep Forage Mix,pasture seed,mid-west/mid-atlantic sheep forage mix,,nature's seed,9524,108,1.13%,48.41,0.45,1.1,176.19,3.64
2022,Q2022-10-01,Nat | PMax | Pasture Seed | ROAS,18022523001,pg-mesa,Alfalfa Pasture Seed | Nature's Seed,pasture seed,alfalfa seed,,nature's seed,24640,267,1.08%,47.61,0.18,7,205.11,4.31
2022,Q2022-01-01,US | Shopping | Catchall - Pasture Seed,11039637965,pg-trre,White Clover - Bulk bags available - No added filler,pasture seed,white clover,,nature's seed,16283,166,1.02%,47.45,0.29,10.85,547.04,11.53
2022,Q2022-10-01,Nat | PMax | Pasture Seed | ROAS,18022523001,pg-sece,Cereal Rye Pasture Seed | Nature's Seed,pasture seed,cereal rye,,nature's seed,15892,204,1.28%,46.79,0.23,8,455.59,9.74
2022,Q2022-04-01,US | Shopping | Catchall - Specialty Seed,16219790392,pb-pnwec,Pacific Northwest Erosion Control Mix,specialty seed,pacific northwest erosion control mix,,nature's seed,11428,138,1.21%,45.54,0.33,10.67,2862.74,62.86
2022,Q2022-04-01,US | Shopping | Catchall - Pasture Seed,11039637965,pg-phpr,Timothy,pasture seed,timothy,,nature's seed,14241,223,1.57%,44.9,0.2,13.83,1077.91,24.01
2022,Q2022-10-01,Nat | PMax | Pasture Seed | ROAS,18022523001,pb-gph,Great Plains Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,great plains horse forage mix,,nature's seed,8358,76,0.91%,44.57,0.59,1,181.2,4.07
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pb-tort,Tortoise Forage Mix,pasture seed,tortoise forage mix,,nature's seed,12240,134,1.09%,42.93,0.32,6.17,373.64,8.7
2022,Q2022-07-01,Nat | PMax | Catch All,16503493089,s-feov,Sheep Fescue Grass Seed,grass seed,sheep fescue grass,,nature's seed,13866,179,1.29%,42.73,0.24,10.51,1026.7,24.03
2022,Q2022-01-01,US | Smart Shopping | Grass Seed,16009450799,turf-zoja,Zoysia Grass Seed,grass seed,zoysia grass seed,,nature's seed,12208,155,1.27%,42.56,0.27,3,244,5.73
2022,Q2022-04-01,Nat | PMax | Catch All,16503493089,s-felo,Hard Fescue Grass,grass seed,hard fescue grass,,nature's seed,8039,130,1.62%,41.65,0.32,6,799.97,19.21
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pg-trpr,Red Clover - Bulk bags available - No added filler,pasture seed,red clover,,nature's seed,13578,130,0.96%,41.48,0.32,6,422.32,10.18
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pg-pano,Bahia Grass,pasture seed,bahia grass,,nature's seed,25425,273,1.07%,41.16,0.15,1,97.32,2.36
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pg-trre,White Clover - Bulk bags available - No added filler,pasture seed,white clover,,nature's seed,14671,112,0.76%,40.96,0.37,2.67,91,2.22
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pg-mesa,"Alfalfa seeds - Bulk bags available - High quality alfalfa seed for pastures, forage, cover crops or sprouting",pasture seed,alfalfa seed,,nature's seed,9279,155,1.67%,40.18,0.26,6.25,404.74,10.07
2022,Q2022-04-01,US | Shopping | Catchall - Pasture Seed,11039637965,pg-buda,Buffalograss Pasture Seed,pasture seed,buffalograss,,nature's seed,37801,258,0.68%,39.53,0.15,6,647.92,16.39
2022,Q2022-07-01,Shopping | grass | ROAS,13558031185,pb-pnwd,Pacific Northwest Dryland Pasture Mix,specialty seed,pacific northwest dryland pasture mix,,nature's seed,6488,84,1.29%,37.18,0.44,0.83,272.01,7.32
2022,Q2022-01-01,Nat | PMax | Catch All,16503493089,s-feru,Creeping Red Fescue Grass,grass seed,creeping red fescue grass,,nature's seed,10655,148,1.39%,37.1,0.25,17,1019.91,27.49
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pb-pnwh,Pacific Northwest Horse Forage Mix,pasture seed,pacific northwest horse forage mix,,nature's seed,4359,58,1.33%,36.4,0.63,1.29,310.62,8.53
2022,Q2022-07-01,Pacific Northwest | Shopping,17746298618,pb-pnwbg,Pacific Northwest Big Game Food Plot Mix,specialty seed,pacific northwest big game food plot mix,,nature's seed,5230,106,2.03%,35.9,0.34,1.67,92.33,2.57
2022,Q2022-04-01,US | Shopping | Catchall - Pasture Seed,11039637965,pg-fear2,Tall Fescue,pasture seed,tall fescue,,nature's seed,113247,1092,0.96%,35.81,0.03,2,220.62,6.16
2022,Q2022-07-01,US | Shopping | Catchall - Pasture Seed,11039637965,pb-swdh,Southwest Desert Horse Forage Mix,pasture seed,southwest desert horse forage mix,,nature's seed,6012,83,1.38%,35.54,0.43,1,170.82,4.81
2022,Q2022-07-01,Pacific Southwest | Shopping,17738427247,w-asfa,Narrowleaf Milkweed,wildflower seed,narrowleaf milkweed,,nature's seed,11662,166,1.42%,35.43,0.21,16,1028.63,29.03
2022,Q2022-10-01,Nat | PMax | Pasture Seed | ROAS,18022523001,pb-pnwbc,Pacific Northwest Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,pacific northwest beef cattle forage mix,,nature's seed,5647,75,1.33%,34.75,0.46,0,0,0
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pb-gps,Great Plains Sheep Forage Mix,pasture seed,great plains sheep forage mix,,nature's seed,6902,70,1.01%,34.74,0.5,0.43,271.97,7.83
2022,Q2022-07-01,Shopping | grass | ROAS,13558031185,pb-pnwec,Pacific Northwest Erosion Control Mix,specialty seed,pacific northwest erosion control mix,,nature's seed,9440,74,0.78%,34.61,0.47,3.59,664.31,19.19
2022,Q2022-04-01,US | Shopping | Catchall - Pasture Seed,11039637965,pb-swdh,Southwest Desert Horse Forage Mix,pasture seed,southwest desert horse forage mix,,nature's seed,7134,77,1.08%,33.5,0.44,3,1211.17,36.15
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pg-buck,Common Buckwheat Seed - Bulk bags available - High quality seed for pastures and cover crops,pasture seed,common buckwheat,,nature's seed,9069,119,1.31%,32.69,0.27,6,161.72,4.95
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pb-mwbc,Mid-West/Mid-Atlantic Beef Cattle Forage Mix,pasture seed,mid-west/mid-atlantic beef cattle forage mix,,nature's seed,7588,92,1.21%,32.65,0.35,1,209.84,6.43
2022,Q2022-04-01,Nat | PMax | Catch All,16503493089,turf-lope,Perennial Ryegrass Seed Blend,grass seed,perennial ryegrass seed blend,,nature's seed,66343,223,0.34%,32.65,0.15,1.48,195.95,6
2022,Q2022-04-01,Nat | PMax | Catch All,16503493089,s-feov,Sheep Fescue Grass Seed,grass seed,sheep fescue grass,,nature's seed,12024,129,1.07%,32.25,0.25,2.5,104.94,3.25
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pb-gps,Great Plains Sheep Forage Mix,pasture seed,great plains sheep forage mix,,nature's seed,4398,64,1.46%,32.24,0.5,2,334.42,10.37
2022,Q2022-07-01,Shopping | grass | ROAS,13558031185,pb-pnwh,Pacific Northwest Horse Forage Mix,pasture seed,pacific northwest horse forage mix,,nature's seed,2985,51,1.71%,31.59,0.62,2.33,565.6,17.9
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pb-ssb,Southern Subtropics Bison Forage Mix,pasture seed,southern subtropics bison forage mix,,nature's seed,1876,1,0.05%,31.55,31.55,0,0,0
2022,Q2022-10-01,Nat | PMax | Pasture Seed | ROAS,18022523001,pb-glh,Great Lakes/New England Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,great lakes/new england horse forage mix,,nature's seed,8397,49,0.58%,31.07,0.63,2,325.03,10.46
2022,Q2022-10-01,Pacific Northwest | Shopping,17746298618,pb-pnwd,Pacific Northwest Dryland Pasture Mix Specialty Seed | Nature's Seed,specialty seed,pacific northwest dryland pasture mix,,nature's seed,2008,51,2.54%,30.95,0.61,0,0,0
2022,Q2022-01-01,US | Performance Max | Forage Mixes,16219169257,pg-dagl,Orchardgrass,pasture seed,orchardgrass,,nature's seed,7706,60,0.78%,30.1,0.5,9.42,951.73,31.62
2022,Q2022-07-01,Shopping | grass | ROAS,13558031185,pb-gpg,Great Plains Goat Forage Mix,pasture seed,great plains goat forage mix,,nature's seed,5730,81,1.41%,29.81,0.37,1.74,177.67,5.96
2022,Q2022-10-01,Nat | PMax | Pasture Seed | ROAS,18022523001,pg-onvi,Sainfoin Pasture Seed | Nature's Seed,pasture seed,sainfoin,,nature's seed,3488,211,6.05%,29.72,0.14,5,152.89,5.14
2022,Q2022-07-01,Great Plains | Shopping | Forage Mixes,18022751256,pb-gph,Great Plains Horse Forage Mix,pasture seed,great plains horse forage mix,,nature's seed,1979,43,2.17%,29.64,0.69,1.1,4212.02,142.11
2022,Q2022-04-01,US | Performance Max | Forage Mixes,16219169257,pb-gls,Great Lakes/New England Sheep Forage Mix,pasture seed,great lakes/new england sheep forage mix,,nature's seed,6710,50,0.75%,29.59,0.59,3.43,4494.47,151.89
