Year,Month,Category,Impressions,Clicks,CTR,Cost ($),Conversions,Conv. Value ($),ROAS,Cost/Conv ($)
2022,2022-03-01,Lawn Seed,59917,1083,1.81%,598.42,46.00,6094.44,10.18,13.01
2022,2022-03-01,Pasture Seed,737645,10547,1.43%,4853.06,333.00,47479.61,9.78,14.57
2022,2022-03-01,Uncategorized,392615,6643,1.69%,2828.63,406.64,40916.11,14.46,6.96
2022,2022-03-01,Wildflowers,46515,483,1.04%,82.29,6.00,180.13,2.19,13.71
2022,2022-04-01,Lawn Seed,8296,342,4.12%,299.53,17.25,1824.80,6.09,17.36
2022,2022-04-01,Pasture Seed,628944,7893,1.25%,3312.08,246.47,36117.59,10.90,13.44
2022,2022-04-01,Uncategorized,583676,9987,1.71%,4334.09,544.15,53977.82,12.45,7.96
2022,2022-04-01,Wildflowers,183213,1770,0.97%,280.30,29.00,1558.33,5.56,9.67
2022,2022-05-01,Lawn Seed,3539,153,4.32%,125.12,10.19,1100.63,8.80,12.28
2022,2022-05-01,Pasture Seed,397232,5239,1.32%,1906.16,108.22,17253.27,9.05,17.61
2022,2022-05-01,Uncategorized,585897,9156,1.56%,3476.40,527.01,37472.02,10.78,6.60
2022,2022-05-01,Wildflowers,47772,391,0.82%,65.03,8.00,257.18,3.95,8.13
2022,2022-06-01,Pasture Seed,246572,2490,1.01%,582.13,50.40,6068.75,10.43,11.55
2022,2022-06-01,Uncategorized,327208,4855,1.48%,2646.49,216.48,18976.63,7.17,12.23
2022,2022-06-01,Wildflowers,257,5,1.95%,3.11,0.00,0.00,0.00,N/A
2022,2022-07-01,Pasture Seed,141041,1270,0.90%,249.25,38.49,5229.92,20.98,6.48
2022,2022-07-01,Uncategorized,321009,4950,1.54%,1915.60,246.72,24288.31,12.68,7.76
2022,2022-08-01,Pasture Seed,58720,595,1.01%,245.52,15.79,6803.71,27.71,15.55
2022,2022-08-01,Uncategorized,975666,12485,1.28%,4827.62,589.72,63190.64,13.09,8.19
2022,2022-09-01,Pasture Seed,159691,1534,0.96%,482.89,50.38,4942.10,10.23,9.58
2022,2022-09-01,Uncategorized,940759,12617,1.34%,5699.16,612.29,70025.53,12.29,9.31
2022,2022-10-01,Pasture Seed,370578,3428,0.93%,897.15,66.19,10189.58,11.36,13.55
2022,2022-10-01,Uncategorized,300490,5946,1.98%,2511.55,269.35,26904.94,10.71,9.32
2022,2022-11-01,Pasture Seed,180030,1912,1.06%,543.51,34.87,5754.66,10.59,15.59
2022,2022-11-01,Uncategorized,197061,1852,0.94%,1011.46,102.51,11317.71,11.19,9.87
2022,2022-12-01,Pasture Seed,149015,1927,1.29%,417.23,41.74,4558.04,10.92,10.00
2022,2022-12-01,Uncategorized,145564,579,0.40%,573.31,27.22,7325.28,12.78,21.06
2022,2022-12-01,Wildflowers,22825,250,1.10%,55.36,8.00,172.94,3.12,6.92
2023,2023-01-01,Pasture Seed,300309,4050,1.35%,911.04,88.00,12052.08,13.23,10.35
2023,2023-01-01,Uncategorized,52631,984,1.87%,776.18,60.50,10503.22,13.53,12.83
2023,2023-01-01,Wildflowers,73200,699,0.95%,149.23,23.00,817.01,5.47,6.49
2023,2023-02-01,Pasture Seed,501930,5964,1.19%,1994.37,136.04,25754.20,12.91,14.66
2023,2023-02-01,Uncategorized,147075,2786,1.89%,1581.13,179.99,31845.40,20.14,8.78
2023,2023-02-01,Wildflowers,91756,776,0.85%,161.69,32.00,1682.13,10.40,5.05
2023,2023-03-01,Pasture Seed,618216,7802,1.26%,3850.98,198.55,38452.70,9.99,19.40
2023,2023-03-01,Uncategorized,587651,6589,1.12%,4340.79,411.11,54542.79,12.57,10.56
2023,2023-03-01,Wildflowers,178683,1926,1.08%,309.49,34.36,1833.31,5.92,9.01
2023,2023-04-01,Pasture Seed,756910,7924,1.05%,3474.25,245.67,31620.47,9.10,14.14
2023,2023-04-01,Uncategorized,1161220,10887,0.94%,8183.33,698.47,71015.45,8.68,11.72
2023,2023-04-01,Wildflowers,131391,1547,1.18%,292.59,41.01,2165.86,7.40,7.13
2023,2023-05-01,Pasture Seed,371943,3945,1.06%,1276.84,101.42,14739.57,11.54,12.59
2023,2023-05-01,Uncategorized,1152194,9152,0.79%,6689.35,532.28,51451.49,7.69,12.57
2023,2023-05-01,Wildflowers,47388,652,1.38%,265.95,21.43,7060.13,26.55,12.41
2023,2023-06-01,Pasture Seed,354972,3549,1.00%,1930.75,90.59,7744.03,4.01,21.31
2023,2023-06-01,Uncategorized,904010,7308,0.81%,6186.81,347.16,24350.43,3.94,17.82
2023,2023-06-01,Wildflowers,18491,413,2.23%,158.47,6.69,178.34,1.13,23.69
2023,2023-07-01,Pasture Seed,514979,5576,1.08%,3627.72,113.23,8498.70,2.34,32.04
2023,2023-07-01,Uncategorized,745116,4831,0.65%,4008.15,193.20,16186.21,4.04,20.75
2023,2023-07-01,Wildflowers,33384,879,2.63%,406.99,13.62,552.64,1.36,29.88
2023,2023-08-01,Pasture Seed,607353,7011,1.15%,2601.82,151.70,8827.70,3.39,17.15
2023,2023-08-01,Uncategorized,965484,9168,0.95%,7366.83,390.62,30170.64,4.10,18.86
2023,2023-08-01,Wildflowers,75271,930,1.24%,311.17,27.84,312.16,1.00,11.18
2023,2023-09-01,Pasture Seed,1173596,10685,0.91%,7230.94,212.86,13113.21,1.81,33.97
2023,2023-09-01,Uncategorized,2290754,21690,0.95%,17382.13,651.09,42592.69,2.45,26.70
2023,2023-09-01,Wildflowers,76748,692,0.90%,253.99,30.68,363.27,1.43,8.28
2023,2023-10-01,Clover,2440,162,6.64%,793.72,7.00,56.64,0.07,113.39
2023,2023-10-01,Pasture Seed,708415,6081,0.86%,3586.24,104.48,8484.40,2.37,34.32
2023,2023-10-01,Uncategorized,1528312,14683,0.96%,13485.44,435.97,39657.17,2.94,30.93
2023,2023-10-01,Wildflowers,46150,357,0.77%,144.01,6.85,12.90,0.09,21.02
2023,2023-11-01,Clover,1070,94,8.79%,261.66,2.00,60.89,0.23,130.83
2023,2023-11-01,Pasture Seed,353738,3496,0.99%,1818.06,74.32,4590.94,2.53,24.46
2023,2023-11-01,Uncategorized,1420907,9801,0.69%,9504.40,351.22,16486.76,1.73,27.06
2023,2023-12-01,Pasture Seed,182478,2021,1.11%,671.03,42.53,2690.20,4.01,15.78
2023,2023-12-01,Uncategorized,885830,4245,0.48%,3295.92,108.71,5485.16,1.66,30.32
2024,2024-01-01,Pasture Seed,1063340,9709,0.91%,4895.89,159.89,7590.36,1.55,30.62
2024,2024-01-01,Uncategorized,1715994,11265,0.66%,7684.95,308.22,18557.77,2.41,24.93
2024,2024-02-01,Pasture Seed,2686720,21769,0.81%,15348.44,478.30,37489.94,2.44,32.09
2024,2024-02-01,Uncategorized,2899582,26380,0.91%,21462.24,686.87,53910.00,2.51,31.25
2024,2024-03-01,Pasture Seed,3551549,27631,0.78%,20363.28,444.85,74615.04,3.66,45.78
2024,2024-03-01,Uncategorized,4127900,42847,1.04%,35606.21,957.23,150327.20,4.22,37.20
2024,2024-04-01,Pasture Seed,1639742,14275,0.87%,9573.89,203.67,34048.43,3.56,47.01
2024,2024-04-01,Uncategorized,1951997,25390,1.30%,23744.71,321.11,53172.71,2.24,73.95
2024,2024-05-01,Pasture Seed,531615,5877,1.11%,3196.68,111.33,12818.28,4.01,28.71
2024,2024-05-01,Uncategorized,1124759,16584,1.47%,10283.34,239.38,41515.05,4.04,42.96
2024,2024-06-01,Pasture Seed,494841,5376,1.09%,2014.24,90.77,9722.74,4.83,22.19
2024,2024-06-01,Uncategorized,778748,10138,1.30%,5009.99,142.33,24869.73,4.96,35.20
2024,2024-07-01,Pasture Seed,474961,5091,1.07%,1820.27,74.06,9395.27,5.16,24.58
2024,2024-07-01,Uncategorized,906017,10897,1.20%,5178.68,150.57,26213.84,5.06,34.39
2024,2024-07-01,Wildflowers,32993,523,1.59%,580.40,8.05,1028.79,1.77,72.10
2024,2024-08-01,Pasture Seed,436058,4980,1.14%,2216.16,80.34,12472.71,5.63,27.58
2024,2024-08-01,Uncategorized,801544,9994,1.25%,6984.00,151.20,30897.26,4.42,46.19
2024,2024-08-01,Wildflowers,143175,2631,1.84%,2948.43,69.18,11178.45,3.79,42.62
2024,2024-09-01,Pasture Seed,458039,5934,1.30%,5176.25,335.91,22945.85,4.43,15.41
2024,2024-09-01,Uncategorized,1104401,15414,1.40%,15164.87,815.33,80011.52,5.28,18.60
2024,2024-09-01,Wildflowers,183490,2694,1.47%,3369.21,257.09,14976.97,4.45,13.11
2024,2024-10-01,Lawn Seed,172,0,0.00%,0.17,0.00,0.00,0.00,N/A
2024,2024-10-01,Pasture Seed,273695,3247,1.19%,2628.54,93.25,10677.41,4.06,28.19
2024,2024-10-01,Uncategorized,1914039,22422,1.17%,26133.04,664.09,114994.31,4.40,39.35
2024,2024-10-01,Wildflowers,233231,3621,1.55%,3896.41,82.51,9351.99,2.40,47.22
2024,2024-11-01,Lawn Seed,193270,3776,1.95%,8212.21,40.15,3845.88,0.47,204.54
2024,2024-11-01,Pasture Seed,47615,609,1.28%,398.05,8.00,1147.96,2.88,49.76
2024,2024-11-01,Uncategorized,862399,12677,1.47%,12026.45,238.83,39491.05,3.28,50.36
2024,2024-11-01,Wildflowers,91050,2157,2.37%,1642.42,48.45,5040.70,3.07,33.90
2024,2024-12-01,Lawn Seed,4027,146,3.63%,175.25,3.00,360.11,2.05,58.42
2024,2024-12-01,Pasture Seed,299746,4365,1.46%,2204.48,29.02,5648.92,2.56,75.96
2024,2024-12-01,Uncategorized,1041515,12492,1.20%,9285.63,157.56,30352.69,3.27,58.93
2024,2024-12-01,Wildflowers,56927,1015,1.78%,980.31,17.56,2303.09,2.35,55.83
2025,2025-01-01,Pasture Seed,335701,6053,1.80%,6359.54,84.62,16738.31,2.63,75.15
2025,2025-01-01,Uncategorized,3148543,37425,1.19%,36607.37,364.70,60171.61,1.64,100.38
2025,2025-01-01,Wildflowers,74558,1251,1.68%,1456.07,27.62,3231.94,2.22,52.72
2025,2025-02-01,Pasture Seed,385675,6222,1.61%,6240.90,100.21,14873.64,2.38,62.28
2025,2025-02-01,Uncategorized,3430060,41690,1.22%,46233.13,702.79,124996.89,2.70,65.79
2025,2025-02-01,Wildflowers,67765,1199,1.77%,1936.96,33.37,7760.26,4.01,58.04
2025,2025-03-01,Pasture Seed,665958,10506,1.58%,13469.78,262.47,41156.35,3.06,51.32
2025,2025-03-01,Uncategorized,4164088,51289,1.23%,63879.75,1194.23,190860.49,2.99,53.49
