id,mpn,Title,price,Product_Type,Custom_label_0,Custom_label_1,Custom_label_2,Custom_label_3,Custom_label_4
gla_185729,2750AL-A,"Handheld Broadcast Seeder Spreader - Seed, Fertilizer & Ice Melt Dispenser | Nature's Seed",89.99 USD,Planting Aids,planting aid,,50-100,Average Margin,
gla_445878,CV-BGEC-10-LB,"Prairie Native Grass Seed Mix - Erosion Control & Reclamation - 10 lb, Covers 20,000 sq ft | Nature's Seed",199.99 USD,Specialty Seeds > Regional Specialty Seed Mix > California Specialty Seed Mix,specialty,,150-200,High Margin,
gla_445877,CV-BGEC-20-LB-KIT,"Prairie Native Grass Seed Mix - Erosion Control & Reclamation - 20 lb, Covers 40,000 sq ft | Nature's Seed",349.99 USD,Specialty Seeds > Regional Specialty Seed Mix > California Specialty Seed Mix,specialty,,>200,High Margin,
gla_445876,CV-BGEC-50-LB-KIT,"Prairie Native Grass Seed Mix - Erosion Control & Reclamation - 50 lb, Covers 100,000 sq ft | Nature's Seed",899.99 USD,Specialty Seeds > Regional Specialty Seed Mix > California Specialty Seed Mix,specialty,,>200,High Margin,
gla_447331,CV-CHM-25-LB-KIT,"California Native Grass Seed Mix - Habitat Restoration Bunchgrass - 25 lb, Covers 50,000 sq ft | Nature's Seed",1455.88 USD,Pasture Seeds > Pasture Seeds Mix > Native California Forage,pasture,California,>200,High Margin,
gla_447332,CV-CHM-50-LB-KIT,"California Native Grass Seed Mix - Habitat Restoration Bunchgrass - 50 lb, Covers 100,000 sq ft | Nature's Seed",2749.99 USD,Pasture Seeds > Pasture Seeds Mix > Native California Forage,pasture,California,>200,High Margin,
gla_447444,CV-CNEC-25-LB-KIT,"California Erosion Control Seed Mix - Native Slope Stabilization - 25 lb,  | Nature's Seed",926.47 USD,Specialty Seeds > Restoration Seed Mix,specialty,,>200,High Margin,
gla_447445,CV-CNEC-5-LB,"California Erosion Control Seed Mix - Native Slope Stabilization - 5 lb,  | Nature's Seed",205.88 USD,Specialty Seeds > Restoration Seed Mix,specialty,,>200,High Margin,
gla_447446,CV-CNEC-50-LB-KIT,"California Erosion Control Seed Mix - Native Slope Stabilization - 50 lb,  | Nature's Seed",1749.99 USD,Specialty Seeds > Restoration Seed Mix,specialty,,>200,High Margin,
gla_451076,CV-CNFW-10-LB-KIT,"California Fire-Wise Seed Mix - Fire-Resistant Native Plants - 10 lb, Covers 20,000 sq ft | Nature's Seed",688.24 USD,Specialty Seeds > Restoration Seed Mix,specialty,California,>200,High Margin,
gla_451077,CV-CNFW-20-LB-KIT,"California Fire-Wise Seed Mix - Fire-Resistant Native Plants - 20 lb, Covers 40,000 sq ft | Nature's Seed",1299.99 USD,Specialty Seeds > Restoration Seed Mix,specialty,California,>200,High Margin,
gla_451078,CV-CNFW-5-LB,"California Fire-Wise Seed Mix - Fire-Resistant Native Plants - 5 lb, Covers 10,000 sq ft | Nature's Seed",382.35 USD,Specialty Seeds > Restoration Seed Mix,specialty,California,>200,High Margin,
gla_447346,CV-NEC-10-LB,"Native Erosion Control Seed Mix - Arid Region Stabilization - 10 lb, Covers 20,000 sq ft | Nature's Seed",99.99 USD,Specialty Seeds > Restoration Seed Mix,specialty,California,50-100,Average Margin,
gla_447347,CV-NEC-20-LB-KIT,"Native Erosion Control Seed Mix - Arid Region Stabilization - 20 lb, Covers 40,000 sq ft | Nature's Seed",179.99 USD,Specialty Seeds > Restoration Seed Mix,specialty,California,150-200,High Margin,
gla_447348,CV-NEC-50-LB-KIT,"Native Erosion Control Seed Mix - Arid Region Stabilization - 50 lb, Covers 100,000 sq ft | Nature's Seed",429.99 USD,Specialty Seeds > Restoration Seed Mix,specialty,California,>200,High Margin,
gla_445910,PB-ALPACA-10-LB,"Alpaca & Llama Pasture Seed Mix - Low-Sugar Forage Blend - 10 lb, Covers 20,000 sq ft | Nature's Seed",29.99 USD,Pasture Seeds > Pasture Seeds Mix > Mix for Alpaca Forage,pasture,,50-100,Low Margin,
gla_445909,PB-ALPACA-20-LB-KIT,"Alpaca & Llama Pasture Seed Mix - Low-Sugar Forage Blend - 20 lb, Covers 40,000 sq ft | Nature's Seed",49.99 USD,Pasture Seeds > Pasture Seeds Mix > Mix for Alpaca Forage,pasture,,150-200,Low Margin,
gla_445260,PB-ALPACA-50-LB-KIT,"Alpaca & Llama Pasture Seed Mix - Low-Sugar Forage Blend - 50 lb, Covers 100,000 sq ft | Nature's Seed",119.99 USD,Pasture Seeds > Pasture Seeds Mix > Mix for Alpaca Forage,pasture,,>200,Average Margin,
gla_459582,PB-BIRD-10-LB,"Upland Game Bird Food Plot Seed - Duck & Quail Attractor - 10 lb, Covers 5,000 sq ft | Nature's Seed",24.99 USD,Food Plot > Food Plot Mix Wildlife Attractor,pasture,,<50,Low Margin,
gla_459583,PB-BIRD-20-LB-KIT,"Upland Game Bird Food Plot Seed - Duck & Quail Attractor - 20 lb, Covers 10,000 sq ft | Nature's Seed",44.98 USD,Food Plot > Food Plot Mix Wildlife Attractor,pasture,,<50,Low Margin,
gla_459584,PB-BIRD-50-LB-KIT,"Upland Game Bird Food Plot Seed - Duck & Quail Attractor - 50 lb, Covers 25,000 sq ft | Nature's Seed",106.21 USD,Food Plot > Food Plot Mix Wildlife Attractor,pasture,,100-150,Average Margin,
gla_459808,PB-CABIN-10-LB-KIT,"Native Cabin Grass Seed Mix - Pasture & Cabin Lawn Blend - 10 lb, Covers 20,000 sq ft | Nature's Seed",79.19 USD,Native Grass Seed,pasture,,50-100,Average Margin,
gla_459809,PB-CABIN-25-LB-KIT,"Native Cabin Grass Seed Mix - Pasture & Cabin Lawn Blend - 25 lb, Covers 50,000 sq ft | Nature's Seed",218.99 USD,Native Grass Seed,pasture,,>200,High Margin,
gla_460753,PB-CABIN-5-LB,"Native Cabin Grass Seed Mix - Pasture & Cabin Lawn Blend - 5 lb, Covers 10,000 sq ft | Nature's Seed",43.99 USD,Native Grass Seed,pasture,,<50,Low Margin,
gla_445557,PB-CHIX-25-LB-KIT,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 25 lb, Covers 50,000 sq ft | Nature's Seed",89.95 USD,Pasture Seeds > Pasture Seeds Mix > Mix for Poultry Forage,pasture,,>200,Average Margin,
gla_445869,PB-CHIX-5-LB,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 5 lb, Covers 10,000 sq ft | Nature's Seed",19.99 USD,Pasture Seeds > Pasture Seeds Mix > Mix for Poultry Forage,pasture,,50-100,Low Margin,
