Original Item ID,Original Title,Product Type,Campaign,Total Cost,Total Conversions
s-trre,White Dutch Clover Lawn Seed - Bulk bags available - No added filler,grass seed,Nat | PMax | Catch All,3291.06,737.59
s-trre,White Dutch Clover Lawn Seed - Bulk bags available - No added filler | Nature's Seed,grass seed,Nat | PMax | Catch All,815.53,146.11
pb-pnwec,Pacific Northwest Erosion Control Mix,specialty seed,Pacific Northwest | Shopping,246,21.93
s-feru,Creeping Red Fescue Grass,grass seed,Nat | PMax | Catch All,136.23,19.21
pb-pnwec,Pacific Northwest Erosion Control Mix Specialty Seed | Nature's Seed,specialty seed,Shopping | grass | ROAS,124.68,8.02
pb-pnwd,Pacific Northwest Dryland Pasture Mix Specialty Seed | Nature's Seed,specialty seed,Shopping | grass | ROAS,123.52,6.67
turf-zoja,Zoysia Grass Seed,grass seed,Nat | PMax | Catch All,83.68,5
w-spco,Scarlet Globemallow,wildflower seed,US | Shopping | Catchall - Wildflower Seed,61.77,0
pb-pnwbc,Pacific Northwest Beef Cattle Forage Mix,pasture seed,US | Performance Max | Forage Mixes,56.99,1.34
pb-mwg,Mid-West/Mid-Atlantic Goat Forage Mix,pasture seed,US | Performance Max | Forage Mixes,49.66,3.74
pb-swdh,Southwest Desert Horse Forage Mix,pasture seed,US | Shopping | Catchall - Pasture Seed,35.54,1
pb-pnwbc,Pacific Northwest Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,34.75,0
pb-gps,Great Plains Sheep Forage Mix,pasture seed,US | Performance Max | Forage Mixes,34.74,0.43
pb-mwbc,Mid-West/Mid-Atlantic Beef Cattle Forage Mix,pasture seed,US | Performance Max | Forage Mixes,32.65,1
pb-ssb,Southern Subtropics Bison Forage Mix,pasture seed,US | Performance Max | Forage Mixes,31.55,0
pb-glh,Great Lakes/New England Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,31.07,2
