product_id,current_url,issue,redirects_to,suggested_fix
variation_461579,https://naturesseed.com/products/clover-seed/alsike-clover-seed/?variation_id=461579&attribute_size=25+lb+-+Covers+50%2C000+Sq+Ft,"Error: CONN_ERROR - Connection Error: HTTPSConnectionPool(host='naturesseed.com', port=443): Read timed out.",,Investigate server error; may need to remove from feed or fix server timeout
variation_461571,https://naturesseed.com/products/clover-seed/crimsom-clover-crop-seed/?variation_id=461571&attribute_size=5+lb+-+Covers+10%2C000+Sq+Ft,Error: TIMEOUT - Timeout after 10s,,Investigate server error; may need to remove from feed or fix server timeout
variation_445855,https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/?variation_id=445855&attribute_size=5+lb+-+Covers+1%2C000+Sq+Ft,"Error: CONN_ERROR - Connection Error: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",,Investigate server error; may need to remove from feed or fix server timeout
variation_446798,https://naturesseed.com/products/pasture-seed/bermudagrass/?variation_id=446798&attribute_size=25+lb+-+Covers+50%2C000+Sq+Ft,Redirects (301),"https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/?variation_id=446798&attribute_size=25%20lb%20-%20Covers%2050,000%20Sq%20Ft","Update feed URL to: https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/?variation_id=446798&attribute_size=25%20lb%20-%20Covers%2050,000%20Sq%20Ft"
variation_446799,https://naturesseed.com/products/pasture-seed/bermudagrass/?variation_id=446799&attribute_size=5+lb+-+Covers+20%2C000+Sq+Ft,Redirects (301),"https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/?variation_id=446799&attribute_size=5%20lb%20-%20Covers%2020,000%20Sq%20Ft","Update feed URL to: https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/?variation_id=446799&attribute_size=5%20lb%20-%20Covers%2020,000%20Sq%20Ft"
variation_446800,https://naturesseed.com/products/pasture-seed/bermudagrass/?variation_id=446800&attribute_size=50+lb+-+Covers+100%2C000+Sq+Ft,Redirects (301),"https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/?variation_id=446800&attribute_size=50%20lb%20-%20Covers%20100,000%20Sq%20Ft","Update feed URL to: https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/?variation_id=446800&attribute_size=50%20lb%20-%20Covers%20100,000%20Sq%20Ft"
variation_446817,https://naturesseed.com/products/pasture-seed/tortoise-forage-mix/?variation_id=446817&attribute_size=10+lb+-+Covers+20%2C000+Sq+Ft,Redirects (301),"https://naturesseed.com/products/pasture-seed/?variation_id=446817&attribute_size=10%20lb%20-%20Covers%2020,000%20Sq%20Ft","Update feed URL to: https://naturesseed.com/products/pasture-seed/?variation_id=446817&attribute_size=10%20lb%20-%20Covers%2020,000%20Sq%20Ft"
variation_446818,https://naturesseed.com/products/pasture-seed/tortoise-forage-mix/?variation_id=446818&attribute_size=2+lb+-+Covers+4%2C000+Sq+Ft,Redirects (301),"https://naturesseed.com/products/pasture-seed/?variation_id=446818&attribute_size=2%20lb%20-%20Covers%204,000%20Sq%20Ft","Update feed URL to: https://naturesseed.com/products/pasture-seed/?variation_id=446818&attribute_size=2%20lb%20-%20Covers%204,000%20Sq%20Ft"
variation_446819,https://naturesseed.com/products/pasture-seed/tortoise-forage-mix/?variation_id=446819&attribute_size=4+lb+-+Covers+8%2C000+Sq+Ft,Redirects (301),"https://naturesseed.com/products/pasture-seed/?variation_id=446819&attribute_size=4%20lb%20-%20Covers%208,000%20Sq%20Ft","Update feed URL to: https://naturesseed.com/products/pasture-seed/?variation_id=446819&attribute_size=4%20lb%20-%20Covers%208,000%20Sq%20Ft"
miniature-lupine,https://naturesseed.com/products/wildflower-seeds/miniature-lupine/,Redirects (301),https://naturesseed.com/products/wildflower-seed/miniature-lupine/,Update feed URL to: https://naturesseed.com/products/wildflower-seed/miniature-lupine/
