Campaign Name,Campaign ID,Ad Group,Ad ID,Ad Type,Ad Status,Final URL,Headline 1,Headline 2,Headline 3,Description 1,Description 2,All-Time Impressions,All-Time Clicks,All-Time Cost,All-Time Conversions,All-Time Revenue,All-Time ROAS,URL Issues
Search | Brand | ROAS,187765054,Brand,578233647510,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/,Nature's Seed Quality Seed,Nature's Seed - Americas Best,Top Region Specific Seed Mixes,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Specially Designed Mixes For Each Region Of The US.,90541,32762,63013.64,3887.12,549212.59,8.72,
Search | Pasture | Exact,22866516659,Cattle,771352317042,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/product/cattle-dairy-cow-pasture-mix-cold-warm-season,Cattle Pasture Seed,Dairy Cow Pasture Mix,High-Yield Forage Mix,Region-ready pasture mixes for beef and dairy. Clear seeding rates per acre.,Balanced grass + legume blends for palatability and persistence.,58237,3963,4583.98,136.51,11907.5,2.6,Old URL path (no /products/): /product/cattle-dairy-cow-pasture-mix-cold-warm-season
Search | Pasture | Exact,22866516659,Poultry,771352317051,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,Poultry Pasture Mix,Chicken Pasture Seed,Poultry Pasture Seed Mix,Build chicken-friendly pasture with region-tuned poultry mixes.,Chicken seed mix for free-range flocks; high-protein forage species.,15173,1633,2688.71,84.95,5759.42,2.14,
Search | Pasture | Exact,22866516659,All Pasture,767882150044,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/,Buy Pasture Seed Online,Fast‑Germinating Forage,Browse Our Inventory Online,Get the best lawn & pasture seeds from Nature's Seed.,"Nature's Seed is your go-to for high-quality grass seed, fertilizer, and pasture mixes",37379,2299,2255.71,55.07,5054.25,2.24,
Search | Brand | ROAS,187765054,Brand,272079888904,EXPANDED_TEXT_AD,ENABLED,https://www.naturesseed.com/,,,,,,3404,567,1954.36,96.35,7653.42,3.92,Uses www. subdomain
Search | Animal Seed (Broad) | ROAS,22999216985,Cattle,773132599438,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/pasture-seed/cattle-pastures/beef-cattle-forage/,Cattle Pasture Seed,Nature's Seed™ - Americas Best,Region Specific Pasture Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Pasture Seed Mixes For Each Region Of The US.,8873,760,1808.16,20.93,3463.79,1.92,Old URL path (no /products/): /pasture-seed/cattle-pastures/beef-cattle-forage/
Search | Brand | ROAS,187765054,Brand,272079888901,EXPANDED_TEXT_AD,ENABLED,https://www.naturesseed.com/,,,,,,2775,804,1516.56,100.69,18202.57,12,Uses www. subdomain
Search | Brand | ROAS,187765054,Brand,272079888907,EXPANDED_TEXT_AD,ENABLED,https://www.naturesseed.com/,,,,,,3084,428,1472.48,66.86,6471.86,4.4,Uses www. subdomain
Search | Pasture | Exact,22866516659,Horse,771352317045,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/pasture-seed/horse-pastures-seed/,Horse Pasture Seeds,Horse Pasture Seed Mix,Horse‑Safe Pasture Mix,"Build a safe, durable pasture for horses with region-tuned seed blends.",Overseed or start fresh—fast germination and strong grazing tolerance.,5246,811,1417.7,29.14,4390.08,3.1,
Search | Animal Seed (Broad) | ROAS,22999216985,Wildflower Seed,773132599405,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/products/wildflower-seed/,Nature's Seed™ Wildflower Seed,Nature's Seed™ - Americas Best,Regional Wildflower Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Designed Wildflower Seed Mixes For Each Region Of The US.,9448,484,1067.21,17.94,2261.36,2.12,
Search | Brand | ROAS,187765054,Brand [Broad],747838731525,RESPONSIVE_SEARCH_AD,ENABLED,https://naturesseed.com/,Save 40% on 500+ Seeds,Grow Something Extraordinary,Nature's Seed,Largest Variety of Expert Crafted Seed Mixes. Order Online & Get Free Shipping.,Our Range-Land Experts Have Specially Designed Mixes For Each Region Of The US.,6153,261,1049.67,11.37,2949.06,2.81,
