Product Item ID,Product Title,Product Type L1,Product Type L2,Total Impressions,Total Clicks,Total Cost ($),Total Conversions,Total Revenue ($),Total ROAS,CTR (%),Avg CPC ($),Conv Rate (%),Avg Order Value ($),Quarters Active,Campaigns,Matched Live ID,Match Type
gla_184146,Miniature Lupine,wildflower seed,wildflower seed by region,23,1,0.56,1.00,57.53,102.73,4.35,0.56,100.00,57.53,2,3,gla_452618,title_contains
gla_183527,Brittlebush,wildflower seed,wildflower seed by region,819,8,3.51,1.25,257.61,73.39,0.98,0.44,15.62,206.09,4,9,gla_452686,title_contains
gla_186252,Blue-Eyed Grass,wildflower seed,,990,3,3.56,1.00,250.47,70.36,0.30,1.19,33.33,250.47,3,4,gla_452636,title_contains
gla_441157,Blue Grama,pasture seed,individual pasture species,1078,16,9.69,2.00,399.03,41.18,1.48,0.61,12.50,199.51,1,6,gla_446803,title_contains
gla_452636,Blue-eyed Grass Seed Native Perennial Iris Relative for Meadow Planting 0.25 Lb for 500 Sq Ft | Nature's Seed,wildflower seeds,single species wildflower,3524,16,13.51,5.00,413.95,30.64,0.45,0.84,31.25,82.79,3,4,gla_452636,id_exact
gla_441400,Sheep Fescue Grass,lawn seed,fescue grass seed,1924,22,12.54,1.00,270.26,21.55,1.14,0.57,4.55,270.26,1,5,gla_446822,title_contains
gla_446609,"Nature's Seed Forage 50 Lb of Pasture Grass Seed for 50,000 Sq Ft Kentucky Bluegrass Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,21543,139,116.43,11.64,2482.30,21.32,0.65,0.84,8.37,213.26,3,4,gla_446609,id_exact
gla_445284,"Nature's Seed Cool‐Adapted Pasture & Forage 10 Lb for 10,000 Sq Ft Mix No Fillers, Just Quality Feed for Sheep",new,pasture seeds mix,14911,81,78.13,1.35,1246.15,15.95,0.54,0.96,1.67,923.07,3,7,gla_445284,id_exact
gla_458050,"Nature's Seed Hardy Lawn Seed Mix 25 lb Kit - Covers 5,000 sq ft - Turf Grass Blend for Lawn Repair & Overseeding",lawn / turf seeds,home lawn/yard grass seed,9560,29,27.58,1.00,432.94,15.70,0.30,0.95,3.45,432.94,1,3,gla_458050,id_exact
gla_450360,"Organic Heat-Treated Rice Hulls – Seed Carrier & Soil Amendment (10 lb Bag for 2,000 Sq Ft Lawns or small plots)",planting aids,soil amendments & conditioners,10336,245,143.22,25.67,2058.37,14.37,2.37,0.58,10.48,80.19,3,5,gla_450360,id_exact
gla_184632,Crimson Clover,pasture seed,individual pasture species,19775,120,102.66,4.60,1462.15,14.24,0.61,0.86,3.83,317.86,3,9,gla_461572,title_contains
gla_444227,Inoculant,planting aid,,922,9,19.22,2.00,266.97,13.89,0.98,2.14,22.22,133.49,2,1,gla_445520,title_contains
gla_445850,"Nature's Seed Warm‐Season Pasture & Forage 20 Lb for 20,000 Sq Ft Mix No Filler, Palatable Seed for Horses",pasture seeds,pasture seeds mix,13990,77,150.92,16.54,1828.45,12.12,0.55,1.96,21.48,110.55,3,7,gla_445850,id_exact
gla_441530,Narrowleaf Milkweed,wildflower seeds,,1608,9,7.42,1.00,89.89,12.11,0.56,0.82,11.11,89.89,1,3,gla_447437,title_contains
pg-dagl,Orchardgrass,pasture seed,orchardgrass,136189,1461,410.16,54.96,4650.25,11.34,1.07,0.28,3.76,84.61,8,11,gla_446809,title_contains
gla_183537,Sheep Fescue Grass,lawn seed,grass seed by state,2768,11,32.39,2.00,354.94,10.96,0.40,2.94,18.18,177.47,4,7,gla_446822,title_contains
s-feov,Sheep Fescue Grass Seed,grass seed,sheep fescue grass,74554,1035,434.16,63.15,4726.15,10.89,1.39,0.42,6.10,74.84,8,12,gla_446822,title_contains
gla_407017,California Poppy,wildflower seed,wildflower seed by region,36318,15,22.79,1.50,240.95,10.57,0.04,1.52,10.00,160.63,4,9,gla_447375,title_contains
gla_446579,"California Coastal Native Wildflower Mix | Drought Tolerant Pollinator Seed Blend 5 Lb for 10,000 Sq Ft | Nature's Seed",wildflower seeds,wildflower mixes,10179,84,305.78,18.31,3100.62,10.14,0.83,3.64,21.80,169.34,3,4,gla_446579,id_exact
gla_452637,Blue-eyed Grass Seed Native Perennial Iris Relative for Meadow Planting 0.5 Lb for 1000 Sq Ft | Nature's Seed,wildflower seeds,single species wildflower,1877,14,22.64,12.11,220.18,9.73,0.75,1.62,86.50,18.18,3,4,gla_452637,id_exact
gla_445838,"Nature's Seed California Forage 5 Lb of Pasture Grass Seed for 5,000 Sq Ft Mix Native seed blend",pasture seeds,pasture seeds mix,5146,41,139.45,7.57,1331.02,9.54,0.80,3.40,18.46,175.83,3,4,gla_445838,id_exact
pg-popr,Kentucky Bluegrass,pasture seed,kentucky bluegrass,78961,412,131.89,8.61,1248.41,9.47,0.52,0.32,2.09,145.00,8,18,gla_446607,title_contains
gla_445848,"Nature's Seed Transitional Pasture & Forage 20 Lb for 20,000 Sq Ft Mix No Fillers, Just Quality Feed for Sheep",pasture seeds,pasture seeds mix,20653,168,227.78,13.72,2152.15,9.45,0.81,1.36,8.17,156.86,3,7,gla_445848,id_exact
gla_445843,"Nature's Seed Cool‐Adapted Pasture & Forage 50 Lb for 50,000 Sq Ft Mix No Fillers, Just Quality Feed for Sheep",pasture seeds,pasture seeds mix,13849,87,185.38,3.80,1697.97,9.16,0.63,2.13,4.37,446.83,3,7,gla_445843,id_exact
gla_185280,Wheat,pasture seed,individual pasture species,19566,259,143.23,8.00,1310.03,9.15,1.32,0.55,3.09,163.75,4,10,gla_446807,title_contains
gla_452879,Purple Needlegrass Seed Native California Perennial Bunchgrass for Restoration 0.25 Lb for 500 Sq Ft | Nature's Seed,wildflower seeds,regional wildflower mixes,4042,36,53.72,3.64,490.68,9.13,0.89,1.49,10.11,134.80,3,4,gla_452879,id_exact
gla_452753,Western Yarrow Seed (Achillea millefolium) Native Perennial Wildflower 0.25 Lb for 500 Sq Ft | Nature's Seed,wildflower seeds,single species wildflower,7622,61,51.05,5.00,464.07,9.09,0.80,0.84,8.20,92.81,3,4,gla_452753,id_exact
gla_446613,"Nature's Seed Pasture & Forage 25 Lb for 25,000 Sq Ft Buffalograss Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,5591,27,23.98,1.00,209.49,8.74,0.48,0.89,3.70,209.49,3,7,gla_446613,id_exact
gla_444226,Tackifier,planting aids,,860,14,16.93,1.00,146.91,8.68,1.63,1.21,7.14,146.91,2,1,gla_445519,title_contains
gla_184516,Timothy Grass Seed,pasture seed,individual pasture species,13700,537,338.23,12.53,2929.32,8.66,3.92,0.63,2.33,233.78,4,10,gla_446601,title_contains
gla_185275,Rice Hulls,planting aids,all planting aids,10581,97,99.29,3.14,810.35,8.16,0.92,1.02,3.24,258.07,4,1,gla_450360,title_contains
gla_455525,"Deer Food Plot Seed Mix (Krunch & Munch) - Wildlife Forage - 20 lb, Covers 2,000 sq ft | Nature's Seed",food plot,food plot mix wildlife attractor,8581,58,39.83,2.00,303.63,7.62,0.68,0.69,3.45,151.81,1,3,gla_455525,id_exact
gla_445170,"Nature's Seed Lawn Fescue Low Water & Traffic-Tough 5 Lb of Grass Seed for 1,000 Sq Ft | TWCA Certified Ideal - Transitional/Northern Regions",lawn seeds,water-wise lawn seeds (twca certified),62972,328,245.45,6.28,1859.41,7.58,0.52,0.75,1.91,296.08,3,6,gla_445170,id_exact
gla_452880,Purple Needlegrass Seed Native California Perennial Bunchgrass for Restoration 0.5 Lb for 1000 Sq Ft | Nature's Seed,wildflower seeds,single species wildflower,3138,30,37.98,6.50,284.98,7.50,0.96,1.27,21.67,43.84,3,4,gla_452880,id_exact
gla_445861,"Nature's Seed Cool‐Adapted Pasture & Forage 10 Lb for 10,000 Sq Ft Mix No Filler, Palatable Seed for Horses",pasture seeds,pasture seeds mix,31375,282,294.60,38.40,2166.08,7.35,0.90,1.04,13.62,56.41,3,7,gla_445861,id_exact
gla_445519,M-Binder 50 Lb Professional Hydroseeding Tack Agent | Nature's Seed,planting aids,,9621,84,61.53,6.00,446.26,7.25,0.87,0.73,7.14,74.38,3,4,gla_445519,id_exact
gla_445433,"Nature's Seed Lawn Bermudagrass Extremely Resistant blend 25 Lb of Grass Seed for 5,000 Sq Ft| Ideal for Southern Region",lawn seeds,premium turf,29331,122,113.56,2.00,811.43,7.15,0.42,0.93,1.64,405.72,3,6,gla_445433,id_exact
gla_445260,"Nature's Seed Any Region Pasture & Forage 50 Lb for 50,000 Sq Ft Mix Curated Soft‐Leaf Blend for Llamas and Aplacas with No Fillers",pasture seeds,pasture seeds mix,13707,80,112.50,20.29,782.15,6.95,0.58,1.41,25.36,38.55,3,7,gla_445260,id_exact
gla_444949,"Nature's Seed Pasture & Forage 50 Lb for 50,000 Sq Ft Alfalfa Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,14136,83,111.10,4.00,767.70,6.91,0.59,1.34,4.82,191.93,3,7,gla_444949,id_exact
gla_455945,"Shortgrass Prairie Seed Mix - Native Grass & Wildflower Blend - 10 lb, Covers 50,000 sq ft | Nature's Seed",food plot,food plot mix wildlife attractor,28065,242,291.52,6.28,1902.87,6.53,0.86,1.20,2.60,303.00,1,3,gla_455945,id_exact
gla_184456,Tall Fescue,pasture seed,individual pasture species,13827,74,140.92,2.51,908.81,6.45,0.54,1.90,3.39,362.08,4,9,gla_446820,title_contains
