search_term,total_spend,total_clicks,total_conversions,total_conv_value,roas,recommended_action
natures seed,7569.98,11788,1647.55,249912.39,33.01,Add as Exact Match keyword
nature's seed,4441.76,7213,963.91,134190.45,30.21,Add as Exact Match keyword
nature seed,4351.56,4647,603.07,81357.01,18.7,Add as Exact Match keyword
natureseed,4360.81,2095,303.36,52435.31,12.02,Add as Exact Match keyword
naturesseed,2905.12,1499,225.12,33390.6,11.49,Add as Exact Match keyword
nature seeds,750.48,748,83.48,16901.13,22.52,Add as Exact Match keyword
natures seeds,388.14,624,64.84,6294.23,16.22,Add as Exact Match keyword
nature's seeds,1267.14,522,66.52,6233.62,4.92,Monitor / Exact Match candidate
natureseeds,329.94,163,28.01,2805.02,8.5,Add as Exact Match keyword
nature's seed company,168.11,88,25.25,2168.83,12.9,Add as Exact Match keyword
naturesseed com,545.14,170,17.81,1501.9,2.76,Monitor
nature's seed microclover,320.36,82,16.97,1281.23,4.0,Monitor / Exact Match candidate
nature's seed clover,228.99,86,19.0,1103.66,4.82,Monitor / Exact Match candidate
nature's seed phone number,732.48,83,5.65,418.32,0.57,Review / consider negative
naturesseed coupon,22.24,2,4.0,408.97,18.39,Add as Exact Match keyword
nature's seed grass seed,72.98,28,6.14,356.34,4.88,Monitor / Exact Match candidate
nature seed company,39.23,30,2.0,208.98,5.33,Add as Exact Match keyword
nature's seed reviews,45.92,8,1.0,44.73,0.97,Review / consider negative
nature's seed kentucky bluegrass seed,35.75,4,1.0,41.77,1.17,Review / consider negative
created by nature seeds,822.32,124,1.0,31.27,0.04,Review / consider negative
nature seeds balasore,57.54,9,0.04,15.55,0.27,Review / consider negative
mother nature seeds,80.18,22,0.0,0.0,0.0,Review / consider negative
nature's seed coupon,50.34,6,0.0,0.0,0.0,Review / consider negative
nature seeds store,31.92,8,0.0,0.0,0.0,Review / consider negative
mother nature's seeds,208.48,47,0.0,0.0,0.0,Review / consider negative
nature seeds company,15.72,11,0.0,0.0,0.0,Review / consider negative
nature's seed review,7.59,4,0.0,0.0,0.0,Review / consider negative
customercare naturesseed com,24.96,2,0.0,0.0,0.0,Review / consider negative
the nature seed,20.75,1,0.0,0.0,0.0,Review / consider negative
back to nature seeds,1.5,1,0.0,0.0,0.0,Review / consider negative
nature seeds mystical agriculture,5.25,1,0.0,0.0,0.0,Review / consider negative
nature's seed turf pano 1000 f bahia grass seed blend 1000 sq ft 1000 sqft,361.91,32,0.0,0.0,0.0,Review / consider negative
natures seed turf pano 1500 f bahia grass seed blend,76.66,14,0.0,0.0,0.0,Review / consider negative
natures seed bahia grass seed blend,50.96,9,0.0,0.0,0.0,Review / consider negative
nature seed discount code,19.17,2,0.0,0.0,0.0,Review / consider negative
natures seed discount code,5.94,1,0.0,0.0,0.0,Review / consider negative
nature seeds pakistan,0.69,2,0.0,0.0,0.0,Review / consider negative
faithful to nature seeds,0.53,1,0.0,0.0,0.0,Review / consider negative
nature seed blue ribbon mix,0.3,1,0.0,0.0,0.0,Review / consider negative
