search_term,total_spend,total_conversions,total_conv_value,roas,reason
nature's finest grass seed,1834.27,6.76,712.52,0.39,Competitor: nature's finest
created by nature seeds,822.32,1.0,31.27,0.04,Competitor: created by nature
createdbynature com plant,539.48,0.0,0.0,0.0,Competitor: created by nature
natures finest grass seed,367.62,2.0,90.57,0.25,Competitor: nature's finest
great basin seed,349.95,4.0,1656.86,4.73,Competitor: great basin seed
natures finest seed,330.61,2.0,428.98,1.3,Competitor: nature's finest
nature's finest seed,308.4,5.5,889.61,2.88,Competitor: nature's finest
nature's finest midwest master grass seed,307.43,2.25,361.12,1.17,Competitor: nature's finest
nature's finest ™ midwest master premium grass seed,283.7,1.0,50.09,0.18,Competitor: nature's finest
created by nature,274.79,1.0,1.0,0.0,Competitor: created by nature
created by nature com plant,191.58,1.0,81.99,0.43,Competitor: created by nature
american meadows seeds,169.55,0.0,0.0,0.0,Competitor: american meadows
nature's finest northern blend grass seed,141.41,2.0,2026.38,14.33,Competitor: nature's finest
ernst seeds,136.6,0.0,0.0,0.0,Competitor: ernst seeds
nature's finest premium grass seed,126.67,0.0,0.0,0.0,Competitor: nature's finest
nature's finest ™ midwest master premium grass seed 15 lbs,119.72,0.0,0.0,0.0,Competitor: nature's finest
native american seed,101.88,0.0,0.0,0.0,Competitor: native american seed
granite seed,96.05,3.0,155.66,1.62,Competitor: granite seed
hancock seed,88.1,1.87,6.05,0.07,Competitor: hancock seed
mother nature seeds,80.18,0.0,0.0,0.0,Competitor: mother nature seeds
nature's finest midwest master premium grass seed,79.35,0.0,0.0,0.0,Competitor: nature's finest
baker creek seeds,79.19,0.0,0.0,0.0,Competitor: baker creek
myseeds best,55.08,0.0,0.0,0.0,Competitor: myseeds
boston seeds,52.04,0.0,0.0,0.0,Competitor: boston seeds
createdbynature plant,51.21,0.0,0.0,0.0,Competitor: created by nature
american meadows wildflower seeds,49.35,0.0,0.0,0.0,Competitor: american meadows
nature jims sprouts,48.96,0.0,0.0,0.0,Competitor: nature jim
nature's eats cranberry seeds,46.93,0.0,0.0,0.0,Competitor: nature's eats
american meadows microclover,46.78,1.0,1.0,0.02,Competitor: american meadows
johnny seed,45.94,0.0,0.0,0.0,Competitor: johnny's seeds
outside pride seed,43.52,0.0,0.0,0.0,Competitor: outsidepride
great basin seeds,42.22,0.0,0.0,0.0,Competitor: great basin seed
hancock seeds,42.07,0.5,5.68,0.14,Competitor: hancock seed
johnny's seeds,41.26,0.49,18.62,0.45,Competitor: johnny's seeds
nature's finest sunny area grass seed,40.08,0.0,0.0,0.0,Competitor: nature's finest
natures finest seeds,39.71,0.5,629.65,15.86,Competitor: nature's finest
prairie moon seeds,39.01,0.0,0.0,0.0,Competitor: prairie moon
nature's finest thick and hearty grass seed,38.52,1.0,835.98,21.7,Competitor: nature's finest
seed world,36.36,0.0,0.0,0.0,Competitor: seed world
