Product Item ID,Product Title,Product Type L1,Product Type L2,Total Spend ($),Total Clicks,Total Conversions,Total Conv Value ($),ROAS
gla_355776,Common Lespedeza,pasture seed,pasture seed by region,1188.51,846,7.34,1052.18,0.89
pb-pnwd-1-a,Pacific Northwest Dryland Pasture Blend - Specialty Seed | Nature's Seed,specialty seed,pacific northwest dryland pasture blend,923.3,1170,7.61,873.84,0.95
gla_355806,Hybrid Forage Brassica,heartland collection,pasture seed by region,817.25,645,2.41,235.74,0.29
gla_192006,Northeast Seed Mix,lawn seed,grass seed by state,754.67,740,5.23,359.41,0.48
gla_406906,Bermuda Grass Seed Mix 500 sq. ft.,lawn seed,grass seed by state,577.13,816,2.11,475.38,0.82
gla_446828,"Nature's Seed Wildflower 5 Lb for 10,000 Sq Ft Mix Deer Resistant",wildflower seeds,wildflower mixes,566.83,344,3.25,198.23,0.35
gla_185713,Micro Clover Seed,lawn seed,clover seeds for lawn (lawn additive),524.85,283,5.99,468.0,0.89
gla_192003,Northwest Seed Mix,lawn seed,grass seed by state,426.44,308,2.7,253.74,0.6
gla_406892,Sun and Shade Grass Seed Mix,lawn seed,grass seed by state,421.9,426,2.2,409.62,0.97
gla_444221,"Nature's Seed Lawn Mix Native to California 5 Lb of Grass Seed for 1,000 Sq Ft | Ideal for Transitional/Northern Regions",lawn seeds,premium turf,421.59,413,5.52,322.29,0.76
pg-fear2-1-lb,Tall Fescue - Pasture Seed | Nature's Seed,pasture seed,tall fescue,418.07,1476,6.24,397.5,0.95
gla_447118,"Low-Maintenance Sun & Shade Grass Seed Mix — Drought-Tolerant, Versatile, and Low-Water Lawn Solution 10 Lb for 2,000 Sq Ft | Nature's Seed",lawn / turf seeds,home lawn/yard grass seed,398.9,841,3.5,356.26,0.89
pg-pano-10-lb,Bahia Grass - Pasture Seed | Nature's Seed,pasture seed,bahia grass,398.55,800,3.46,231.04,0.58
gla_183570,Great Plains Horse Forage Mix,sale,horse pasture seed,376.19,264,2.45,336.59,0.89
gla_183830,South-Atlantic Transitional Goat Forage Mix,pasture seed,goat pasture seed,373.02,356,2.0,341.45,0.92
gla_186380,Native Fine Fescue Grass Seed Mix 5000 sq. ft.,lawn seed,fescue grass seed,344.41,379,1.85,199.93,0.58
gla_445282,"Nature's Seed Transitional Pasture & Forage 20 Lb for 20,000 Sq Ft Mix No Filler, Palatable Seed for Horses",pasture seeds,pasture seeds mix,340.47,161,1.85,94.68,0.28
gla_185389,Hybrid Pearl Millet,pasture seed,individual pasture species,318.06,429,8.93,234.31,0.74
gla_446810,"Nature's Seed Pasture & Forage 50 Lb for 50,000 Sq Ft Orchardgrass Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,313.52,183,8.59,190.31,0.61
gla_184753,Pacific Northwest Pollinator Seed Mix 5000 sq. ft.,sale,pasture seed by region,310.95,147,3.12,169.02,0.54
pg-poam-10-lb,Big Bluegrass - Pasture Seed | Nature's Seed,pasture seed,big bluegrass,291.24,796,2.0,167.38,0.57
gla_355867,Purple Top Turnips,pasture seed,pasture seed by region,283.18,281,1.5,88.66,0.31
pb-iwh-0.5-a,Intermountain West Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,intermountain west horse forage blend,281.2,195,1.0,64.15,0.23
pb-pswhb,Pacific Southwest Honey Bee Pasture Mix Specialty Seed | Nature's Seed,specialty seed,pacific southwest honey bee pasture mix,273.63,85,2.0,100.21,0.37
wb-ccn-500-f,California Coastal Native Wildflower Mix - Wildflower Seed | Nature's Seed,wildflower seed,california coastal native wildflower mix,273.26,321,5.78,257.16,0.94
gla_355812,Japanese Millet,pasture seed,pasture seed by region,271.62,285,1.0,21.96,0.08
gla_355977,Native Tallgrass Mix,specialty seed,specialty seed by region,269.06,189,2.01,225.59,0.84
gla_185381,Annual Sunflower Seed - 1 Pound Bag,pasture seed,individual pasture species,255.31,168,4.0,199.67,0.78
gla_185296,Cereal Rye Seed,pasture seed,individual pasture species,255.06,447,13.53,225.98,0.89
gla_446607,"Kentucky Bluegrass (Poa pratensis) – Fine-Textured, High Traffic Pasture Grass 25 Lb for 25,000 Sq Ft | Nature's Seed",pasture seeds,single species pasture seeds,244.64,290,5.92,214.42,0.88
gla_184678,Blue Grama,pasture seed,individual pasture species,244.53,275,0.34,85.76,0.35
gla_184642,Buffalograss,pasture seed,individual pasture species,238.71,141,0.5,38.1,0.16
pg-sobi-25-lb,Grain Sorghum - Pasture Seed | Nature's Seed,pasture seed,grain sorghum,235.91,621,3.78,87.02,0.37
gla_406903,Buffalograss Seed Blend 2000 sq. ft.,lawn seed,grass seed by state,230.57,189,0.36,25.14,0.11
pb-gph-0.5-a,Great Plains Horse Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains horse forage blend,225.37,187,1.3,139.37,0.62
gla_182963,Great Lakes/New England Dryland Pasture Mix,sale,specialty seed by region,220.54,109,0.92,30.45,0.14
gla_445868,"Nature's Seed Any Region Pasture & Forage 10 Lb for 10,000 Sq Ft Mix Tailored Game Blend & No Fillers",pasture seeds,pasture seeds mix,217.21,213,4.41,215.23,0.99
gla_186485,California Buckwheat,specialty seed,,215.55,316,1.4,63.09,0.29
gla_184874,Southwest Desert Erosion Control Mix,specialty seed,erosion control blends,215.43,184,1.24,185.5,0.86
gla_184717,Switchgrass Seed,pasture seed,individual pasture species,215.33,141,0.78,49.84,0.23
gla_183731,Pacific Northwest Dairy Cow Forage Mix,pasture seed,cattle pastures,210.64,420,3.01,117.68,0.56
turf-wt,TWCA Water-Wise Tall Fescue Blend Grass Seed | Nature's Seed,grass seed,twca water-wise tall fescue blend,210.47,371,5.03,148.47,0.71
pg-pano,Bahia Grass Pasture Seed | Nature's Seed,pasture seed,bahia grass,209.9,1019,3.0,173.74,0.83
gla_185880,Red Fescue Grass,lawn seed,fescue grass seed,208.89,237,1.76,56.42,0.27
pg-sece-1-lb,Cereal Rye - Pasture Seed | Nature's Seed,pasture seed,cereal rye,208.69,616,5.42,74.69,0.36
gla_185457,Field Pea,pasture seed,individual pasture species,207.13,235,3.97,193.08,0.93
gla_355771,Collards,heartland collection,pasture seed by region,198.94,138,1.0,15.75,0.08
gla_185590,Pacific Northwest Poultry Forage Mix,pasture seed,poultry pastures,198.65,89,1.0,110.13,0.55
pb-gld-1-a,Great Lakes/New England Dryland Pasture Blend - Specialty Seed | Nature's Seed,specialty seed,great lakes/new england dryland pasture blend,192.09,188,0.17,26.43,0.14
pb-satbc-0.5-a,South-Atlantic Transitional Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,south-atlantic transitional beef cattle forage blend,192.06,243,1.33,145.21,0.76
gla_445514,"Nature's Seed Pasture & Forage 5 Lb for 5,000 Sq Ft Buckwheat Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,191.87,236,1.09,67.04,0.35
gla_184716,Switchgrass Seed,pasture seed,individual pasture species,190.84,195,1.5,158.75,0.83
pb-nbm-1-lb,Native Bioswale Mix - Specialty Seed | Nature's Seed,specialty seed,native bioswale mix,189.99,269,1.85,67.27,0.35
gla_182828,Sonoran Desert Wildflower Mix,wildflower seed,regional wildflower mixes,189.47,252,5.19,125.62,0.66
gla_185891,Chewings Fescue Grass,lawn seed,fescue grass seed,185.01,203,1.01,52.03,0.28
