old_base_name,old_variant_count,old_variant_skus,total_revenue_q1q2,total_units_sold,unique_customer_count,new_sku,new_name,new_permalink,new_price,new_image,new_categories,mix_composition,match_score,bullet_1,bullet_2,bullet_3,bullet_4
Big Bluegrass,1,ID:0,96624.55,1013,0,TURF-W-BLUE-BUNDLE,Premium Pet & Kid Friendly Bluegrass Bundle,https://naturesseed.com/product/premium-pet-kid-friendly-bluegrass-bundle/,199.99,https://naturesseed.com/wp-content/uploads/2025/09/pet_bluegrass_bundle-1.png,All Seed,,70,"Give your family a lawn that’s soft, beautiful, and built to last.","The Premium Pet & Kid Friendly Bluegrass Bundle is designed for homeowners who want a safe, durable, and easy-to-grow lawn that can handle the wear and tear of kids, pets, and everyday play.",Key features: Pet & Kid Friendly | High Traffic | All-in-one Solution,
White Dutch Clover Seeds,4,S-TRRE-OLD;S-TRRE-0.25-A-OLD;S-TRRE-1000-F-OLD;S-DUTCH-5-LB-OLD,64221.98,1105,898,S-DUTCH-5-LB-ADDON,"White Dutch Clover Soil & Grass Health Boost - 5lb for 10,000 Sq ft.",https://naturesseed.com/product/white-dutch-clover-soil-grass-health-boost-5lb-for-10000-sq-ft/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/s-trre1_1.jpg,All Seed,,60,"Nitrogen-fixing legume that naturally enriches your soil while providing dense, attractive ground cover that crowds out weeds.","Available now at $34.99 — ships direct to your door, ready for spring planting season.",,
Jimmy's Blue Ribbon Premium Grass Seed Mix,1,TURF-JBR-5-LB-OLD,46843.97,437,335,TURF-JBR,Jimmy's Blue Ribbon Lawn Seed Mix,https://naturesseed.com/products/grass-seed/jimmys-blue-ribbon-premium-grass-seed-mix/,89.99,https://naturesseed.com/wp-content/uploads/2025/07/JimmyGrass.png,"All Seed, Northern Lawn, TWCA - Water-Wise Lawn, Lawn Seed",Kentucky bluegrass and 20%; Kentucky Bluegrass 80%; Perennial Ryegrass 20%,90,"Scientifically balanced blend of Kentucky bluegrass and (20%), Kentucky Bluegrass (80%), Perennial Ryegrass (20%) — each species chosen for complementary growth habits and root structures.","Engineered for a dense, resilient lawn that handles foot traffic, recovers from wear, and stays green through seasonal changes.",Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: Water-saving | Showstopper Lawn | Durability
Kentucky Bluegrass Seed: Blue Ribbon Mix,5,TURF-BR-500-F-OLD;TURF-BR-5000-F-OLD;TURF-BR-0.25-A-OLD;TURF-BR-OLD;TURF-BR-2000-F-OLD,46219.57,562,303,PG-POPR,Kentucky Bluegrass,https://naturesseed.com/products/pasture-seed/kentucky-bluegrass/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/KentuckyBluegrass.png,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Individual Pasture Species",,80,"Kentucky Bluegrass ( Poa pratensis ) is a resilient, cool-season perennial grass forming dense, dark green sod.","lawns, pastures, and erosion control, it offers high forage value for grazing animals and supports wildlife.",Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: Dense Sod | Fine Texture | Rhizomatous
Triple-Play Turf Type Tall Fescue Seed Blend,6,TURF-FEAR2-2000-F;TURF-FEAR2-5000-F;TURF-FEAR2-500-F;TURF-FEAR2-1000-F;TURF-TALL-6-LB;TURF-FEAR2,45510.43,474,300,PG-FEAR2,Tall Fescue Grass Seed,https://naturesseed.com/products/pasture-seed/tall-fescue/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/TallFescue-Crop.jpg,"Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",,80,Tall fescue is a hardy cool-season perennial grass valued for its deep roots and resilience.,"Deep-rooted fescue variety selected for drought tolerance, shade adaptation, and year-round color with minimal irrigation.",Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: Deep Rooted | Drought Hardy | Durable Sod
Great Lakes/New England Horse Forage Mix,3,PB-GLH-50-LB;PB-GLH-20-LB;PB-GLH-10-LB,22993.8,116,73,PB-HRSE-TR,Transitional Zone Horse Pasture Mix,https://naturesseed.com/products/pasture-seed/horse-pasture-mix-transitional/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/THORSE.webp,"Pasture Seed, All Seed, Transitional Zone Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",Meadow Bromegrass 45%; Tall Fescue 32%; Perennial Ryegrass 12%; Alfalfa 9%; Kentucky Bluegrass 2%,70,"Scientifically balanced blend of Meadow Bromegrass (45%), Tall Fescue (32%), Perennial Ryegrass (12%), Alfalfa (9%) — each species chosen for complementary growth habits and root structures.","Formulated specifically for equine pastures — high palatability, safe for horses, and designed for heavy hoof traffic recovery.",Versatile mix designed for the challenging transition zone (USDA zones 6-7) where both cool and warm-season species can thrive.,Key features: Drought Hardy | Cold Hardy | Low Maintenance
Sheep Fescue Grass,6,S-FEOV-25-LB-OLD;S-FEOV-10-LB-OLD;S-FEOV-50-LB-OLD;S-FEOV-1-LB-OLD;S-FEOV-OLD;-OLD,22666.1,548,296,S-FEOV,Sheep Fescue Grass Seed,https://naturesseed.com/products/grass-seed/sheep-fescue-grass/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/Artboard-11-copy-2.png,"All Seed, Lawn Seed, Specialty Seed",,120,Sheep Fescue ( Festuca ovina ) is a hardy cool-season perennial bunchgrass groun d cover used for erosion contro l and as a lawn alternative.,Selected for sheep-friendly grazing with species that tolerate close cropping and recover quickly between rotations.,Key features: Hardy | Weed Control | Water-Wise,
Perennial Ryegrass Seed Blend,7,TURF-LOPE-2000-F;TURF-LOPE-5000-F;TURF-LOPE-1000-F;TURF-LOPE-500-F;TURF-LOPE-1500-F;TURF-LOPE;TURF-W-RYE-5-LB-OLD,22556.01,191,152,PG-LOPE,Perennial Ryegrass,https://naturesseed.com/products/pasture-seed/perennial-ryegrass/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/PerennialRyegrass-Crop.png,"All Seed, Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",,80,"Perennial Ryegrass ( Lolium perenne ) is a cool-season forage grass prized for its fast establishment and rich, digestible forage.",Fast-establishing perennial ryegrass with improved turf density and dark green color — visible results in as little as 5-10 days.,Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: Fast Start | High Sugars | Palatable
South-Atlantic Transitional Horse Forage Mix,2,PB-SATH-2.5-A;PB-SATH-0.5-A,22465.79,65,37,PB-HRSE-SO,Warm Season Horse Pasture Mix,https://naturesseed.com/products/pasture-seed/horse-pasture-mix-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/SHORSE.webp,"Pasture Seed, All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",Perennial Ryegrass 41%; Tall Fescue 41%; Bermuda Grass 13%; White Clover 4%,100,"Scientifically balanced blend of Perennial Ryegrass (41%), Tall Fescue (41%), Bermuda Grass (13%), White Clover (4%) — each species chosen for complementary growth habits and root structures.","Formulated specifically for equine pastures — high palatability, safe for horses, and designed for heavy hoof traffic recovery.",Selected for USDA zones 7-10 with heat-tolerant varieties that maintain productivity through hot summers and mild winters.,Key features: Drought Hardy | Fast Growth | Erosion Control
Fine Fescue Grass Seed Mix,4,TURF-FF-5000-F;TURF-FF-500-F;TURF-FF;TURF-FF-1500-F,21533.4,224,145,TURF-FINE,Fine Fescue Grass Seed Mix,https://naturesseed.com/products/grass-seed/fine-fescue-grass-seed-mix/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/Fescue.png,"All Seed, Northern Lawn, Lawn Seed",Hard Fescue 25%; Chewings Fescue 25%; Sheep Fescue 25%; Red Fescue 25%,90,"Scientifically balanced blend of Hard Fescue (25%), Chewings Fescue (25%), Sheep Fescue (25%), Red Fescue (25%) — each species chosen for complementary growth habits and root structures.","Deep-rooted fescue variety selected for drought tolerance, shade adaptation, and year-round color with minimal irrigation.",Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: No Mow | Water-Saving | Fine Texture
Micro Clover Seed,4,S-MICRO-OLD;S-MICRO-500-F-OLD;S-MICRO-1-LB-OLD;S-MICRO-5000-F-OLD,17442.33,453,259,S-MICRO,Micro Clover Seed (Mini Clover),https://naturesseed.com/products/clover-seed/microclover/,44.99,https://naturesseed.com/wp-content/uploads/2025/07/microclover-2.png,"All Seed, Clover Seed",,50,"Micro Clover ( Trifolium repens 'Pipolina') is a dwarf white clover forming a lush, low-maintenance lawn alternative.","Nitrogen-fixing legume that naturally enriches your soil while providing dense, attractive ground cover that crowds out weeds.",Key features: Lawn Alternative | Compact | Dense,
South-Atlantic Transitional Beef Cattle Forage Mix,2,PB-SATBC-2.5-A;PB-SATBC,16981.42,54,24,PB-COW-SO,Warm Season Cattle Pasture Seed Mix,https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-for-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/SCOW.webp,"All Seed, Cattle Pasture Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",Tall Fescue 38%; Perennial Ryegrass 28%; Bermuda Grass 20%; Alfalfa 10%; White Clover 5%,100,"Scientifically balanced blend of Tall Fescue (38%), Perennial Ryegrass (28%), Bermuda Grass (20%), Alfalfa (10%) — each species chosen for complementary growth habits and root structures.",Optimized for cattle grazing with high-yield forage species that maximize feed value per acre and support rotational grazing programs.,Selected for USDA zones 7-10 with heat-tolerant varieties that maintain productivity through hot summers and mild winters.,Key features: High Nutrition | Heat Tolerant | Rapid Regrow
Orchard Grass Seed,4,PG-DAGL-50-LB-OLD;PG-DAGL-10-LB-OLD;PG-DAGL-OLD;PG-DAGL-1-LB-OLD,16112.72,321,167,PG-DAGL,Orchardgrass Seed,https://naturesseed.com/products/pasture-seed/orchardgrass/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/Orchardgrass-Crop.png,"Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",,60,"Orchardgrass ( Dactylis glomerata ) is a cool-season, perennial bunchgrass with tufted clumps that enrich pastures.","Called cocksfoot, this European native thrives in temperate regions with tender spring growth for livestock.",Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: Cool-Season | Early Growth | High Yield
Bermudagrass Seed Blend,2,TURF-CYDA-5000-F;TURF-CYDA-1000-F-OLD,14948.67,88,67,PG-CYDA,Bermudagrass,https://naturesseed.com/products/pasture-seed/bermudagrass/,84.99,https://naturesseed.com/wp-content/uploads/2025/07/Bermudagrass.png,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",,70,Bermuda grass (Cynodon dactylon) is a warm-season perennial forage grass valued for its resilience and summer grazing value.,"Warm-season grass engineered for heat tolerance, rapid establishment, and dense turf coverage in southern climates.",Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: Heat Tolerant | Fast Spreading | Warm-Season
Native Fine Fescue Mix,4,TURF-NFF-1000-F-OLD;TURF-NFF-500-F-OLD;TURF-NFF-5000-F-OLD;TURF-NFF-2000-F-OLD,14761.35,96,70,TURF-FINE,Fine Fescue Grass Seed Mix,https://naturesseed.com/products/grass-seed/fine-fescue-grass-seed-mix/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/Fescue.png,"All Seed, Northern Lawn, Lawn Seed",Hard Fescue 25%; Chewings Fescue 25%; Sheep Fescue 25%; Red Fescue 25%,50,"Scientifically balanced blend of Hard Fescue (25%), Chewings Fescue (25%), Sheep Fescue (25%), Red Fescue (25%) — each species chosen for complementary growth habits and root structures.","Deep-rooted fescue variety selected for drought tolerance, shade adaptation, and year-round color with minimal irrigation.",Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: No Mow | Water-Saving | Fine Texture
Buffalograss Seed Blend,4,TURF-BUDA-1000-F;TURF-BUDA-2000-F;TURF-BUDA-5000-F;TURF-BUDA-500-F,14655.67,68,57,LAWN-BUDA,Sundancer Buffalograss Lawn Seed,https://naturesseed.com/products/grass-seed/sundancer-buffalograss-seed/,116.99,https://naturesseed.com/wp-content/uploads/2025/11/buffallograss-Sundancer.png,"Lawn Seed, All Seed",,70,"Transform your lawn with Sundancer Buffalograss – a breakthrough warm-season turfgrass that delivers a lush, green lawn with up to 50–75% less water than traditional lawns.","Engineered for a dense, resilient lawn that handles foot traffic, recovers from wear, and stays green through seasonal changes.",Key features: Water Saving | No Mow | Warm-Season,
Sun and Shade Grass Seed Mix,5,TURF-SS-5000-F;TURF-SS;TURF-SS-2000-F;TURF-SS-1000-F;TURF-SS-500-F,14165.06,137,94,TURF-W-SS,Sun and Shade Grass Seed Mix,https://naturesseed.com/products/grass-seed/twca-water-wise-sun-shade-mix/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/st-augustine-grass-lawn-scaled-1.jpeg,"All Seed, Northern Lawn, Transitional Lawn, TWCA - Water-Wise Lawn, Lawn Seed",,90,"What's In This Mix Perennial ryegrass (Lolium perenne) 40% Perennial ryegrass germinates rapidly and establishes quickly, providing fast cover and good wear tolerance.",Shade-tolerant varieties that maintain density and color under tree canopy where standard grasses struggle.,Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: Easy Establishment | Water-Saving | Medium-to-coarse texture
Northwest Seed Mix,4,TURF-NW-5000-F-OLD;TURF-NW-2000-F;TURF-NW-1000-F;TURF-NW-500-F,13532.74,100,86,PB-SHEP-N,Cool Season Sheep Pasture Mix,https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-cold-season/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/NSHEEP-1.png,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Pasture Seed, Sheep Pastures",Forage Mix Tall Fescue 45%; Birdsfoot Trefoil 11%; Chicory 11%; Orchardgrass 11%; Perennial Ryegrass 9%; White Clover 6%; Kentucky Bluegrass 5%; Bermuda Grass 2%,30,"Scientifically balanced blend of Forage Mix Tall Fescue (45%), Birdsfoot Trefoil (11%), Chicory (11%), Orchardgrass (11%) — each species chosen for complementary growth habits and root structures.",Selected for sheep-friendly grazing with species that tolerate close cropping and recover quickly between rotations.,Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: High Protein | Drought Hardy | Nitrogen Fix
Tall Fescue,5,PG-FEAR2-50-LB-OLD;PG-FEAR2-10-LB-OLD;PG-FEAR2-25-LB-OLD;PG-FEAR2-1-LB-OLD;PG-FEAR2-5-LB-OLD,12523.22,242,110,PG-FEAR2,Tall Fescue Grass Seed,https://naturesseed.com/products/pasture-seed/tall-fescue/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/TallFescue-Crop.jpg,"Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",,50,Tall fescue is a hardy cool-season perennial grass valued for its deep roots and resilience.,"Deep-rooted fescue variety selected for drought tolerance, shade adaptation, and year-round color with minimal irrigation.",Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: Deep Rooted | Drought Hardy | Durable Sod
Tortoise Forage Mix,4,PB-TORT-500-F-OLD;PB-TORT-5000-F-OLD;PB-TORT-1000-F-OLD;PB-TORT-2-LB-OLD,12127.25,263,216,PB-TORT,Tortoise Forage &amp; Habitat Mix,https://naturesseed.com/products/pasture-seed/tortoise-forage-mix/,44.99,https://naturesseed.com/wp-content/uploads/2025/07/TURTOISE-1.png,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",,50,"A versatile grass seed mix for grazing and habitat, Tortoise Forage Mix combines 8 drought-tolerant species (bluestem, wheatgrass, fescues, orchardgrass, buffalograss, bermuda, blue grama) to create lush pasture from the Great Plains to the Southwest.","Habitat-specific forage blend with species safe for tortoises, providing both nutrition and natural shelter.",Adapted for USDA zones 3-6 with cold-hardy species that establish quickly in cool soils and survive harsh winters.,Key features: Drought Hardy | Low Maintenance | Erosion Control
