sku,name,status,revenue_q1q2,customer_count,units_sold
ID:0,Big Bluegrass - 10 lbs,PHASED_OUT,96624.55,591,1013
TURF-JBR-5-LB-OLD,Jimmy's Blue Ribbon Premium Grass Seed Mix,PHASED_OUT,46843.97,338,437
S-TRRE-OLD,White Dutch Clover Seeds - 5000 ft²,PHASED_OUT,36636.33,724,859
S-TRRE-0.25-A-OLD,White Dutch Clover Seeds - 1/4 Acre,PHASED_OUT,25302.83,119,160
TURF-FEAR2-2000-F,Triple-Play Turf Type Tall Fescue Seed Blend - 2000 ft²,PHASED_OUT,23480.92,106,156
PB-SATH-2.5-A,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,PHASED_OUT,22041.33,34,61
PB-SATBC-2.5-A,South-Atlantic Transitional Beef Cattle Forage Mix - 2.5 Acres,PHASED_OUT,16552.17,21,51
PB-GLH-50-LB,Great Lakes/New England Horse Forage Mix - 50 lbs,PHASED_OUT,16445.41,35,62
TURF-BR-500-F-OLD,Kentucky Bluegrass Seed: Blue Ribbon Mix - 500 ft²,PHASED_OUT,16043.81,197,409
S-MICRO-OLD,Micro Clover Seed - 1000 ft²,PHASED_OUT,15407.67,195,376
TURF-FF-5000-F,Fine Fescue Grass Seed Mix - 5000 ft²,PHASED_OUT,12012.01,28,35
TURF-BR-5000-F-OLD,Kentucky Bluegrass Seed: Blue Ribbon Mix - 5000 ft²,PHASED_OUT,11970.06,46,47
TURF-BR-0.25-A-OLD,Kentucky Bluegrass Seed: Blue Ribbon Mix - 1/4 Acre,PHASED_OUT,11840.25,7,25
PB-SATS,South-Atlantic Transitional Sheep Forage Mix - 2.5 Acres,PHASED_OUT,11220.74,28,43
WB-CN-2000-F,California Native Wildflower Mix - 2000 ft²,PHASED_OUT,9794.31,86,108
PB-PNWH,Pacific Northwest Horse Forage Mix - 2.5 Acres,PHASED_OUT,9701.85,22,30
TURF-LOPE-2000-F,Perennial Ryegrass Seed Blend - 2000 ft²,PHASED_OUT,9445.33,57,72
S-TACKI-OLD,M-Binder Tackifier-Soil Stabilizer - 50 lbs,PHASED_OUT,9261.81,32,76
TURF-CYDA-5000-F,Bermudagrass Seed Blend - 5000 ft²,PHASED_OUT,8428.84,17,24
PB-MWH-2.5-A,Mid-West/Mid-Atlantic Horse Forage Mix - 2.5 Acres,PHASED_OUT,8320.32,14,20
PG-DAGL-50-LB-OLD,Orchard Grass Seed - 50 lbs,PHASED_OUT,8077.47,24,31
TURF-SS-5000-F,Sun and Shade Grass Seed Mix - 5000 ft²,PHASED_OUT,7976.0,22,29
TURF-BUDA-1000-F,Buffalograss Seed Blend - 1000 ft²,PHASED_OUT,7934.05,35,42
TURF-NFF-1000-F-OLD,Native Fine Fescue Mix - 1000 ft²,PHASED_OUT,7680.48,32,46
S-FEOV-25-LB-OLD,Sheep Fescue Grass - 25 lbs,PHASED_OUT,7661.37,30,40
PG-FEAR2-50-LB-OLD,Tall Fescue - 50 lbs,PHASED_OUT,7433.76,13,32
TURF-NE,TWCA Water-Wise Northeast Grass Seed Mix - 5 lbs,PHASED_OUT,7394.55,39,44
PB-TORT-500-F-OLD,"Tortoise Forage Mix - 500 ft², Standard Mix",PHASED_OUT,7149.39,175,210
TURF-NW-5000-F-OLD,Northwest Seed Mix - 5000 ft²,PHASED_OUT,7079.76,25,28
TURF-FEAR2-5000-F,Triple-Play Turf Type Tall Fescue Seed Blend - 5000 ft²,PHASED_OUT,6842.07,10,24
TURF-FEAR2-500-F,Triple-Play Turf Type Tall Fescue Seed Blend - 500 ft²,PHASED_OUT,6783.19,106,130
PB-IWH,Intermountain West Horse Forage Mix - 1 Acre,PHASED_OUT,6721.81,15,27
TURF-CYDA-1000-F-OLD,Bermudagrass Seed Blend - 1000 ft²,PHASED_OUT,6519.83,53,64
PG-TRPR,Red Clover - 50 lbs,ACTIVE,6484.15,189,354
PG-MESA-50-LB-OLD,Alfalfa Seeds - 50 lbs,PHASED_OUT,6420.19,15,22
SUSTANE-4-6-4-OLD,Organic Seed Starter Fertilizer 4-6-4,PHASED_OUT,6415.77,38,58
TURF-LOPE-5000-F,Perennial Ryegrass Seed Blend - 5000 ft²,PHASED_OUT,6307.11,15,18
WB-DR-2000-F-OLD,Deer Resistant Wildflower Mix - 2000 ft²,PHASED_OUT,6236.68,96,143
PB-CHM-1-LB-OLD,California Habitat Mix - 1 lbs,PHASED_OUT,6193.05,54,79
TURF-BR-OLD,Kentucky Bluegrass Seed: Blue Ribbon Mix - 2000 ft²,PHASED_OUT,6103.94,56,78
PB-GPBC-2.5-A,Great Plains Beef Cattle Forage Mix - 2.5 Acres,PHASED_OUT,6035.36,11,23
PG-ANGE-10-LB,Big Bluestem Grass Seed - 10 lbs,PHASED_OUT,5656.8,17,36
TURF-FF-500-F,Fine Fescue Grass Seed Mix - 500 ft²,PHASED_OUT,5588.36,71,108
TURF-WS-5000-F,TWCA Water-Wise Shade Mix - 5000 ft²,PHASED_OUT,5503.4,21,30
SUSTANE-18-1-8+FE-OLD,Organic Maintenance Fertilizer 18-1-8+fe,PHASED_OUT,5466.93,22,39
PB-GLS-2.5-A,Great Lakes/New England Sheep Forage Mix - 2.5 Acres,PHASED_OUT,5392.16,11,12
WB-AN-500-F-OLD,Annual Wildflower Mix - 0.25 lb,PHASED_OUT,5385.81,215,298
PB-GLBC-2.5-A,Great Lakes/New England Beef Cattle Forage Mix - 2.5 Acres,PHASED_OUT,5371.87,9,14
S-FEOV-10-LB-OLD,Sheep Fescue Grass - 10 lbs,PHASED_OUT,5289.56,54,61
PB-PNWH-20-LB,Pacific Northwest Horse Forage Mix - 1 Acre,PHASED_OUT,5162.67,22,40
TURF-FEAR2-1000-F,Triple-Play Turf Type Tall Fescue Seed Blend - 1000 ft²,PHASED_OUT,5123.28,56,58
PG-TRRE-10-LB,White Clover Seeds - 10 lbs,PHASED_OUT,5099.6,55,62
WB-AN-2000-F-OLD,Annual Wildflower Mix - 2000 ft²,PHASED_OUT,5050.64,60,104
PB-MWPB,Mid-West/Mid-Atlantic Poultry Forage Mix - 1500 ft²,PHASED_OUT,5046.07,93,106
PG-BUDA-1-LB-OLD,Buffalograss - 1 lb,PHASED_OUT,4864.47,64,98
PB-IWD,Intermountain West Dryland Pasture Mix - 2.5 Acres,PHASED_OUT,4811.84,10,16
