sku,product_name,order_count
PG-MESA-1-LB-OLD,Alfalfa Seeds - 1 lb,171
PG-LOCO-1-LB,Birdsfoot Trefoil - 1 lb,74
PG-AVSA-1-LB,Oats - 1 lb,68
PG-LIUS,Common Flax - 1 lbs,57
PG-VIVI-1-LB,Hairy Vetch - 1 lb,41
WB-SD-500-F,Sonoran Desert Wildflower Mix - 500 ft²,40
PG-MESA-10-LB-OLD,Alfalfa Seeds - 10 lbs,39
WB-BFP-500-F,Butterfly Pollinator Mix - 500 ft²,38
WB-IF-500-F,Insecta-Flora Mix - 500 ft²,37
PG-PEGL2-1-LB,Hybrid Pearl Millet - 1 lb,36
PG-PEAS-10-LB,Field Pea - 10 lbs,36
PB-WLWP-1-LB,Western Low-Water Use Pollinator Mix - 1 lbs,34
PG-BUCK-1-LB-OLD,Common Buckwheat - 1 lb,34
WB-IF-2000-F,Insecta-Flora Mix - 2000 ft²,32
,Berseem Clover - 1 lb,30
PG-PEAS-1-LB,Field Pea - 1 lb,29
W-LIMA-0.25-LB,Baby Snapdragon - 0.25lbs,29
PG-ONVI-1-LB,Sainfoin - 1 lb,26
W-ASTU,Butterfly Milkweed - 1 Pack,26
W-COBI,Garden Cosmos - 1 Pack,25
PG-BOCU-1-LB,Sideoats Grama - 1 lb,25
PG-TRAR-1-LB,Wheat - 1 lb,23
PG-BRBI-1-LB,Meadow Brome - 1 lb,22
W-SPAM-0.25-LB,Desert Globemallow - 0.25lbs,22
W-PARH-0.25-LB,Shirley Poppy - 0.25lbs,20
W-GITR,Bird’s Eye Gilia - 1 Pack,20
PG-LOCO-10-LB,Birdsfoot Trefoil - 10 lbs,19
,Silky Phacelia - 1 Pack,19
PG-AVSA-10-LB,Oats - 10 lbs,18
PG-MESA-25-LB-OLD,Alfalfa Seeds - 25 lbs,18
W-LUPE-0.25-LB,Wild Lupine - 0.25lbs,18
W-RUHI-0.25-LB,Black-Eyed Susan - 0.25lbs,17
