content_id,title,url,post_type,status,word_count,products_count,open_findings,critical_findings
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,post,draft,1490,4,26,20
2,Soil Preparation for Pasture Seeding: Set the Stage for Healthy Growth,https://naturesseed.com/?p=444490,post,draft,1100,0,4,2
3,Pasture Maintenance Tips: How to Keep Your Forage Healthy Year-Round,https://naturesseed.com/?p=444487,post,draft,841,0,4,2
4,Common Pasture Weeds: Identification and Control Strategies,https://naturesseed.com/?p=444484,post,draft,1079,0,4,2
5,How to Water Grass Seed the Right Way: Techniques for Stronger Growth,https://naturesseed.com/?p=444481,post,draft,1068,2,6,2
6,Best Grass Seed for Your Climate,https://naturesseed.com/?p=441660,post,draft,935,7,30,22
7,Choosing the Right Pasture Seed Mix for Your Livestock,https://naturesseed.com/?p=441653,post,draft,975,5,27,21
8,Pasture Grasses for High Traffic Areas,https://naturesseed.com/?p=441007,post,draft,895,5,22,16
9,What to Avoid When Buying Grass Seed,https://naturesseed.com/?p=441008,post,draft,980,10,15,8
10,The Importance of High Quality Grass Seed,https://naturesseed.com/?p=441005,post,draft,989,2,10,7
11,Nature’s Seed is Bringing You More Video Content!,https://naturesseed.com/?p=427998,post,draft,401,2,4,1
12,Are Lawns Bad for the Environment?,https://naturesseed.com/?p=428001,post,draft,1579,1,12,9
13,Jimmy Lewis Mows & Nature’s Seed: The Story Behind Jimmy’s Blue Ribbon Premium Grass Seed Mix,https://naturesseed.com/?p=428015,post,draft,580,7,12,4
14,How to Store Grass Seed: Tips to Keep Your Seeds Viable for Years,https://naturesseed.com/?p=417371,post,draft,368,0,2,0
15,How to Take Care of Bermuda Grass,https://naturesseed.com/?p=416192,post,draft,1054,3,11,7
16,Cool Season Grass Overseeding: A Complete Guide for a Healthy Lawn,https://naturesseed.com/?p=414897,post,draft,1033,6,18,11
17,Best Grass Seed to Buy,https://naturesseed.com/?p=408323,post,draft,1779,6,20,13
18,Best Native Plants for the Midwest,https://naturesseed.com/?p=407079,post,draft,895,0,13,11
19,Best Cover Crops for the Midwest,https://naturesseed.com/?p=407072,post,draft,815,0,12,11
20,Best Pasture Seed for the Midwest,https://naturesseed.com/?p=407067,post,draft,877,1,8,6
21,Best Time to Plant Grass Seed: Based On Type & Region,https://naturesseed.com/?p=401597,post,draft,822,3,23,19
22,How to Plant and Grow St. Augustine Grass Seed,https://naturesseed.com/?p=401591,post,draft,1016,5,17,11
23,How Often Should You Water New Grass Seed,https://naturesseed.com/?p=401584,post,draft,2016,3,13,9
24,Conservation Seed Planting Instructions,https://naturesseed.com/?p=355571,post,draft,297,0,3,0
25,Wildflower Seed Planting Instructions,https://naturesseed.com/?p=355569,post,draft,205,0,4,1
26,Clover Seed Planting Instructions,https://naturesseed.com/?p=355567,post,draft,277,5,9,2
27,Lawn Seed Planting Instructions,https://naturesseed.com/?p=355568,post,draft,207,2,8,3
28,Pasture Seed Planting Instructions,https://naturesseed.com/?p=355570,post,draft,371,0,2,0
29,Spring Lawn Prep and Maintenance,https://naturesseed.com/?p=191713,post,draft,955,0,2,0
30,Switchgrass (Panicum Virgatum): A Native Grass with Many Uses,https://naturesseed.com/?p=191710,post,draft,1311,3,18,6
31,What is NPK in Fertilizer?,https://naturesseed.com/?p=191706,post,draft,367,0,2,0
32,Lawn Care Basics for New and Experienced Home Owners,https://naturesseed.com/?p=191703,post,draft,3068,8,37,25
33,California Wildflower & Grass Seeding Guide,https://naturesseed.com/?p=191699,post,draft,25,0,3,0
34,How To Prepare Your Property To Cope With Natural Disaster,https://naturesseed.com/?p=191696,post,draft,2284,1,28,12
35,How to Plant Wildflower Seeds: Our Ultimate Guide,https://naturesseed.com/?p=191693,post,draft,2881,6,38,30
36,Guide to a Perfect Putting Green in Your Yard,https://naturesseed.com/?p=191690,post,draft,2434,0,13,11
37,Native Wildflower Series: New York State,https://naturesseed.com/?p=191687,post,draft,1050,2,11,7
38,The Micro Clover Lawn Trend: How Great is Microclover?,https://naturesseed.com/?p=191684,post,draft,2371,5,21,13
39,Introducing the California Collection,https://naturesseed.com/?p=191681,post,draft,714,3,12,4
40,Where Do Floods Occur Most Often in the United States? 4 States with the Most Flooding,https://naturesseed.com/?p=191677,post,draft,1096,0,15,10
41,Smart Irrigation Month,https://naturesseed.com/?p=191672,post,draft,1084,3,16,11
42,Pasture Pig Forage Mixes,https://naturesseed.com/?p=191669,post,draft,1690,7,55,46
43,Summer Lawn Care & Maintenance,https://naturesseed.com/?p=191662,post,draft,1399,5,24,18
44,What Should I Plant to Attract Pollinators?,https://naturesseed.com/?p=191659,post,draft,1142,5,25,19
45,Native Grass Series: California State,https://naturesseed.com/?p=191655,post,draft,1278,3,30,25
46,Native Grass Series: Washington State,https://naturesseed.com/?p=191649,post,draft,1045,0,17,15
47,Introducing Our New Seed Specialist: Marinna,https://naturesseed.com/?p=191646,post,draft,529,0,12,9
48,The Localscapes Way: Rethinking the Role of Lawn,https://naturesseed.com/?p=191640,post,draft,1196,2,12,8
49,Nature’s Seed Customer Highlight: Jimmy Lewis,https://naturesseed.com/?p=191631,post,draft,1423,0,5,2
50,The Ultimate Guide for Improving Clay Soil for Thriving Plant Growth,https://naturesseed.com/?p=191628,post,draft,2399,0,8,5
51,Nature’s Seed Turns 10 Years Old!,https://naturesseed.com/?p=191625,post,draft,434,0,4,0
52,6 Ways to Recycle Your Halloween Pumpkins:,https://naturesseed.com/?p=191622,post,draft,432,0,3,1
53,How to make a Fairy Garden,https://naturesseed.com/?p=191619,post,draft,595,0,3,0
54,What is Your Horse Trying to Tell You?,https://naturesseed.com/?p=191616,post,draft,642,3,17,11
55,Popular Bermuda Grass Varieties,https://naturesseed.com/?p=191613,post,draft,349,2,9,6
56,The Ultimate Pollinator Seed Guide,https://naturesseed.com/?p=191610,post,draft,1142,0,11,8
57,What’s the Perfect Time to Plant Lawn Seed?,https://naturesseed.com/?p=190074,post,draft,215,4,11,4
58,Best Grass Seed for Shade and Poor Soil,https://naturesseed.com/?p=234,post,draft,566,3,16,12
59,Penstemons: Summer’s Favorite Flowers,https://naturesseed.com/?p=191605,post,draft,534,0,16,14
60,Not Your Mother’s Earth Day Plans,https://naturesseed.com/?p=191602,post,draft,572,0,13,10
61,A Guide to Grass Seed Germination,https://naturesseed.com/?p=190077,post,draft,1810,7,11,6
62,Keeping it Local with Basil & Rose,https://naturesseed.com/?p=191598,post,draft,355,0,2,0
63,How to Kill Weeds and Dandelions in Your Lawn,https://naturesseed.com/?p=190282,post,draft,1785,3,12,7
64,Meet the Newest Nature’s Seed Team Member,https://naturesseed.com/?p=191592,post,draft,210,0,4,1
65,How to Plant Grass Seed in Spring,https://naturesseed.com/?p=191589,post,draft,1164,6,16,7
66,How Long Does it Take Grass Seed to Grow?,https://naturesseed.com/?p=191586,post,draft,1759,6,21,13
67,Top Tips for Planting Pasture Seed in the Fall,https://naturesseed.com/?p=191582,post,draft,1360,12,36,20
68,How to Get Rid of Crabgrass,https://naturesseed.com/?p=191579,post,draft,1360,4,15,9
69,The Best Time to Water Your Grass,https://naturesseed.com/?p=191576,post,draft,1335,0,6,2
70,The Ultimate 10 Step Guide to Overseeding Lawns,https://naturesseed.com/?p=191573,post,draft,1433,5,9,3
