"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"Nature’s Seed Rice Hulls for Gardening, Plants and Chicken Bedding, 5 Lbs COG: 1.25 / Price: 17.99";"B0FQT5JL69";"S-RICE-5-LB";"24";"";"431.76";"";"";"";"";"";"";"";"";"";"-";"";"-393.6";"-30";"";"8.16";"8.16";"38.16";"";"1.89";"27.20";"48 297";"";"17";"141.18"
"Nature’s Seed Poultry Pasture and Forage Mix, Chicken Grass Seed Blend, Omega-3 Nutrient-Rich, Cold and Heat-Tolerant, 5 lbs COG: 9.09 / Price: 19.99";"B0FHBQ7284";"PB-CHIX-5-LB";"4";"";"79.96";"";"";"";"";"";"";"";"";"";"-";"";"-90.36";"-36.36";"";"-46.76";"-46.76";"-10.4";"";"-58.48";"-128.60";"58 775";"";"11";"36.36"
"Nature’s Seed Triple-Play Turf Type Tall Fescue Grass Seed Blend, High-Traffic, Heat and Drought Tolerant, for Garden, Lawn, Yard, 5 Lbs COG: 5.49 / Price: 34.99";"B0FG3GG6XN";"TURF-W-TALL-5LB";"3";"";"104.97";"";"";"";"";"";"";"";"";"";"-";"";"-38.58";"-16.47";"";"49.92";"49.92";"66.39";"";"47.56";"303.10";"222 975";"";"18";"16.67"
"Nature’s Seed Southern Horse Forage Mix, Equine Pasture Grass Seed Nutrition Blend, 10 lbs COG: 15.25 / Price: 39.99";"B0FWLYJQ3R";"PB-HRSE-SO-10-LB";"3";"";"119.97";"";"";"";"";"";"";"";"";"";"-";"";"-55.95";"-45.75";"";"18.27";"18.27";"64.02";"";"15.23";"39.93";"146 332";"";"12";"25.00"
"Nature’s Seed Rice Hulls for Gardening, Plants and Chicken Bedding, 45 Lbs COG: 11.11 / Price: 105";"B091J5YN6J";"S-RICE-45-LB";"2";"";"210";"";"";"";"";"";"";"";"";"";"-";"";"-31.5";"-22.22";"";"156.28";"156.28";"178.5";"";"74.42";"703.33";"208 655";"";"2";"100.00"
"Nature’s Seed White Dutch Clover Seed, Drought Tolerant Ground Cover, Low Maintenance Garden Yard Lawn Alternative, 5000 sq ft COG: 21.5 / Price: 44.99";"B0FH2L5LX1";"S-DUTCH-5-LB";"2";"";"89.98";"";"";"";"";"";"";"";"";"";"-";"";"-28.72";"-43";"";"18.26";"18.26";"61.26";"";"20.29";"42.47";"68 918";"";"37";"5.41"
"Nature’s Seed Blue Grama Native Grass Seed, Drought Tolerant, for Garden, Lawn, Yard, 5 Lb COG: 0 / Price: 199.99";"B0FFHMCTXF";"PG-BOGR-5LB";"1";"";"199.99";"";"";"";"";"";"";"";"";"";"-";"";"-43.31";"";"";"156.68";"156.68";"156.68";"";"78.34";"";"";"";"1";"100.00"
"Nature’s Seed Tall Fescue Pasture Grass Seed, Cool-Season, High-Traffic, Forage, Food Plot, Green Manure, Cover Crop, 5 lbs COG: 3.55 / Price: 34.99";"B0FG7PT758";"PG-FEAR2-5-LB";"1";"";"34.99";"";"";"";"";"";"";"";"";"";"-";"";"-12.86";"-3.55";"";"18.58";"18.58";"22.13";"";"53.10";"523.38";"504 146";"";"4";"25.00"
"Nature’s Seed Alpaca and Llama Forage Mix, Pasture Grazing Grass Seed Cool-Season Blend, High-Fiber, 10 lbs COG: 16.98 / Price: 29.99";"B0FH1X5P96";"PB-ALPACA-10-LB";"1";"";"29.99";"";"";"";"";"";"";"";"";"";"-";"";"-30.27";"-16.98";"";"-17.26";"-17.26";"-0.28";"";"-57.55";"-101.65";"815 126";"";"";""
"Nature’s Seed Alfalfa Seeds for Planting, Food Plot, Cover Crop, Green Manure, Pasture, Forage, 5 Lbs COG: 0 / Price: 39.99";"B0FH2P9S8J";"PG-MESA-5-LB";"1";"";"39.99";"";"";"";"";"";"";"";"";"";"-";"";"-13.69";"";"";"26.30";"26.30";"26.3";"";"65.77";"";"247 379";"";"17";"5.88"
