category_a,category_b,co_purchase_customers,category_a_total_customers,category_b_total_customers,a_to_b_rate,b_to_a_rate,level
Lawn Seed,Specialty Seed,977,3393,7070,28.8,13.8,subcategory
Native Wildflower Seed,Specialty Seed,962,2260,7070,42.6,13.6,subcategory
Clover Seed,Specialty Seed,904,2603,7070,34.7,12.8,subcategory
California Collection,Native Wildflower Seed,818,1424,2260,57.4,36.2,subcategory
California Collection,Specialty Seed,632,1424,7070,44.4,8.9,subcategory
Clover Seed,Lawn Seed,549,2603,3393,21.1,16.2,subcategory
Pasture Seed,Specialty Seed,519,1621,7070,32.0,7.3,subcategory
Lawn Seed,Native Wildflower Seed,418,3393,2260,12.3,18.5,subcategory
Pasture Seed,Southern US Pasture,388,1621,388,23.9,100.0,subcategory
Clover Seed,Native Wildflower Seed,326,2603,2260,12.5,14.4,subcategory
Horse Pasture,Pasture Seed,301,301,1621,100.0,18.6,subcategory
Goat Pasture,Pasture Seed,250,250,1621,100.0,15.4,subcategory
Pasture Seed,Sheep Pastures,228,1621,228,14.1,100.0,subcategory
Cattle Pasture,Pasture Seed,197,197,1621,100.0,12.2,subcategory
Clover Seed,Pasture Seed,190,2603,1621,7.3,11.7,subcategory
Lawn Seed,Pasture Seed,157,3393,1621,4.6,9.7,subcategory
Cattle Pasture,Southern US Pasture,151,197,388,76.6,38.9,subcategory
Native Wildflower Seed,Pasture Seed,136,2260,1621,6.0,8.4,subcategory
Planting Aids,Specialty Seed,126,325,7070,38.8,1.8,subcategory
California Collection,Clover Seed,120,1424,2603,8.4,4.6,subcategory
Horse Pasture,Southern US Pasture,117,301,388,38.9,30.2,subcategory
Southern US Pasture,Specialty Seed,111,388,7070,28.6,1.6,subcategory
Food Plot Seed,Specialty Seed,110,260,7070,42.3,1.6,subcategory
Northern US Pasture,Pasture Seed,108,108,1621,100.0,6.7,subcategory
Lawn Seed,Planting Aids,105,3393,325,3.1,32.3,subcategory
Cover Crop Seed,Pasture Seed,99,158,1621,62.7,6.1,subcategory
California Collection,Lawn Seed,98,1424,3393,6.9,2.9,subcategory
Clover Seed,Cover Crop Seed,91,2603,158,3.5,57.6,subcategory
Horse Pasture,Specialty Seed,88,301,7070,29.2,1.2,subcategory
Cover Crop Seed,Specialty Seed,82,158,7070,51.9,1.2,subcategory
