old_sku,old_name,old_categories,old_revenue_q1q2,old_customer_count,old_units_sold
PG-MESA-50-LB-OLD,Alfalfa Seeds - 50 lbs,,6420.19,15,22
PG-BRBI-50-LB,Meadow Brome - 50 lbs,,3257.25,5,9
PG-MESA-10-LB-OLD,Alfalfa Seeds - 10 lbs,,2852.98,39,40
PG-MESA-25-LB-OLD,Alfalfa Seeds - 25 lbs,,2650.83,18,18
PG-PEAS-50-LB,Field Pea - 50 lbs,,2600.0,14,28
PG-MESA-1-LB-OLD,Alfalfa Seeds - 1 lb,,2531.99,170,343
PG-LOCO-10-LB,Birdsfoot Trefoil - 10 lbs,,2439.36,19,20
W-SPAM-1-LB,Desert Globemallow - 1lbs,,1949.76,1,16
PB-IWWFR-2.5-A,Intermountain West Wildfire Resistant Mix - 2.5 Acres,,1907.66,2,2
PG-LOCO-1-LB,Birdsfoot Trefoil - 1 lb,,1787.97,72,128
PB-WLWP-1-LB,Western Low-Water Use Pollinator Mix - 1 lbs,,1631.44,33,44
PG-BRIN-10-LB,Smooth Brome - 10 lbs,,1507.15,5,19
WB-IF-2000-F,Insecta-Flora Mix - 2000 ft²,,1471.68,32,36
PB-WLWP,Western Low-Water Use Pollinator Mix - 0.5 lbs,,1458.41,10,12
PG-BOCU-10-LB,Sideoats Grama - 10 lbs,,1326.13,7,8
PG-ONVI-50-LB,Sainfoin - 50 lbs,,1209.69,4,6
PG-BRBI-10-LB,Meadow Brome - 10 lbs,,1137.21,12,15
PB-GLP-5000-F,Great Lakes/New England Pollinator Mix - 5000 ft²,,1107.9,6,6
W-PEEA-1-LB,Firecracker Penstemon - 1lbs,,1100.0,1,5
W-SPAM-0.25-LB,Desert Globemallow - 0.25lbs,,1083.99,22,27
PG-BUCK-25-LB-OLD,Common Buckwheat - 25 lbs,,1039.98,15,16
PG-BOCU-1-LB,Sideoats Grama - 1 lb,,975.08,25,48
PG-PEAS-10-LB,Field Pea - 10 lbs,,946.12,36,38
