old_sku,old_name,old_categories,old_revenue_q1q2,old_customer_count,old_units_sold,new_sku,new_name,new_categories,new_permalink,new_price,new_image,match_score,replacement_notes
ID:0,Big Bluegrass - 10 lbs,,96624.55,591,1013,TURF-W-BLUE-BUNDLE,Premium Pet & Kid Friendly Bluegrass Bundle,All Seed,https://naturesseed.com/product/premium-pet-kid-friendly-bluegrass-bundle/,199.99,https://naturesseed.com/wp-content/uploads/2025/09/pet_bluegrass_bundle-1.png,70,
TURF-JBR-5-LB-OLD,Jimmy's Blue Ribbon Premium Grass Seed Mix,,46843.97,338,437,TURF-JBR,Jimmy's Blue Ribbon Lawn Seed Mix,"All Seed, Northern Lawn, TWCA - Water-Wise Lawn, Lawn Seed",https://naturesseed.com/products/grass-seed/jimmys-blue-ribbon-premium-grass-seed-mix/,89.99,https://naturesseed.com/wp-content/uploads/2025/07/JimmyGrass.png,90,
S-TRRE-OLD,White Dutch Clover Seeds - 5000 ft²,,36636.33,724,859,S-DUTCH-5-LB-ADDON,"White Dutch Clover Soil & Grass Health Boost - 5lb for 10,000 Sq ft.",All Seed,https://naturesseed.com/product/white-dutch-clover-soil-grass-health-boost-5lb-for-10000-sq-ft/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/s-trre1_1.jpg,60,
S-TRRE-0.25-A-OLD,White Dutch Clover Seeds - 1/4 Acre,,25302.83,119,160,S-DUTCH-5-LB-ADDON,"White Dutch Clover Soil & Grass Health Boost - 5lb for 10,000 Sq ft.",All Seed,https://naturesseed.com/product/white-dutch-clover-soil-grass-health-boost-5lb-for-10000-sq-ft/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/s-trre1_1.jpg,60,
TURF-FEAR2-2000-F,Triple-Play Turf Type Tall Fescue Seed Blend - 2000 ft²,,23480.92,106,156,PG-FEAR2,Tall Fescue Grass Seed,"Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",https://naturesseed.com/products/pasture-seed/tall-fescue/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/TallFescue-Crop.jpg,80,
PB-SATH-2.5-A,South-Atlantic Transitional Horse Forage Mix - 2.5 Acres,,22041.33,34,61,PB-HRSE-SO,Warm Season Horse Pasture Mix,"Pasture Seed, All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",https://naturesseed.com/products/pasture-seed/horse-pasture-mix-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/SHORSE.webp,100,
PB-SATBC-2.5-A,South-Atlantic Transitional Beef Cattle Forage Mix - 2.5 Acres,,16552.17,21,51,PB-COW-SO,Warm Season Cattle Pasture Seed Mix,"All Seed, Cattle Pasture Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-for-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/SCOW.webp,100,
PB-GLH-50-LB,Great Lakes/New England Horse Forage Mix - 50 lbs,,16445.41,35,62,PB-HRSE-TR,Transitional Zone Horse Pasture Mix,"Pasture Seed, All Seed, Transitional Zone Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",https://naturesseed.com/products/pasture-seed/horse-pasture-mix-transitional/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/THORSE.webp,70,
TURF-BR-500-F-OLD,Kentucky Bluegrass Seed: Blue Ribbon Mix - 500 ft²,,16043.81,197,409,PG-POPR,Kentucky Bluegrass,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Individual Pasture Species",https://naturesseed.com/products/pasture-seed/kentucky-bluegrass/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/KentuckyBluegrass.png,80,
S-MICRO-OLD,Micro Clover Seed - 1000 ft²,,15407.67,195,376,S-MICRO,Micro Clover Seed (Mini Clover),"All Seed, Clover Seed",https://naturesseed.com/products/clover-seed/microclover/,44.99,https://naturesseed.com/wp-content/uploads/2025/07/microclover-2.png,50,
